Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[$16$]fixed,byte[$16$]byte,bit[$16$]bit,fixed[$16$]byte,fixed[$16$]bit,byte[$16$]bit,fixed[F]8,fixed[$\ell$]8,byte[F]8,byte[$\ell$]8,bit[F]8,bit[$\ell$]8,fixed[$16$]fixed8,byte[$16$]byte8,bit[$16$]bit8,fixed[$16$]byte8,fixed[$16$]bit8,byte[$16$]bit8,fixed[F]16,fixed[$\ell$]16,byte[F]16,byte[$\ell$]16,bit[F]16,bit[$\ell$]16,fixed[$16$]fixed16,byte[$16$]byte16,bit[$16$]bit16,fixed[$16$]byte16,fixed[$16$]bit16,byte[$16$]bit16,fixed[F]32,fixed[$\ell$]32,byte[F]32,byte[$\ell$]32,bit[F]32,bit[$\ell$]32,fixed[$16$]fixed32,byte[$16$]byte32,bit[$16$]bit32,fixed[$16$]byte32,fixed[$16$]bit32,byte[$16$]bit32,fixed[F]64,fixed[$\ell$]64,byte[F]64,byte[$\ell$]64,bit[F]64,bit[$\ell$]64,fixed[$16$]fixed64,byte[$16$]byte64,bit[$16$]bit64,fixed[$16$]byte64,fixed[$16$]bit64,byte[$16$]bit64,Prezza
38400,68.670268,66.811771,71.508652,70.657563,78.579661,72.820529,68.192868,77.770131,81.173712,77.738528,81.438030,81.174019,54.784893,56.845461,62.540503,61.265783,65.093172,61.919891,61.678435,65.137381,69.191181,65.090397,68.913640,69.192199,54.178278,55.425539,58.666739,58.698589,62.147722,59.219774,58.640424,63.106753,66.431845,63.636961,66.714258,66.420331,54.867471,56.737440,58.026060,58.705251,61.558946,59.647239,58.564126,62.571762,65.809407,63.357049,64.986630,64.889231,60.715578,61.496806,63.044680,63.476636,65.319458,64.070220,64.582033,67.597570,69.949950,67.773719,70.080662,69.624965,411.763701
44800,69.817329,68.198014,72.517006,71.808678,78.995252,73.626453,70.633429,77.240765,82.525175,77.333896,82.837933,82.480289,55.697759,57.906080,64.055262,62.345667,66.215451,63.153611,63.021520,66.166187,69.759309,67.119133,69.300449,69.854116,55.289817,56.598412,59.748798,59.325168,63.761057,61.314362,60.794418,64.337565,67.769045,65.409779,68.005453,67.732307,55.690195,57.659897,58.893477,59.815585,62.650728,60.659753,60.363607,63.563784,66.959316,65.127658,65.848886,66.000331,61.686623,62.717003,63.933949,64.544184,66.163297,65.124488,66.687337,68.744354,70.960043,69.566531,70.950121,70.662509,394.916696
51200,70.739572,69.085187,73.847965,73.003947,80.483130,75.061642,70.503452,78.589626,84.334672,78.699400,84.626017,84.303388,56.709679,59.286203,65.300221,63.679599,67.514632,64.974145,63.267456,67.494377,71.402150,67.524651,71.433902,71.625008,56.458368,57.791579,60.989337,60.443016,65.046034,61.877611,60.889361,65.549803,69.401861,65.561416,69.629223,69.474419,56.656006,58.680682,59.961153,60.748580,64.004996,61.905435,60.479908,64.873035,67.950575,65.535788,67.067890,67.060079,62.437773,63.482008,65.071738,65.369258,67.299694,66.231408,66.340233,69.575064,71.945294,69.556631,71.852176,71.682154,383.125115
57600,71.914238,70.126715,75.130927,74.189599,81.903135,76.887759,71.473190,80.022245,86.021751,80.152095,86.274576,85.992490,57.666906,60.290448,66.650498,64.479749,68.649093,65.801854,64.394013,68.518367,72.802420,68.935044,72.529667,72.890539,57.447885,58.941479,62.219999,61.534467,66.334433,62.944863,62.104927,66.742797,70.746661,66.895570,70.821309,70.767462,57.603191,59.836329,61.072265,61.904111,65.064390,63.030080,61.514278,65.944996,69.179528,66.627387,68.186096,68.282885,63.516711,64.876528,66.239121,67.231237,68.726262,67.976047,67.702452,71.184183,73.677197,71.091075,73.403164,73.237558,369.259242
64000,72.956078,71.277367,76.181501,75.058713,83.113951,77.485709,72.672608,81.199578,87.519587,81.227917,87.772962,87.592446,58.375052,61.381848,68.146518,65.926905,69.489958,66.664846,65.320897,69.746890,74.010431,70.168692,73.770146,74.172584,58.300470,60.113060,63.307052,64.138844,66.852569,64.590004,63.013798,67.862497,71.657896,68.092156,71.865193,71.609180,58.650664,61.094003,63.333540,64.920405,67.664533,65.024749,63.576416,68.164729,71.711270,68.871396,70.657973,70.663450,64.580957,65.828514,68.023062,68.573954,70.861977,69.540104,68.947974,72.974860,75.926873,72.985675,75.828584,75.744091,416.425765
128000,77.666296,75.916997,81.352337,80.821798,89.680558,83.255184,77.607005,88.232439,95.636151,88.010907,95.759713,95.742822,63.381539,66.536535,74.644363,72.208728,76.932595,73.363109,71.018406,77.554236,82.459966,77.282126,82.259922,82.548972,63.173983,64.868634,68.742247,68.582533,72.965447,70.027316,69.274027,74.971810,79.927552,74.919520,79.596524,79.955738,62.293576,65.458678,68.057531,69.288190,72.581695,69.825745,67.628917,74.213843,77.762507,74.717874,76.348808,76.363461,68.846650,70.271834,73.122270,75.133504,76.485767,74.830393,74.458777,79.681510,83.013439,79.388663,82.904160,82.763701,407.204831
192000,80.026113,78.209592,83.763261,83.113615,92.939863,85.492463,80.132594,89.121850,97.141653,88.925836,97.480402,97.189743,66.958832,70.335890,76.670809,76.010099,81.171574,77.747270,73.757548,80.378901,84.376773,79.785188,83.683346,84.384394,65.649629,67.677398,71.422372,71.570102,76.732806,73.126047,73.002508,76.971890,81.886165,77.014122,82.620587,82.112694,64.330116,67.400843,71.125093,70.954726,76.060147,72.320298,71.405974,76.262739,79.686894,76.995994,78.839315,78.570852,70.372917,72.248593,74.493626,76.226484,78.339484,76.992597,75.835170,80.257436,83.823799,80.340599,83.487315,83.484833,403.897342
256000,83.078486,80.685679,86.397803,86.173594,96.298940,88.601841,83.597921,91.522740,100.611571,91.345719,100.921790,100.639411,69.741480,73.553455,79.708363,79.220304,84.792479,80.590952,76.610470,83.176729,88.679288,83.206991,88.034255,88.707398,68.922737,70.752335,74.181337,74.463025,80.291859,76.322705,75.404136,80.136302,86.501713,80.166160,86.793332,86.565378,66.682100,70.214447,74.072739,74.131142,79.067909,75.779621,74.037697,79.030651,83.995954,79.949163,82.402397,82.265382,72.651276,74.946283,77.292991,80.156718,81.378500,79.987134,78.844225,83.254637,87.054240,83.191211,86.604140,86.742105,407.061911
320000,84.394224,81.228741,87.167927,86.693530,97.900891,89.859197,84.742718,92.795643,102.446724,92.597731,102.500027,102.251991,71.532459,75.152347,80.848525,80.836261,87.091326,82.689837,77.292588,85.300817,90.154210,84.543800,89.608807,90.244297,69.938861,72.273238,76.002114,76.913253,82.663410,78.689509,76.654050,82.105704,88.033889,81.703375,88.410878,88.055612,67.754604,71.181472,75.539585,75.490819,81.109386,77.408749,75.830633,80.857034,85.127827,81.947913,84.024028,83.918888,73.626497,75.567699,78.375398,79.936295,83.111783,81.129430,80.884351,84.773907,89.059300,84.814728,88.540726,88.623340,395.352289
384000,86.929672,82.959169,88.561937,88.504303,99.796170,91.042033,87.341424,95.391088,103.767797,95.262947,104.090223,103.940207,73.244271,77.046482,82.335200,82.689049,89.139745,84.951618,79.033664,86.763832,92.389069,86.046454,91.749717,92.393828,71.743266,74.208613,77.766615,78.653193,84.471557,80.474637,78.483848,83.398587,89.841632,83.415246,90.331139,89.955498,69.194925,72.710626,77.544030,77.161135,82.687033,78.539965,77.611961,83.168229,86.382963,83.608564,85.763641,85.295986,75.021869,77.231133,79.872796,82.081675,84.577648,82.403953,82.374357,86.390069,90.593367,86.388796,90.106003,90.337371,439.637787
