Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[$16$]fixed,byte[$16$]byte,bit[$16$]bit,fixed[$16$]byte,fixed[$16$]bit,byte[$16$]bit,fixed[F]8,fixed[$\ell$]8,byte[F]8,byte[$\ell$]8,bit[F]8,bit[$\ell$]8,fixed[$16$]fixed8,byte[$16$]byte8,bit[$16$]bit8,fixed[$16$]byte8,fixed[$16$]bit8,byte[$16$]bit8,fixed[F]16,fixed[$\ell$]16,byte[F]16,byte[$\ell$]16,bit[F]16,bit[$\ell$]16,fixed[$16$]fixed16,byte[$16$]byte16,bit[$16$]bit16,fixed[$16$]byte16,fixed[$16$]bit16,byte[$16$]bit16,fixed[F]32,fixed[$\ell$]32,byte[F]32,byte[$\ell$]32,bit[F]32,bit[$\ell$]32,fixed[$16$]fixed32,byte[$16$]byte32,bit[$16$]bit32,fixed[$16$]byte32,fixed[$16$]bit32,byte[$16$]bit32,fixed[F]64,fixed[$\ell$]64,byte[F]64,byte[$\ell$]64,bit[F]64,bit[$\ell$]64,fixed[$16$]fixed64,byte[$16$]byte64,bit[$16$]bit64,fixed[$16$]byte64,fixed[$16$]bit64,byte[$16$]bit64,Prezza
640,16.406506,16.312952,16.336097,16.367761,16.620444,16.542555,17.660041,17.516281,18.517663,17.718230,18.001391,17.500785,16.605701,16.572231,16.567897,16.594268,16.818814,16.862989,17.859497,17.779819,19.104024,17.789184,19.034131,19.025064,16.604802,16.626644,16.600531,16.734880,17.185436,17.236852,18.045007,17.953206,19.083653,18.023173,19.260095,19.134264,16.613163,16.638393,16.599024,16.728724,17.188888,17.168790,18.029406,17.968006,19.157063,17.960427,19.295800,19.141912,16.590410,16.617032,16.627898,16.718491,17.282071,17.212132,18.022349,17.960014,19.107234,17.997996,19.302204,19.145924,25.095616
1280,16.357366,16.305147,16.343211,16.388132,16.612067,16.524267,17.618187,17.499314,18.506413,17.857752,18.015411,17.632357,16.543662,16.534727,16.552423,16.568823,16.826811,16.805320,17.934443,17.760285,18.995159,17.772031,18.973822,19.005635,16.586604,16.614837,16.610618,16.751099,17.196081,17.158580,17.966344,17.891519,19.197843,17.892016,19.124490,19.153738,16.596654,16.609753,16.607623,16.719634,17.165389,17.252918,17.945951,17.864637,19.132388,17.889230,19.232380,19.112880,16.576535,16.616933,16.583825,16.724724,17.159802,17.205068,17.952696,17.890599,19.207136,17.894742,19.101842,19.154555,25.058720
1920,16.392800,16.328677,16.353492,16.324306,16.609647,16.507227,17.610807,17.522548,18.457092,17.716389,17.970738,17.501457,16.536619,16.533318,16.537566,16.571807,16.793692,16.791405,17.820373,17.762015,18.954194,17.751875,18.935778,19.001734,16.585816,16.594692,16.579107,16.736995,17.148102,17.169581,17.939261,17.904284,19.124675,17.879215,19.217561,19.157363,16.586853,16.617399,16.568939,16.725901,17.411147,17.127260,17.938544,17.886965,19.125598,17.904103,19.253593,19.156728,16.588692,16.598456,16.587329,16.724307,17.225622,17.216648,17.958886,17.915709,19.119089,17.881598,19.334342,19.139006,24.513395
2560,16.372455,16.305042,16.349914,16.350728,16.620136,16.515948,17.635574,17.511574,18.529770,17.758016,17.997590,17.565187,16.605726,16.529346,16.545603,16.571668,16.822919,16.805177,17.872406,17.791062,19.066804,17.759244,18.993605,19.161171,16.597437,16.617374,16.591769,16.734126,17.184064,17.213264,17.961413,17.898559,19.151572,17.914067,19.160630,19.154359,16.590768,16.627607,16.620017,16.736130,17.195733,17.184347,17.954196,17.894080,19.206417,17.907548,18.974851,19.154825,16.595785,16.606359,16.584734,16.726331,17.200679,17.207286,17.960996,17.963106,19.148157,17.898646,19.037139,19.613750,24.503102
3200,16.512379,16.310930,16.329959,16.325017,16.594991,16.518050,17.639824,17.499002,18.475409,17.713108,17.984692,17.493303,16.528960,16.516076,16.542935,16.554555,16.818439,16.785971,17.860432,17.778600,18.978255,17.765461,18.922651,19.033648,16.588887,16.592193,16.587052,16.724827,17.235998,17.215868,17.936501,17.871487,19.099825,17.887368,19.052469,19.129050,16.627271,16.610218,16.600527,16.706505,17.173972,17.200605,17.938377,17.892695,19.169428,17.885411,19.037349,19.152210,16.576909,16.602822,16.580938,16.714735,17.162754,17.211639,17.932863,17.891731,19.191826,17.871850,19.067421,19.085689,24.640731
3840,16.401785,16.340161,16.354745,16.326306,16.603543,16.527534,17.620696,17.503468,18.484242,17.721082,17.978615,17.509486,16.565872,16.581759,16.548056,16.566466,16.916320,16.798483,17.848117,17.774829,18.981526,17.784372,18.981534,18.990244,16.601644,16.639438,16.607891,16.721904,17.246410,17.168391,17.966593,17.933992,19.142699,17.895348,19.187880,19.124844,16.598780,16.621088,16.620374,16.724822,17.185714,17.258615,17.943945,17.895297,19.175168,17.891295,19.114967,19.149286,16.602622,16.618288,16.594200,16.713829,17.155428,17.234748,17.954471,17.883979,19.146015,17.910587,19.061292,19.161064,24.506547
4480,17.383143,17.513131,17.464203,17.430810,17.672283,17.683023,18.550884,18.635001,19.698387,18.676923,19.034477,18.621723,17.552414,17.556146,17.609202,17.611274,17.837692,17.884659,18.802706,18.873703,19.854898,18.847098,19.738948,19.961327,17.693341,17.709319,17.632753,17.744668,17.841653,17.914147,18.936967,19.067512,20.037396,18.848752,19.959987,20.623146,17.648748,17.609336,17.759774,17.714686,17.872485,17.897411,19.076132,18.963249,20.010236,18.955717,19.707072,19.954436,17.650292,17.746125,17.634530,17.646378,17.869225,17.779409,18.908578,18.928732,19.965721,18.866195,19.783351,20.024907,26.083190
5120,18.788058,18.979015,18.934048,18.999371,19.139806,19.298971,19.855928,20.192252,20.639928,20.128583,20.412245,20.136667,18.974974,18.984054,19.071656,19.078000,19.329506,19.197564,20.145065,20.212057,21.012324,20.179182,20.917710,21.144712,19.145347,19.111180,19.058547,19.138111,19.036593,19.270941,20.273172,20.551674,21.024665,20.215373,21.741539,22.116730,19.157743,19.032366,19.288328,19.144387,19.435717,19.301077,20.394599,20.227699,21.061021,20.250417,20.853121,21.021833,18.972236,19.303330,19.048024,18.935436,19.266560,19.130170,20.248765,20.361820,20.963844,20.220269,20.914406,21.128027,26.787560
5760,19.983283,20.204492,20.206693,20.225237,20.394372,20.560033,21.076483,21.364821,21.691509,21.342446,21.568547,21.388295,20.195058,20.091247,20.300546,20.302484,20.525238,20.432708,21.244526,21.346487,21.941331,21.363202,21.966165,21.983380,20.369396,20.283067,20.230401,20.294432,20.157247,20.610023,21.433633,21.712621,21.925579,21.347420,22.817124,23.029511,20.385299,20.263805,20.489947,20.411272,20.594676,20.516572,21.612645,21.392172,22.023080,21.420927,21.823835,21.902782,20.086642,20.554585,20.189625,20.132129,20.430501,20.283926,21.317265,21.526551,21.998253,21.410505,21.811405,22.050766,27.473737
6400,21.078369,21.026098,21.192534,21.319405,21.412794,21.536825,21.992977,22.350002,22.605169,22.396829,22.617191,22.511014,21.222223,21.027596,21.221473,21.320268,21.536784,21.454098,22.180627,22.364889,22.812450,22.383009,22.836385,22.806523,21.340317,21.269867,21.317509,21.218500,21.173665,21.477756,22.363035,22.646959,22.775848,22.384481,23.492538,23.546717,21.346146,21.258045,21.464282,21.374001,21.593162,21.496795,22.465266,22.373517,22.869165,22.419376,22.835367,22.820782,21.127123,21.479901,21.148711,21.123084,21.311249,21.194453,22.266019,22.591649,23.275128,22.509137,22.624965,22.849311,27.852297
