Elements,fixed[F]holes,byte[F]holes,bit[F]holes,fixed[F]noholes,byte[F]noholes,bit[F]noholes
100,36.704170,41.524030,42.381770,33.952780,39.039420,39.945310
110,36.744220,42.252760,43.088290,34.422300,39.723280,40.712660
120,35.107010,39.592970,41.032180,34.445910,39.888380,40.462730
130,40.774110,45.769280,45.905810,39.328980,44.199380,43.821980
140,38.016290,43.216600,43.924160,37.480020,42.759270,43.036960
150,40.442530,46.499320,46.919370,36.557320,42.102070,42.599300
160,39.411070,44.621160,45.338380,37.675120,42.295840,42.796040
170,38.591090,42.474980,43.478100,37.833220,43.796230,43.829830
180,38.063590,43.799220,44.991980,38.821770,44.476860,44.808580
190,37.674280,44.318190,45.963740,38.007460,43.569770,44.682550
200,40.257310,45.245390,46.290160,37.969930,44.375960,45.042390
210,38.863290,43.752160,44.923330,38.987350,44.611760,45.250000
220,40.414790,46.045600,48.461930,36.530950,42.612960,43.268110
230,38.558860,44.289760,45.561330,38.213820,44.712220,44.939370
240,39.008490,44.110400,45.068700,36.883980,42.851740,43.309100
250,39.781560,46.411720,46.616660,37.506020,44.038540,45.035650
260,41.936760,48.864690,47.701130,40.208500,47.443340,45.838110
270,43.364400,49.679520,49.173140,40.194340,47.042670,46.422620
280,43.129090,49.426830,48.786410,40.409850,49.006920,45.854520
290,41.758240,48.913830,48.002350,40.672280,47.612140,47.226300
300,40.443140,47.661440,47.672730,39.592830,46.275640,46.241640
310,42.605500,49.603040,49.547570,39.281120,46.123140,45.838330
320,41.532620,48.765750,47.820420,39.911090,46.880340,46.246640
330,40.311660,47.524110,47.266620,40.009750,47.165070,46.499310
340,40.653000,47.531000,47.635160,39.842530,47.031610,46.408520
350,42.444140,49.293330,49.987240,41.289060,48.110660,48.044470
360,41.381460,48.408820,48.484720,39.583110,45.700300,45.333180
370,41.111500,48.319570,48.866650,41.185620,47.023420,46.874680
380,40.986080,48.694340,49.705640,39.467980,46.418810,46.597050
390,43.172290,48.387890,49.318740,40.213590,47.312600,46.967010
400,41.600440,49.488290,48.526420,40.102710,47.524760,46.928270
410,42.093450,48.699240,49.145000,40.767590,47.610530,47.160550
420,40.977010,47.749870,48.076660,40.852440,48.442470,47.858900
430,41.187780,48.576820,49.399510,38.978900,46.620170,46.181160
440,41.636370,48.999230,49.552700,39.412080,46.833270,46.726380
450,41.539640,48.012230,48.777800,40.684160,48.487050,47.956170
460,41.786040,49.137750,49.498190,39.821890,47.336860,46.525110
470,42.115420,48.807430,49.485340,40.027230,47.758070,47.678630
480,41.357960,48.334400,48.914040,39.939100,47.836910,47.530110
490,41.627320,49.414760,50.084430,39.943380,47.362770,47.327320
500,41.705250,49.419870,50.262750,41.100250,48.405570,48.499900
510,42.273850,50.776420,51.897720,39.512570,46.597760,47.600460
520,44.675240,52.608180,50.912460,43.199150,50.352370,48.655150
530,44.951690,52.928690,51.246560,42.432220,50.388760,48.586810
540,45.235370,52.757890,53.765550,43.026020,51.327230,50.243430
550,45.369580,53.501020,52.366430,44.163010,51.572490,50.560730
560,45.957100,53.287870,52.093230,43.199720,51.256910,49.948290
570,44.272720,54.317470,52.035570,43.498000,51.229420,50.295150
