Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[$12$]fixed,byte[$12$]byte,bit[$12$]bit,fixed[$12$]byte,fixed[$12$]bit,byte[$12$]bit,fixed[$14$]fixed,byte[$14$]byte,bit[$14$]bit,fixed[$14$]byte,fixed[$14$]bit,byte[$14$]bit,fixed[$16$]fixed,byte[$16$]byte,bit[$16$]bit,fixed[$16$]byte,fixed[$16$]bit,byte[$16$]bit,fixed[$18$]fixed,byte[$18$]byte,bit[$18$]bit,fixed[$18$]byte,fixed[$18$]bit,byte[$18$]bit,fixed[$20$]fixed,byte[$20$]byte,bit[$20$]bit,fixed[$20$]byte,fixed[$20$]bit,byte[$20$]bit
37760000000,588.771781,218.956785,267.818865,199.868896,562.353660,202.773508,360.245754,305.503235,294.581675,304.257968,304.666181,306.362553,387.371455,303.588057,335.674966,300.352672,328.831696,331.706335,428.503450,327.370106,388.653653,323.598000,382.506764,385.562027,475.663554,339.798200,446.650102,335.978963,440.821553,446.144830,443.286472,322.826346,463.316313,315.917154,457.715288,461.366855
42240000000,594.174661,216.863054,270.178584,197.475203,567.926900,202.542476,356.319937,308.851262,300.290404,308.744376,307.286201,308.554122,386.303697,304.796413,339.163000,301.174190,330.210036,336.214080,434.299872,328.014099,390.450610,324.979058,382.968703,385.979780,478.969292,352.239979,443.187746,348.979318,435.631136,439.784663,442.539617,324.377189,465.336690,325.330760,459.353831,462.568851
46720000000,583.206997,218.000947,271.694297,200.404313,590.913196,203.058703,363.130564,311.587522,304.058549,309.305097,307.775376,308.791676,385.255813,308.744995,339.119288,305.640370,333.546044,336.968722,433.422868,332.344148,380.325275,329.065836,372.903435,376.476760,479.873438,356.184116,447.331889,352.774146,440.289812,444.369355,438.837766,331.572915,472.984485,331.797128,464.217467,469.201571
51200000000,591.530443,213.388663,271.404415,196.904929,577.558181,202.990318,368.122882,311.549578,310.571801,309.803632,307.474733,308.742341,388.328444,321.981143,350.332679,316.463878,341.890624,345.259262,434.331542,329.843147,385.420454,325.365028,376.264198,381.649389,489.879399,353.314200,450.255610,351.570928,445.376304,448.610576,447.857230,331.839485,472.849539,329.530717,465.867570,470.316658
55680000000,609.711654,222.713983,275.995853,202.606056,588.497818,205.628846,366.677530,314.062207,310.832545,312.498268,310.201434,312.470275,390.681662,323.706728,357.114732,320.689788,349.386777,353.427825,435.802833,330.021628,388.817653,325.784125,382.534546,385.861681,489.303858,358.898457,456.268374,355.312543,449.338211,452.336900,446.340769,336.799587,474.168012,334.943215,468.578214,472.052153
60160000000,613.345548,219.705890,278.124689,202.207163,583.918812,206.811659,360.755091,315.156563,315.068175,314.194421,312.208153,313.249371,395.394773,315.287930,346.692938,312.551182,342.195863,343.911282,442.422382,331.612898,393.364860,328.402473,386.449921,389.568687,492.203730,365.904816,451.161077,362.771272,444.728569,447.698562,446.280207,343.249791,476.465683,337.968039,469.016665,473.184990
64000000000,619.266912,220.746003,278.774235,200.536865,586.492813,206.565419,358.693330,316.076965,313.497545,314.814100,313.212247,314.041268,401.587345,317.200847,347.579735,314.037528,342.134144,344.993028,438.189405,337.277804,393.866152,331.124741,385.741238,391.811647,483.948805,365.636445,451.836886,364.232562,444.831184,447.970618,443.385314,353.616185,477.137278,346.930813,472.248297,475.268561
115200000000,646.803228,153.222803,299.941214,149.355432,654.426249,156.435460,366.454163,329.473962,324.614350,324.549944,321.194731,324.922106,407.647275,336.414072,365.770741,332.416447,360.283614,361.454447,452.648557,342.903238,402.896491,339.732248,394.893379,399.569797,497.276423,380.441176,466.605379,376.236300,459.121790,463.412383,447.540020,390.862192,519.037892,388.307987,511.593467,514.936672
166400000000,678.786484,152.182089,321.752542,144.788093,659.521905,148.557501,373.513684,334.996032,333.788316,329.701063,326.974728,330.694906,417.277036,360.496555,388.515441,357.348201,378.953614,384.077463,471.213233,361.428578,426.328060,360.193041,418.184797,421.080652,504.950852,391.356422,474.296774,388.522048,465.573595,472.525722,459.966177,418.612609,522.715146,410.784910,515.316813,519.248571
217600000000,680.784215,168.730242,342.212935,161.826808,680.352000,169.065924,383.798090,334.045567,334.973892,331.646680,327.861934,330.933307,428.807192,354.297840,382.198789,348.877257,374.486468,378.708590,480.153286,369.983141,432.522646,368.358140,426.699969,430.695269,501.811852,395.895583,464.262441,393.434927,457.020634,461.002723,453.905838,429.426768,523.883671,426.430259,516.565735,520.788947
