Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[$12$]fixed,byte[$12$]byte,bit[$12$]bit,fixed[$12$]byte,fixed[$12$]bit,byte[$12$]bit,fixed[$14$]fixed,byte[$14$]byte,bit[$14$]bit,fixed[$14$]byte,fixed[$14$]bit,byte[$14$]bit,fixed[$16$]fixed,byte[$16$]byte,bit[$16$]bit,fixed[$16$]byte,fixed[$16$]bit,byte[$16$]bit,fixed[$18$]fixed,byte[$18$]byte,bit[$18$]bit,fixed[$18$]byte,fixed[$18$]bit,byte[$18$]bit,fixed[$20$]fixed,byte[$20$]byte,bit[$20$]bit,fixed[$20$]byte,fixed[$20$]bit,byte[$20$]bit
358400,28.268903,29.888985,33.647116,31.777010,32.676465,33.831440,30.926862,34.806522,35.174795,34.438772,35.025211,35.113894,29.463734,32.644575,33.648166,32.659860,33.671562,33.602535,29.147380,32.763336,33.611010,32.743869,33.803312,33.507247,29.567169,32.485921,33.501532,32.593075,33.512360,33.760481,29.221467,32.940702,33.598197,32.685788,33.399538,33.502207
371200,28.285489,29.888432,33.610393,31.703343,32.634093,33.798552,31.076342,34.720743,35.286279,34.471707,35.094796,35.291824,29.469747,32.513686,33.583142,32.767882,33.576676,33.574820,29.078618,32.765198,33.552802,32.647723,33.731392,33.469443,29.500709,32.621112,33.503841,32.555124,33.556078,33.661115,29.240958,32.962067,33.602066,32.633254,33.390621,33.474620
384000,28.326425,29.909924,33.580439,31.734659,32.669853,33.834669,31.230669,34.995383,35.507071,34.671722,35.365417,35.468469,29.469512,32.584255,33.609907,32.601172,33.694363,33.644556,29.117086,32.850001,33.689414,32.713024,33.767297,33.513761,29.601785,32.618894,33.514003,32.609793,33.612911,33.702810,29.308129,33.058060,33.645260,32.687021,33.481537,33.548147
396800,28.482733,30.056317,33.753284,31.797935,32.837808,33.920329,31.541809,35.246569,35.824858,34.939414,35.569669,35.670216,29.547546,32.746411,33.783032,32.782802,33.704715,33.729218,29.222978,32.899870,33.721791,32.816385,33.995022,33.653403,29.680849,32.715342,33.667435,32.730065,33.721809,33.797198,29.339764,33.162954,33.725286,32.825713,33.637410,33.664807
409600,28.511427,29.992024,33.686314,31.753497,32.772479,33.989960,31.598601,35.260578,35.965143,35.103215,35.714687,35.800161,29.529997,32.718696,33.779996,32.841393,33.678823,33.800295,29.188177,32.866908,33.713018,32.786192,33.930292,33.642505,29.642158,32.665356,33.767813,32.814614,33.662404,33.760598,29.323960,33.149435,33.754628,32.911217,33.595838,33.637880
422400,28.449787,30.066905,33.691909,31.825469,32.782248,34.053120,31.691371,35.604687,36.118894,35.253640,35.826743,35.974848,29.512362,32.679421,33.803308,32.729539,33.752691,33.772723,29.170079,32.925098,33.751058,32.843406,33.993496,33.762138,29.697014,32.783187,33.670304,32.720072,33.650907,33.785474,29.351763,33.155039,33.775656,32.901629,33.629870,33.638578
435200,28.478753,30.026174,33.733106,31.782697,32.785455,34.024916,31.761940,35.562341,36.251493,35.371980,35.946992,36.128933,29.498083,32.693731,33.770783,32.753886,33.724465,33.765211,29.171127,32.912884,33.697022,32.946189,33.930028,33.648446,29.647254,32.733294,33.754551,32.748455,33.672822,33.968788,29.261637,33.174326,33.763277,32.770615,33.670632,33.707965
448000,28.430242,30.050908,33.730356,31.818332,32.809290,34.043615,31.837514,35.661761,36.497181,35.502691,36.088116,36.268057,29.526643,32.729756,33.778872,32.764147,33.741263,33.859311,29.122647,32.953859,33.760775,32.826443,33.996454,33.756137,29.710573,32.732425,33.702482,32.785953,33.827678,33.847360,29.354749,33.191712,33.783775,32.898017,33.707444,33.746371
460800,28.530588,30.132207,33.841463,31.946621,32.942551,34.238292,31.969246,35.868527,36.540448,35.681673,36.339462,36.482490,29.579787,32.880342,33.898396,32.870268,33.836813,33.951927,29.244107,33.013857,33.848940,32.884163,34.042483,33.795711,29.661467,32.819785,33.908201,32.848501,33.816888,33.911336,29.323302,33.312784,33.970695,32.962751,33.881117,33.819539
473600,28.620231,30.105851,33.819300,31.973015,32.926209,34.169572,32.019863,35.970673,36.716271,35.905687,36.441227,36.622083,29.580858,32.824235,33.938162,32.871478,33.852227,33.931756,29.208329,33.115507,33.891154,32.941486,34.076080,33.859563,29.695057,32.818345,33.813693,32.870646,33.815998,33.944477,29.352063,33.309097,33.927275,32.967806,33.796756,33.790820
486400,28.551545,30.238820,33.891256,31.950840,32.975088,34.300706,32.028805,36.074697,36.770669,35.895596,36.512024,36.683949,29.618051,32.849390,34.023388,32.898321,33.898659,33.937917,29.210293,33.044052,33.921723,32.927130,34.115869,33.894358,29.746488,32.937350,33.898866,32.866010,33.900557,33.969831,29.363340,33.291067,33.953608,33.007472,33.820137,33.852834
499200,28.597238,30.135829,33.889982,31.995866,33.027564,34.287480,32.030844,36.103158,36.830935,36.394977,36.537861,36.751457,29.586447,32.902752,33.984815,32.899608,33.917685,34.056647,29.245365,33.112686,33.919127,32.946991,34.186410,33.893170,29.736283,32.958688,33.894158,32.900665,33.868711,34.004321,29.344640,33.340960,33.968558,33.032460,33.871231,33.910202
512000,28.702249,30.226890,34.055474,32.222814,33.161152,34.448414,32.193093,36.302149,36.986139,36.351037,36.694273,36.925024,29.645620,33.000347,34.147316,33.045447,34.069669,34.137262,29.295188,33.154604,34.120920,33.103408,34.273737,34.058471,29.833258,32.996184,34.024305,33.045703,33.996356,34.135748,29.438152,33.520488,34.083702,33.091010,33.974713,34.022087
524800,28.838172,30.356047,34.185580,32.168432,33.256808,34.612500,32.278423,36.365952,37.089741,36.249719,36.897345,37.028390,29.825172,33.161591,34.330672,33.186288,34.231654,34.227456,29.452062,33.357399,34.186954,33.316789,34.512651,34.162360,29.938223,33.132972,34.170580,33.210548,34.159765,34.269355,29.571031,33.635137,34.261517,33.225030,34.180617,34.189843
537600,28.936227,30.324160,34.164610,32.209755,33.200553,34.559119,32.306330,36.323950,37.073505,36.238491,36.762067,36.962100,29.889214,33.098409,34.172607,33.124008,34.156770,34.183205,29.461638,33.393540,34.165856,33.155157,34.333284,34.099840,29.866042,33.104533,34.117117,33.129490,34.239219,34.227446,29.521003,33.590216,34.148118,33.238111,34.083202,34.065922
550400,28.854582,30.350114,34.134413,32.141915,33.229849,34.619193,32.220143,36.373058,37.057326,36.357425,36.817165,37.020950,29.885292,33.107214,34.191786,33.112178,34.192774,34.243421,29.463479,33.273603,34.146468,33.179755,34.397427,34.167982,29.940388,33.088507,34.219483,33.294577,34.141427,34.253972,29.633112,33.585238,34.200858,33.259158,34.069794,34.096833
563200,28.856524,30.451335,34.166821,32.127430,33.215833,34.483309,32.222582,36.374654,37.101300,36.034880,36.766201,36.921658,29.817867,33.047943,34.183607,33.151813,34.168842,34.209673,29.439475,33.266125,34.176136,33.175560,34.297615,34.234594,29.905295,33.118840,34.114112,33.096294,34.076846,34.113983,29.585052,33.548658,34.142174,33.162480,34.056796,34.067012
576000,28.828770,30.363981,34.228781,32.132612,33.278035,34.542097,32.274380,36.264327,37.133843,35.946993,36.812441,36.889421,29.838417,33.062869,34.156441,33.127238,34.221530,34.211865,29.445548,33.226204,34.195863,33.211129,34.341250,34.094085,29.923593,33.073040,34.109885,33.104671,34.084619,34.206013,29.650321,33.544791,34.260685,33.188662,34.113535,34.068656
588800,28.784642,30.308187,34.176306,32.149760,33.201366,34.539651,32.238813,36.283817,37.033348,35.953434,36.702629,36.865345,29.765862,33.077904,34.264520,33.139193,34.110787,34.165408,29.367554,33.257787,34.151635,33.122818,34.340308,34.114398,29.917356,33.103617,34.114310,33.123181,34.067274,34.139914,29.526109,33.593493,34.177177,33.195645,34.063726,34.056962
601600,28.802113,30.297214,34.103696,32.110331,33.175224,34.468824,32.356567,36.191617,36.874595,35.843191,36.632049,36.783007,29.790504,33.057946,34.166848,33.091568,34.159603,34.176428,29.459245,33.244547,34.099172,33.168447,34.323422,34.120501,29.932249,33.068486,34.103553,33.074472,34.061382,34.173969,29.504956,33.518163,34.148990,33.199477,34.104274,34.570226
614400,28.760691,30.307738,34.116567,32.167595,33.212645,34.523899,32.192352,36.202911,36.848343,35.788300,36.554504,36.742682,29.762448,33.074034,34.371432,33.080171,34.107227,34.154026,29.412936,33.363986,34.124210,33.180360,34.384083,34.102638,29.990815,33.058927,34.088532,33.113009,34.077019,34.131936,29.647260,33.516297,34.135412,33.207158,34.056494,34.058685
627200,28.798814,30.290619,34.111867,32.246175,33.230556,34.541989,32.118376,36.163140,36.841839,35.781316,36.547674,36.634226,29.762368,33.119836,34.191012,33.087318,34.143065,34.198407,29.400079,33.208345,34.177485,33.166462,34.391323,34.114788,29.903137,33.056698,34.102515,33.133540,34.119774,34.211650,29.514119,33.571568,34.215728,33.200509,34.106068,34.094600
640000,28.858587,30.327351,34.242702,32.184424,33.177886,34.519273,32.098210,36.087604,36.785053,35.725941,36.479577,36.559497,29.753145,33.076836,34.196768,33.103853,34.153962,34.200549,29.396982,33.277995,34.099075,33.186304,34.350909,34.115691,29.793410,33.079485,34.103063,33.075381,34.094135,34.197759,29.481473,33.579581,34.199548,33.186545,34.088749,34.067154
832000,28.921382,30.662068,34.473231,32.409033,33.451710,34.865377,32.022842,35.895078,36.695470,35.483014,36.276207,36.452687,29.843713,33.302985,34.439380,33.350984,34.426135,34.477060,29.499249,33.481024,34.372879,33.339691,34.603104,34.384899,29.905267,33.291031,34.360148,33.334306,34.323102,34.460620,29.538245,33.794254,34.410895,33.410083,34.337434,34.326009
1024000,29.098277,30.603460,34.705540,32.729075,33.895108,35.292836,32.794370,36.842440,37.727934,36.343501,37.276939,37.367968,29.975555,33.635172,34.869712,33.646964,34.823397,34.768025,29.646358,33.815191,34.770672,33.730585,34.927445,34.740663,30.098616,33.684229,34.745377,33.673013,34.685383,34.878394,29.732157,34.100171,34.796915,33.819021,34.668941,34.702593
1216000,29.275671,30.774348,34.765464,32.641512,33.876228,35.294172,32.563060,36.490849,37.312828,35.975711,36.880113,36.990425,30.437263,34.552329,35.674954,34.659105,35.605810,35.618993,29.756655,33.931275,34.849271,33.733290,35.072966,34.820346,30.188545,33.752083,34.797487,33.702525,34.760398,34.880095,29.827916,34.389179,34.829914,33.838415,34.740570,34.777403
1408000,29.233166,30.769498,34.916059,32.786360,33.977933,35.417198,32.670514,36.657605,37.535059,36.099634,37.028676,37.121981,31.156683,35.486616,36.586763,35.477149,36.290014,36.406187,29.830633,33.968719,34.889711,33.798086,35.127128,34.940193,30.132971,33.759158,34.887453,33.773780,34.863631,34.919895,29.810927,34.244061,34.905380,33.941665,34.835774,34.845331
1600000,29.257372,30.854225,35.085727,32.933060,34.184262,35.714069,32.914103,37.274383,38.121850,36.684911,37.597404,37.758534,31.818003,36.199509,37.445545,36.184213,37.088924,37.191492,29.912844,34.179638,35.116461,34.006391,35.329147,35.148317,30.170890,33.940111,35.322111,34.153236,35.065627,35.182150,29.960426,34.505552,35.213757,34.176685,35.023546,35.101944
1792000,29.355755,30.914351,35.242647,33.006965,34.283316,35.773030,33.011924,37.512260,38.448504,36.905404,37.847001,38.088257,32.310797,36.889285,38.063593,36.761353,37.637594,37.882110,29.886741,34.210663,35.214511,34.124960,35.424723,35.380258,30.242609,34.039217,35.202312,34.062794,35.150517,35.254712,29.970880,34.531065,35.253230,34.191292,35.142053,35.133739
1984000,29.419523,31.035304,35.461179,33.179573,34.546645,35.956204,33.402980,38.103191,39.038698,37.372394,38.278840,38.627973,32.595126,37.407567,38.653703,37.306535,38.064572,38.302582,30.119222,34.452410,35.653545,34.251992,35.628771,35.468983,30.293140,34.247699,35.474858,34.326090,35.517161,35.511108,30.047922,34.781805,35.446698,34.611137,35.405891,35.440070
