Elements,Fenw,LFenw,Byte,LByte,Bit,LBit,LFenwFenw16,LByteByte16,LBitBit16,Fenw(16),LFenw(16),Byte(16),LByte(16),Bit(16),LBit(16),LFenwFenw16(16),LByteByte16(16),LBitBit16(16),Fenw(32),LFenw(32),Byte(32),LByte(32),Bit(32),LBit(32),LFenwFenw16(32),LByteByte16(32),LBitBit16(32),Fenw(64),LFenw(64),Byte(64),LByte(64),Bit(64),LBit(64),LFenwFenw16(64),LByteByte16(64),LBitBit16(64)
640,18.576535,18.592293,18.810443,19.063088,18.789319,18.928725,18.102934,18.007736,20.171478,19.385832,19.772514,18.789427,19.833343,19.427698,20.472539,20.995888,20.980180,20.995855,19.323168,19.757359,18.681535,20.016132,19.389755,20.511443,20.858620,20.854360,20.883668,19.362076,19.781903,18.759785,19.664169,19.397020,20.480858,20.966810,20.867378,20.958956
1280,18.566833,18.482396,18.758941,19.087831,18.750747,18.920619,17.821310,17.840995,20.155463,19.429236,19.762636,18.788765,19.922281,19.386537,20.440648,20.899909,20.995961,20.990957,19.304722,19.757634,18.789213,19.844133,19.417423,20.465369,20.830913,20.933350,20.868010,19.522706,19.730920,18.754411,19.898373,19.385774,20.462300,20.937534,20.936479,20.830621
1920,18.630629,18.416199,18.957387,19.065515,18.743734,19.783299,17.857377,17.846737,20.183669,19.366928,19.775652,18.768412,19.705445,19.411833,20.636249,20.968330,20.826501,20.891237,19.324886,19.761324,18.766318,19.698007,19.384111,20.456347,20.931734,20.969502,20.901573,19.446482,19.780793,18.802206,19.954358,19.446454,20.455119,20.930194,20.955213,21.022119
2560,18.562993,18.407247,18.800688,18.914462,18.814016,18.921664,17.897374,17.794793,20.193948,19.406698,19.752152,18.751888,19.608115,19.417234,20.453484,21.121340,20.915911,20.993316,19.312706,19.876393,18.815822,19.747382,19.416143,20.623448,20.984079,20.972191,20.964267,19.555269,19.712099,18.848323,19.798223,19.487236,20.493738,20.997248,21.007488,20.990131
3200,18.592405,18.473783,18.793586,19.020702,18.734090,18.937234,17.808443,17.848481,20.179342,19.410781,19.891885,18.790913,19.655917,19.404600,20.445147,20.852248,20.916665,20.946638,19.310290,19.832415,18.836553,19.806146,19.404981,20.460620,20.944966,20.987682,20.900081,19.419971,19.824407,18.793321,20.020165,19.443368,20.419640,20.839559,21.003132,20.946702
3840,18.615629,18.477445,18.784126,19.075132,18.768203,18.913272,17.861774,17.847999,20.173869,19.428420,19.823118,18.823328,20.035684,19.382254,20.461618,20.951261,20.935002,20.963574,19.331295,19.850540,18.749416,19.837361,19.395770,20.467147,20.886417,21.039659,20.984837,19.419533,19.893817,18.868760,20.047641,19.395617,20.624355,21.028082,20.861233,20.949551
4480,19.728846,19.449816,19.757367,19.914391,19.924358,20.075202,18.944511,19.094390,21.170262,20.381242,20.496899,19.816655,20.454115,20.616987,21.385720,21.703066,21.549536,21.666345,20.205024,20.651333,19.756133,20.484927,20.406087,21.368997,21.705307,21.558185,21.634074,20.259053,20.748966,19.726379,20.685483,20.472861,21.235983,21.618330,21.493881,21.608490
5120,21.180608,20.942079,21.110275,21.173950,21.303453,21.545306,20.434144,20.840531,22.647650,21.546349,21.648809,21.280893,21.826089,22.030959,22.661721,22.637449,22.636390,22.715168,21.490294,21.972334,21.248856,21.480964,21.841485,22.673170,22.637518,22.785739,22.775407,21.425711,22.069963,21.195992,22.085637,22.381997,22.267697,22.549079,22.462801,22.691363
5760,22.261046,22.187374,22.152796,22.327665,22.603503,22.647428,21.589705,22.044193,23.699232,22.600720,22.570268,22.362072,22.790039,23.172867,23.537499,23.470912,23.467849,23.572708,22.291290,22.823341,22.296373,22.579699,22.789680,23.515208,23.505293,23.461264,23.582405,22.359890,22.871784,22.311646,23.075875,22.777090,23.082703,23.260278,23.461942,23.559082
6400,23.038972,23.091873,22.968268,23.090866,23.336841,23.767721,22.504019,23.039055,24.624905,23.430843,23.399302,23.207538,23.548682,24.062656,24.297839,24.279676,24.134963,24.180642,23.202608,23.538402,22.971371,23.272382,23.772254,24.278841,24.294890,24.091176,24.157097,23.181526,23.782988,23.119368,23.801870,23.741391,23.926357,24.051171,24.071354,24.145110
