Elements,Fenw,LFenw,Byte,LByte,Bit,LBit,LFenwFenw16,LByteByte16,LBitBit16,Fenw(16),LFenw(16),Byte(16),LByte(16),Bit(16),LBit(16),LFenwFenw16(16),LByteByte16(16),LBitBit16(16),Fenw(32),LFenw(32),Byte(32),LByte(32),Bit(32),LBit(32),LFenwFenw16(32),LByteByte16(32),LBitBit16(32),Fenw(64),LFenw(64),Byte(64),LByte(64),Bit(64),LBit(64),LFenwFenw16(64),LByteByte16(64),LBitBit16(64)
640,2.687500,2.887500,1.937500,2.850000,1.950000,2.825000,3.462500,3.137500,3.162500,1.787500,1.987500,1.812500,2.425000,1.850000,2.425000,2.562500,3.012500,3.062500,1.787500,1.987500,1.812500,2.425000,1.850000,2.425000,2.562500,3.012500,3.062500,1.787500,1.987500,1.812500,2.425000,1.850000,2.425000,2.562500,3.012500,3.062500
1280,2.343750,2.443750,1.550000,2.056250,1.537500,2.025000,2.731250,2.150000,2.143750,1.443750,1.543750,1.418750,1.775000,1.431250,1.768750,1.831250,2.018750,2.037500,1.393750,1.493750,1.406250,1.712500,1.425000,1.712500,1.781250,2.006250,2.031250,1.393750,1.493750,1.406250,1.712500,1.425000,1.712500,1.781250,2.006250,2.031250
1920,2.229167,2.295833,1.416667,1.754167,1.400000,1.725000,2.487500,1.816667,1.804167,1.295833,1.362500,1.279167,1.516667,1.287500,1.512500,1.554167,1.679167,1.691667,1.262500,1.329167,1.270833,1.475000,1.283333,1.475000,1.520833,1.670833,1.687500,1.262500,1.329167,1.270833,1.475000,1.283333,1.475000,1.520833,1.670833,1.687500
2560,2.171875,2.221875,1.353125,1.631250,1.331250,1.600000,2.365625,1.653125,1.634375,1.246875,1.296875,1.215625,1.393750,1.221875,1.390625,1.440625,1.515625,1.525000,1.221875,1.271875,1.209375,1.387500,1.218750,1.387500,1.415625,1.509375,1.521875,1.196875,1.246875,1.203125,1.356250,1.212500,1.356250,1.390625,1.503125,1.515625
3200,2.137500,2.177500,1.312500,1.535000,1.290000,1.505000,2.292500,1.552500,1.532500,1.217500,1.257500,1.177500,1.340000,1.180000,1.335000,1.372500,1.417500,1.422500,1.177500,1.217500,1.167500,1.310000,1.175000,1.310000,1.332500,1.407500,1.417500,1.157500,1.197500,1.162500,1.285000,1.170000,1.285000,1.312500,1.402500,1.412500
3840,2.114583,2.147917,1.287500,1.472917,1.262500,1.441667,2.243750,1.487500,1.464583,1.181250,1.214583,1.147917,1.283333,1.150000,1.279167,1.310417,1.347917,1.352083,1.147917,1.181250,1.139583,1.258333,1.145833,1.258333,1.277083,1.339583,1.347917,1.131250,1.164583,1.135417,1.237500,1.141667,1.237500,1.260417,1.335417,1.343750
4480,2.098214,2.126786,1.267857,1.441071,1.242857,1.410714,2.208929,1.439286,1.416071,1.169643,1.198214,1.130357,1.246429,1.132143,1.242857,1.280357,1.301786,1.305357,1.141071,1.169643,1.123214,1.225000,1.126786,1.223214,1.251786,1.294643,1.300000,1.126786,1.155357,1.119643,1.221429,1.125000,1.221429,1.237500,1.291071,1.298214
5120,2.085938,2.110937,1.254687,1.406250,1.228125,1.375000,2.182812,1.404688,1.379687,1.160937,1.185938,1.117188,1.218750,1.117188,1.214063,1.257812,1.267187,1.268750,1.123438,1.148438,1.107813,1.196875,1.110937,1.195312,1.220312,1.257812,1.262500,1.110937,1.135938,1.104688,1.193750,1.109375,1.193750,1.207812,1.254687,1.260938
5760,2.076389,2.098611,1.243056,1.377778,1.216667,1.347222,2.162500,1.376389,1.351389,1.143056,1.165278,1.104167,1.194444,1.104167,1.190278,1.229167,1.237500,1.238889,1.109722,1.131944,1.095833,1.175000,1.098611,1.173611,1.195833,1.229167,1.233333,1.098611,1.120833,1.093056,1.172222,1.097222,1.172222,1.184722,1.226389,1.231944
6400,2.068750,2.088750,1.235000,1.356250,1.207500,1.325000,2.146250,1.355000,1.328750,1.138750,1.158750,1.096250,1.177500,1.096250,1.173750,1.216250,1.216250,1.217500,1.108750,1.128750,1.088750,1.170000,1.091250,1.168750,1.186250,1.208750,1.212500,1.088750,1.108750,1.083750,1.155000,1.087500,1.155000,1.166250,1.203750,1.208750
