Elements,Fenw,LFenw,Byte,LByte,Bit,LBit,LFenwFenw16,LByteByte16,LBitBit16,Fenw(16),LFenw(16),Byte(16),LByte(16),Bit(16),LBit(16),LFenwFenw16(16),LByteByte16(16),LBitBit16(16),Fenw(32),LFenw(32),Byte(32),LByte(32),Bit(32),LBit(32),LFenwFenw16(32),LByteByte16(32),LBitBit16(32),Fenw(64),LFenw(64),Byte(64),LByte(64),Bit(64),LBit(64),LFenwFenw16(64),LByteByte16(64),LBitBit16(64)
640,40.870012,41.633010,41.977335,42.907479,42.714176,43.241345,42.090416,44.535000,44.481158,36.133252,36.772045,36.607822,37.780078,37.367995,37.590225,38.007550,38.906543,39.346081,36.143200,36.632247,36.614581,37.556393,37.096980,37.730279,38.032763,39.031678,39.264874,36.394015,36.632252,36.764199,37.779860,37.294868,37.586454,37.748018,38.933307,39.885336
1280,41.664865,42.655667,43.068279,44.019808,43.769382,44.442062,42.836571,45.487994,45.410731,37.682191,39.105537,39.368923,39.769494,39.886674,39.699465,40.127002,40.627048,41.875349,36.212005,36.597586,36.643921,37.518534,37.148984,37.806715,37.960189,39.001500,39.314047,36.454562,36.589530,36.720979,37.759673,37.325938,37.552676,37.682868,38.949681,39.672494
1920,41.769194,42.400479,42.799443,43.622012,43.810816,45.092234,42.877749,45.250989,45.188769,39.210357,40.203345,39.925560,40.920114,40.710509,40.894514,41.489085,42.355463,43.060763,36.190742,36.633411,36.790348,37.537597,37.239373,37.881309,38.001089,39.024154,39.253677,36.497596,36.615635,36.790932,37.810799,37.346725,37.584737,37.831727,39.006468,39.689771
2560,42.183504,43.335956,43.855741,45.015750,44.495398,45.452411,43.437708,46.249262,46.268605,38.859620,39.989283,39.620197,41.250655,40.270323,41.137686,41.374764,42.304525,44.362410,37.853080,39.092161,39.129035,39.868604,39.817702,39.995576,40.171669,40.654170,41.583615,36.568588,36.714806,36.891145,38.214976,37.364326,38.097358,37.813103,39.005220,39.732770
3200,42.156847,43.187943,43.718736,44.701096,44.425066,45.194790,43.135835,46.199596,46.066312,39.132112,40.731502,40.425135,41.657987,41.530268,41.911071,41.808282,42.849878,43.754661,38.890058,39.681609,39.845413,40.452790,40.420862,40.583639,41.114798,41.520053,42.419060,36.593526,36.604991,36.771240,37.803567,37.342179,37.619389,37.735198,38.995535,39.700520
3840,41.953367,43.161362,43.590484,44.580676,44.360539,45.107100,43.427222,46.014390,46.479751,39.508750,40.846116,40.873986,41.896071,41.876839,42.111249,42.350386,43.377980,44.383777,39.287205,39.846931,39.990593,40.658207,40.510495,40.918718,41.356157,42.117278,42.779037,36.441941,36.772119,36.769700,37.919113,37.330269,37.865580,38.321183,39.074719,39.785234
4480,42.912492,44.033668,44.733198,45.865584,45.471285,46.405746,43.976395,46.970910,46.945756,39.929121,41.350054,41.147327,42.093740,42.150217,42.253291,42.801375,43.719143,44.681836,39.349120,39.673926,39.812422,40.747077,40.417824,41.061034,41.161668,42.128849,42.747116,38.158301,38.102703,38.651074,39.719445,39.606513,39.351833,38.978986,40.075843,41.334928
5120,42.787597,44.179043,44.646936,46.028896,45.418542,46.344556,43.966118,46.948200,47.026590,39.190165,40.719386,40.537244,41.494415,41.271565,41.736760,42.062525,42.967478,43.939285,39.190743,39.626652,39.624667,40.684363,40.385551,40.861504,41.021169,42.317366,42.581687,39.120138,39.052325,39.652271,40.003850,40.251513,39.883692,40.156168,40.762830,42.256719
5760,42.858325,44.004676,44.584367,45.809699,45.387082,46.135227,43.994164,46.977268,46.909313,39.426093,40.937461,40.697001,41.513250,41.687248,41.820833,42.236799,43.224117,44.073287,39.117728,39.399213,39.413815,40.438988,39.904923,40.805591,41.029953,42.082358,42.279014,39.682093,39.534273,39.853281,40.357067,40.549802,40.266804,40.878578,41.373661,42.748065
6400,42.409849,43.987109,44.618287,45.662872,45.503258,46.198547,43.861422,46.951649,46.860114,39.625610,41.127736,40.981554,41.547248,41.711217,41.904090,42.472753,43.592150,44.266147,39.589021,40.536531,40.594539,41.521088,41.409026,42.023995,41.141191,42.879032,43.651052,39.910051,39.738241,40.077530,40.681939,40.751321,40.535444,43.242525,41.872668,43.038980
12800,43.449296,44.994459,45.382091,46.771049,46.098004,47.152861,44.446912,47.542970,47.606671,40.628049,42.309719,41.761585,43.192824,43.046073,43.221254,43.504571,44.419946,45.442266,40.109536,40.717553,40.891598,41.535861,41.532561,41.943942,42.122640,43.114911,43.873640,40.475220,40.301917,40.557805,41.618531,41.752077,41.966980,41.337567,42.967353,43.721260
19200,44.105958,45.533879,46.201241,47.552724,46.881753,47.957361,45.038497,48.217449,48.393658,41.638633,43.442342,42.854936,44.683188,44.451591,44.502220,44.491113,45.791615,46.634241,40.921363,41.816101,41.993333,44.082662,43.130082,43.702552,43.104995,44.486473,45.120772,41.350418,41.259658,41.448295,42.151061,42.315145,42.291097,42.671659,43.600289,44.601130
25600,44.092801,45.409687,46.146015,47.431794,46.951988,47.910652,44.796576,48.095272,48.314399,41.404904,43.215889,42.767601,44.546010,44.310991,44.342308,44.057032,45.498208,46.388929,40.754818,41.720540,41.844864,42.893008,42.679263,43.509002,43.219833,44.464465,45.299352,41.105528,40.861830,41.116114,41.825873,42.002546,42.005039,42.299385,43.378343,44.442211
32000,44.147266,45.469726,46.096159,47.219272,46.741959,47.898320,44.814539,47.993387,48.239039,41.983930,44.554798,43.636282,45.923674,45.524079,45.927933,44.612997,46.361380,47.419792,41.492094,42.692976,42.881993,44.681814,44.151301,45.060315,43.758490,45.274701,46.167496,41.847165,42.052493,42.538174,43.554007,43.425497,43.568087,43.030366,44.492988,45.386608
38400,44.732429,46.127250,46.915311,48.354787,47.710340,48.845303,45.386571,48.863189,49.183949,42.060983,44.322332,43.624389,45.775195,45.377515,45.644657,45.017980,46.209777,47.355868,41.464860,42.660124,42.951170,44.658071,46.177952,44.782646,44.050995,45.183500,46.064602,41.448634,41.939903,42.384738,43.340568,43.319794,43.429540,43.009541,44.391276,45.308881
44800,44.441980,46.046008,46.677170,48.197557,47.651881,48.626222,45.457414,48.679911,49.001660,42.055925,44.285469,43.514623,45.728233,45.306370,45.584517,44.746942,46.240291,47.332169,41.517130,42.606534,42.794628,44.420801,44.037238,44.869491,44.035114,45.274106,46.024559,42.190571,42.024363,42.550724,45.657581,43.396929,43.419011,43.435222,44.422337,45.723669
51200,44.461253,45.989159,47.016739,48.359527,47.665024,48.763404,45.404945,48.841155,49.149513,42.010204,44.224602,43.409053,45.553893,45.167307,45.495883,44.627900,46.014188,47.141503,41.519711,42.433842,42.677826,44.405004,43.927135,44.939414,43.900050,45.111115,45.987767,41.872428,41.865812,42.307323,43.230459,43.174100,43.107153,43.082573,44.288004,45.224799
57600,44.569229,46.055626,46.879318,48.166307,47.623920,48.906042,45.332438,48.723114,49.003968,41.798600,44.199915,43.385292,45.627893,45.083859,45.414470,44.482861,46.011229,47.020586,41.559429,42.296801,42.548217,44.192527,43.853221,44.851479,43.824549,44.991080,46.109710,42.340409,41.732458,42.089267,42.974057,43.149734,43.051484,42.915097,44.127413,45.159706
64000,44.587173,46.044098,46.767728,48.191167,47.552101,48.535177,45.322578,48.823887,48.985989,41.935768,44.001931,43.296228,45.550600,45.072072,45.165007,44.752869,45.947560,47.083568,42.100718,43.873467,43.787072,45.819148,45.414534,46.341131,44.299817,46.177216,47.140850,42.397483,43.014989,43.526114,44.821581,44.549908,44.782490,43.368840,45.366730,46.496409
128000,44.723524,46.628581,47.350095,49.081391,48.282283,49.464029,45.901222,49.223821,49.535338,42.408404,44.830481,44.008602,46.355025,45.789412,46.304558,45.057079,46.689807,47.772676,41.887651,43.313988,43.265953,45.220230,44.698917,45.732147,44.201236,45.741653,46.673767,43.149507,44.001023,44.501619,45.832261,45.642140,45.778671,44.134817,46.036901,47.763086
192000,45.260421,47.136609,48.161708,49.721454,49.129704,50.477968,46.587721,50.058038,50.430261,43.353040,45.618352,45.044854,47.233352,46.833534,47.300010,45.741382,47.604274,48.977430,42.559338,44.417923,44.118922,46.234212,45.741892,46.873915,44.953829,46.427803,47.542873,43.325184,43.779886,44.247953,45.429535,45.259910,45.253245,44.294908,46.106448,47.110261
256000,45.562599,47.111907,48.016986,49.669359,48.998600,50.178154,46.345409,49.966249,50.359541,43.043103,45.808427,44.767856,47.189693,46.743821,47.232473,45.484934,47.318336,48.558393,42.343039,45.117397,48.286240,50.064790,45.689530,46.889041,44.761033,46.489100,47.568856,42.979511,43.687151,44.164710,45.368924,45.110253,45.081963,45.301545,45.889344,46.996253
320000,45.894184,47.676397,48.882980,50.894215,49.900775,51.138599,46.853319,50.685688,51.180154,43.468285,46.447154,45.547955,48.143985,47.722992,48.386975,46.074586,48.214975,49.511470,43.071675,45.361455,44.881425,47.008709,46.740223,47.778267,45.500621,47.208687,48.362935,43.717974,44.643215,45.131661,46.428808,46.326390,46.382954,44.712639,46.463348,47.971529
384000,45.814356,47.720327,48.755171,50.554652,50.007485,51.108160,47.914965,50.562875,51.109092,43.524475,46.358352,45.409059,48.078140,47.565764,48.228072,46.030980,48.134140,49.313554,43.031138,45.220318,44.845226,47.015068,46.587238,47.739694,45.161984,47.160233,48.349217,43.703383,44.578430,45.037965,46.491931,46.110811,46.229141,44.860352,46.457402,47.843419
