Elements,Fenw,LFenw,Byte,LByte,Bit,LBit,LFenwFenw16,LByteByte16,LBitBit16,Fenw(16),LFenw(16),Byte(16),LByte(16),Bit(16),LBit(16),LFenwFenw16(16),LByteByte16(16),LBitBit16(16),Fenw(32),LFenw(32),Byte(32),LByte(32),Bit(32),LBit(32),LFenwFenw16(32),LByteByte16(32),LBitBit16(32),Fenw(64),LFenw(64),Byte(64),LByte(64),Bit(64),LBit(64),LFenwFenw16(64),LByteByte16(64),LBitBit16(64)
640,19.268436,19.016267,18.894223,19.157386,19.291528,19.617248,20.609176,18.009403,17.823632,19.572456,19.636968,19.226919,20.580376,20.223660,20.689521,20.802866,20.771648,20.765595,19.543768,19.639915,19.233266,20.591916,20.190376,20.728600,20.778815,20.766589,20.773332,19.578720,19.607473,19.219680,20.552698,20.209290,20.746619,20.733414,20.975303,20.734812
1280,18.630306,18.993939,18.880299,19.435407,19.195854,19.611684,20.663951,17.961484,17.798410,19.629877,19.583554,19.241276,20.566929,20.209824,20.727711,20.805803,20.794607,20.760139,19.586871,19.603725,19.252110,20.585409,20.173724,20.748717,20.766207,20.784418,20.745797,19.597088,19.615536,19.283007,20.613901,20.167842,20.799903,20.798850,21.044105,20.801757
1920,18.628511,19.000170,18.897020,19.232504,19.159605,20.557200,20.599565,17.974417,17.842142,19.566273,19.615344,19.297912,20.572117,20.186369,20.837304,20.826332,20.806959,20.781035,19.573289,19.614210,19.222401,20.582637,20.177073,20.807283,20.792994,20.770969,20.792176,19.577111,19.604491,19.218044,20.551964,20.179728,20.694592,20.750880,21.127242,20.785007
2560,18.622678,18.932690,18.887926,19.178089,19.159835,19.633601,20.663304,17.980452,17.876202,19.608765,19.540973,19.250256,20.544440,20.367142,20.857703,20.745937,20.916719,20.908547,20.067700,19.676311,19.297052,20.604652,20.210878,20.810824,20.773286,20.772084,20.831835,19.625429,19.591630,19.236313,20.646301,20.257289,20.859731,21.756941,21.004691,20.753128
3200,18.593627,19.028488,18.878362,19.229305,19.143098,19.604333,20.561351,17.996825,17.805036,19.615845,19.561415,19.255910,20.573324,20.200172,20.664080,20.775942,20.777575,20.789002,19.577657,19.608404,19.252488,20.581245,20.434015,20.913923,20.782523,20.781971,20.774899,19.566007,19.594476,19.255843,20.600052,20.193942,20.765486,20.781181,21.267132,20.772999
3840,18.588356,19.071615,18.890196,19.185828,19.147822,19.635380,20.652475,18.005278,17.839325,19.659662,19.620525,19.291521,20.614896,20.191538,20.669565,20.811185,20.833742,20.859415,19.627209,19.561462,19.269969,20.744198,20.196195,20.757703,20.827432,20.811709,20.731874,19.592961,19.635891,19.233108,20.654019,20.249907,20.816343,20.888609,21.479828,20.764959
4480,19.684627,19.985145,19.943179,20.196154,20.260068,20.577145,21.430955,19.253144,19.121005,20.498516,20.557270,20.256081,21.469462,21.121027,21.510546,21.645650,21.617716,21.547585,20.440146,20.458155,20.243232,21.366122,21.074998,21.566749,21.560137,21.638545,21.571762,20.505187,20.606560,20.357192,21.348401,21.396059,21.550386,21.663778,21.836810,21.584954
5120,20.764191,21.261877,21.355185,21.632842,21.777893,22.014203,22.790600,20.995917,20.798758,21.793974,21.861522,21.751312,22.536880,22.354621,22.707176,22.720699,22.829373,22.638401,21.634023,21.788136,21.525185,22.326218,22.370126,22.728608,22.725174,22.716786,22.757568,21.701099,21.863197,21.886335,22.481981,22.544192,22.739264,22.796840,23.053220,22.733034
5760,21.849052,22.463986,22.512282,22.617464,22.955464,23.087660,23.526138,22.217325,22.053928,22.827956,22.631656,22.698676,23.395216,23.280994,23.479648,23.713046,23.655179,23.519677,22.501365,22.769022,22.569541,23.231617,23.367066,23.551303,23.672843,23.904206,23.667007,22.724447,22.707278,22.711892,23.276759,23.386174,23.606050,23.714286,23.983607,23.592809
6400,22.615066,23.146518,23.419905,23.690248,23.875203,24.026578,24.563887,23.236492,23.053661,23.596180,23.497947,23.377537,24.079067,24.079185,24.234177,24.270269,24.406001,24.336895,23.421924,23.414349,23.368583,23.900601,24.160961,24.175412,24.423460,24.401298,24.269877,23.476215,23.442055,23.522926,23.960738,24.173670,24.273496,24.442757,25.287748,24.321856
12800,23.328841,24.222925,24.869982,24.547457,24.690497,25.678313,24.832554,25.535331,26.078735,26.807961,26.950338,26.827087,27.124423,26.976628,27.392013,27.262761,27.381244,27.154096,26.894697,26.981728,26.913708,27.326786,26.798348,27.365628,27.167056,27.230932,27.223745,27.010316,26.956354,26.731026,27.248208,26.938090,27.407238,27.395904,27.462936,27.433590
19200,23.910022,24.862553,25.083183,25.453366,25.242955,26.085028,25.583371,26.639784,26.531870,28.111503,28.419447,28.311039,28.399624,28.243129,28.917895,28.659367,28.767231,28.551213,28.277953,28.467188,28.183684,28.793753,28.122184,28.878993,28.628446,28.611443,28.596153,28.256505,28.485248,28.027484,28.570451,28.342318,28.881103,28.791974,28.865940,29.008899
25600,24.857098,26.172927,25.828283,26.462028,26.205734,27.022730,26.468340,27.386350,27.084808,28.787666,29.288672,28.647103,29.138659,28.628467,29.381909,29.259407,29.197761,29.244968,28.912060,29.163345,28.774587,29.449275,28.772483,29.521535,29.202009,29.277031,29.239797,29.015176,29.320272,29.082496,29.121353,29.260247,29.571796,29.391522,29.821515,29.615300
32000,25.668097,27.112269,27.068576,28.161790,27.722702,28.635030,27.176926,28.298093,28.321630,29.281596,29.865714,29.127121,29.724730,28.993084,29.940456,29.725644,29.877419,29.787456,28.955589,29.902677,29.147512,29.872143,29.354197,30.117987,29.592201,29.734010,29.765569,29.197736,29.821130,29.183735,29.725183,29.731057,30.013886,29.958662,29.960443,30.112581
38400,25.611450,27.135922,26.832223,27.876452,27.116431,28.434335,27.220764,28.204841,28.153571,29.714020,30.211842,29.482685,30.150895,29.367688,30.317808,30.172222,30.135069,29.991920,29.518787,30.326997,29.520748,30.363509,29.765725,30.525968,30.071063,30.147075,30.140437,29.411323,30.188598,29.507625,30.003013,30.033530,30.455173,30.088109,30.231480,30.551897
44800,25.039875,26.727993,26.666645,27.877807,26.963929,28.627586,26.796205,28.084675,28.159761,30.003755,30.523705,29.695783,30.301510,29.770906,30.538546,30.494478,30.506094,30.345881,29.881719,30.555721,29.748920,30.405613,29.978311,30.670731,30.264794,30.334732,30.438618,29.711376,30.418410,29.876650,30.233448,30.341516,30.682425,30.339449,30.431802,30.885779
51200,25.252422,26.976638,27.075906,28.342096,27.123936,29.081158,27.045303,28.452170,28.504597,30.170389,30.681575,30.020562,30.604549,30.125992,30.829285,30.846604,31.042060,30.733026,30.025507,30.814651,30.065664,30.783859,30.277355,30.922717,30.684133,30.775626,30.717422,29.882898,30.612271,30.250902,30.473361,30.694189,30.975802,30.750071,30.737870,31.107593
57600,25.263593,27.169916,27.175151,28.252862,27.348673,29.364394,27.220289,28.714502,28.637917,30.324737,30.808224,30.217606,30.881334,30.348505,31.015319,31.022554,31.001008,31.014097,30.385735,31.058914,30.210437,31.137916,30.562641,31.063239,31.118711,30.941389,30.958144,30.054354,31.542597,30.519237,30.775886,30.869289,31.252057,31.075327,31.066603,31.390604
64000,26.061016,28.162247,27.742796,29.040891,27.954170,30.149608,27.760739,29.271789,29.169095,30.700930,31.061804,30.431878,31.214408,30.718772,31.380915,31.343706,31.258657,31.257572,30.711918,31.152164,30.513475,31.597897,30.924092,31.353706,31.475798,31.305698,31.264836,30.399387,31.091130,30.818184,31.160669,31.111616,31.541667,31.256443,31.429822,32.076008
128000,26.716925,29.417799,28.626789,30.485384,29.168687,31.971178,28.147384,30.122601,30.140556,33.452733,34.257187,33.462853,34.549487,33.789101,34.473245,34.150340,34.659631,34.874514,33.159631,33.984027,33.061796,33.800511,33.264315,34.211021,34.029282,33.729974,33.594447,33.787813,33.813975,33.658618,34.274415,33.537184,34.497645,33.986669,34.619972,33.842471
192000,26.681697,29.581284,28.806714,30.867427,29.307194,32.407641,28.406020,30.405772,30.404865,32.763384,33.621881,32.840039,33.902034,33.170343,33.481641,33.601342,33.908701,34.232350,35.355612,35.462684,34.597985,35.455835,34.632331,35.878124,35.743767,35.778308,36.012805,36.692295,36.659252,36.618718,37.124320,36.483430,37.667585,36.853285,37.850839,36.556420
256000,27.505116,30.525591,29.351342,31.774930,30.050408,33.281594,28.736731,31.035481,31.149718,33.525303,34.890523,33.776744,35.070006,34.055564,35.045622,34.458281,34.997618,35.270750,36.312835,36.950227,39.296142,39.193492,38.851195,37.858914,36.976233,37.461400,37.740391,39.640701,39.313070,39.613536,39.950080,39.224442,40.504435,39.416690,40.967470,39.618248
320000,27.331792,30.522025,29.416015,31.770520,30.287365,33.458521,28.803810,30.980508,31.080537,33.257366,34.429242,33.400143,34.567240,33.674863,34.579545,34.149221,34.559642,34.914362,35.392824,36.260260,36.097814,36.389753,36.114769,36.966125,36.220252,36.679965,36.989200,38.643076,39.211569,39.248190,39.985008,39.367700,40.139284,39.449516,40.525065,39.796147
384000,27.459667,30.927757,29.759744,32.304745,30.360047,33.845543,28.960864,31.604844,31.267737,33.743653,35.072835,33.937817,35.424076,34.229232,35.424537,34.789886,35.783443,36.114657,35.549179,36.477647,36.097229,36.475342,36.413802,36.866467,36.278811,36.597632,36.969676,39.649497,40.060543,40.123573,40.741415,40.120406,40.978731,40.466956,41.501655,40.727808
448000,27.660951,30.906875,29.882368,32.452609,30.676743,33.966642,28.938288,31.338922,31.536002,33.898526,35.427371,34.263636,35.763746,34.662979,35.695675,35.147164,35.730415,36.069442,35.603448,36.916815,36.253477,36.802580,36.154568,37.194253,36.335068,36.919821,37.188368,40.855991,41.452902,41.208490,42.173128,40.997085,41.865670,41.955002,42.941300,41.893564
512000,27.848802,31.593883,30.420455,33.180394,31.054107,34.499029,29.205943,31.822093,31.929713,34.467656,36.049223,34.858986,36.439444,35.328289,36.365534,35.635743,36.363755,36.800496,36.415226,37.964175,37.266295,37.921410,36.934612,38.419573,37.244974,37.684596,38.026182,42.559451,42.995495,43.007953,43.539249,42.385065,43.002532,43.405897,44.276144,43.271278
576000,28.038281,31.778175,30.518543,33.335352,31.190683,34.671500,29.435228,31.953068,32.047353,34.444135,36.226370,35.014289,36.628406,35.339329,36.579353,35.846500,36.550534,37.165167,36.222771,37.598931,36.844217,37.574500,36.635017,37.911838,37.046487,37.410436,37.906119,41.808795,42.396897,42.259037,42.935624,41.911597,42.343266,42.671243,43.598756,42.643693
