Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[$12$]fixed,byte[$12$]byte,bit[$12$]bit,fixed[$12$]byte,fixed[$12$]bit,byte[$12$]bit,fixed[$14$]fixed,byte[$14$]byte,bit[$14$]bit,fixed[$14$]byte,fixed[$14$]bit,byte[$14$]bit,fixed[$16$]fixed,byte[$16$]byte,bit[$16$]bit,fixed[$16$]byte,fixed[$16$]bit,byte[$16$]bit,fixed[$18$]fixed,byte[$18$]byte,bit[$18$]bit,fixed[$18$]byte,fixed[$18$]bit,byte[$18$]bit,fixed[$20$]fixed,byte[$20$]byte,bit[$20$]bit,fixed[$20$]byte,fixed[$20$]bit,byte[$20$]bit
49280,1.006169,1.023052,0.163636,0.181006,0.132955,0.149838,1.018831,0.178247,0.147727,0.176461,0.145779,0.147565,1.018831,0.178247,0.147727,0.176461,0.145779,0.147565,1.018831,0.178247,0.147727,0.176461,0.145779,0.147565,1.018831,0.178247,0.147727,0.176461,0.145779,0.147565,1.018831,0.178247,0.147727,0.176461,0.145779,0.147565
49920,1.006090,1.022756,0.163622,0.180769,0.132853,0.149519,1.018590,0.178045,0.147436,0.176282,0.145513,0.147276,1.018590,0.178045,0.147436,0.176282,0.145513,0.147276,1.018590,0.178045,0.147436,0.176282,0.145513,0.147276,1.018590,0.178045,0.147436,0.176282,0.145513,0.147276,1.018590,0.178045,0.147436,0.176282,0.145513,0.147276
50560,1.006013,1.022468,0.163449,0.180380,0.132753,0.149209,1.018354,0.177690,0.147152,0.175949,0.145253,0.146994,1.018354,0.177690,0.147152,0.175949,0.145253,0.146994,1.018354,0.177690,0.147152,0.175949,0.145253,0.146994,1.018354,0.177690,0.147152,0.175949,0.145253,0.146994,1.018354,0.177690,0.147152,0.175949,0.145253,0.146994
51840,1.005864,1.021914,0.163272,0.179784,0.132562,0.148611,1.017901,0.177160,0.146605,0.175463,0.144753,0.146451,1.017901,0.177160,0.146605,0.175463,0.144753,0.146451,1.017901,0.177160,0.146605,0.175463,0.144753,0.146451,1.017901,0.177160,0.146605,0.175463,0.144753,0.146451,1.017901,0.177160,0.146605,0.175463,0.144753,0.146451
52480,1.005793,1.021646,0.163262,0.179573,0.132470,0.148323,1.017683,0.176982,0.146341,0.175305,0.144512,0.146189,1.017683,0.176982,0.146341,0.175305,0.144512,0.146189,1.017683,0.176982,0.146341,0.175305,0.144512,0.146189,1.017683,0.176982,0.146341,0.175305,0.144512,0.146189,1.017683,0.176982,0.146341,0.175305,0.144512,0.146189
53120,1.005723,1.021386,0.163102,0.179217,0.132380,0.148042,1.017470,0.176657,0.146084,0.175000,0.144277,0.145934,1.017470,0.176657,0.146084,0.175000,0.144277,0.145934,1.017470,0.176657,0.146084,0.175000,0.144277,0.145934,1.017470,0.176657,0.146084,0.175000,0.144277,0.145934,1.017470,0.176657,0.146084,0.175000,0.144277,0.145934
53760,1.005655,1.021131,0.163095,0.179018,0.132292,0.147768,1.017262,0.176488,0.145833,0.174851,0.144048,0.145685,1.017262,0.176488,0.145833,0.174851,0.144048,0.145685,1.017262,0.176488,0.145833,0.174851,0.144048,0.145685,1.017262,0.176488,0.145833,0.174851,0.144048,0.145685,1.017262,0.176488,0.145833,0.174851,0.144048,0.145685
54400,1.005588,1.020882,0.162941,0.178676,0.132206,0.147500,1.017059,0.176176,0.145588,0.174559,0.143824,0.145441,1.017059,0.176176,0.145588,0.174559,0.143824,0.145441,1.017059,0.176176,0.145588,0.174559,0.143824,0.145441,1.017059,0.176176,0.145588,0.174559,0.143824,0.145441,1.017059,0.176176,0.145588,0.174559,0.143824,0.145441
55040,1.005523,1.020640,0.162936,0.178488,0.132122,0.147238,1.016860,0.176017,0.145349,0.174419,0.143605,0.145203,1.016860,0.176017,0.145349,0.174419,0.143605,0.145203,1.016860,0.176017,0.145349,0.174419,0.143605,0.145203,1.016860,0.176017,0.145349,0.174419,0.143605,0.145203,1.016860,0.176017,0.145349,0.174419,0.143605,0.145203
55680,1.005460,1.020402,0.162787,0.178161,0.132040,0.146983,1.016667,0.175718,0.145115,0.174138,0.143391,0.144971,1.016667,0.175718,0.145115,0.174138,0.143391,0.144971,1.016667,0.175718,0.145115,0.174138,0.143391,0.144971,1.016667,0.175718,0.145115,0.174138,0.143391,0.144971,1.016667,0.175718,0.145115,0.174138,0.143391,0.144971
56320,1.005398,1.020170,0.162784,0.177983,0.131960,0.146733,1.016477,0.175568,0.144886,0.174006,0.143182,0.144744,1.016477,0.175568,0.144886,0.174006,0.143182,0.144744,1.016477,0.175568,0.144886,0.174006,0.143182,0.144744,1.016477,0.175568,0.144886,0.174006,0.143182,0.144744,1.016477,0.175568,0.144886,0.174006,0.143182,0.144744
57600,1.005278,1.019722,0.162639,0.177500,0.131806,0.146250,1.016111,0.175139,0.144444,0.173611,0.142778,0.144306,1.016111,0.175139,0.144444,0.173611,0.142778,0.144306,1.016111,0.175139,0.144444,0.173611,0.142778,0.144306,1.016111,0.175139,0.144444,0.173611,0.142778,0.144306,1.016111,0.175139,0.144444,0.173611,0.142778,0.144306
58240,1.005220,1.019505,0.162500,0.177198,0.131731,0.146016,1.015934,0.174863,0.144231,0.173352,0.142582,0.144093,1.015934,0.174863,0.144231,0.173352,0.142582,0.144093,1.015934,0.174863,0.144231,0.173352,0.142582,0.144093,1.015934,0.174863,0.144231,0.173352,0.142582,0.144093,1.015934,0.174863,0.144231,0.173352,0.142582,0.144093
58880,1.005163,1.019293,0.162500,0.177038,0.131658,0.145788,1.015761,0.174728,0.144022,0.173234,0.142391,0.143886,1.015761,0.174728,0.144022,0.173234,0.142391,0.143886,1.015761,0.174728,0.144022,0.173234,0.142391,0.143886,1.015761,0.174728,0.144022,0.173234,0.142391,0.143886,1.015761,0.174728,0.144022,0.173234,0.142391,0.143886
59520,1.005108,1.019086,0.162366,0.176747,0.131586,0.145565,1.015591,0.174462,0.143817,0.172984,0.142204,0.143683,1.015591,0.174462,0.143817,0.172984,0.142204,0.143683,1.015591,0.174462,0.143817,0.172984,0.142204,0.143683,1.015591,0.174462,0.143817,0.172984,0.142204,0.143683,1.015591,0.174462,0.143817,0.172984,0.142204,0.143683
60160,1.005053,1.018883,0.162367,0.176596,0.131516,0.145346,1.015426,0.174335,0.143617,0.172872,0.142021,0.143484,1.015426,0.174335,0.143617,0.172872,0.142021,0.143484,1.015426,0.174335,0.143617,0.172872,0.142021,0.143484,1.015426,0.174335,0.143617,0.172872,0.142021,0.143484,1.015426,0.174335,0.143617,0.172872,0.142021,0.143484
