Elements,Fenw,LFenw,Byte,LByte,Bit,LBit,LFenwFenw16,LByteByte16,LBitBit16,Fenw(16),LFenw(16),Byte(16),LByte(16),Bit(16),LBit(16),LFenwFenw16(16),LByteByte16(16),LBitBit16(16),Fenw(32),LFenw(32),Byte(32),LByte(32),Bit(32),LBit(32),LFenwFenw16(32),LByteByte16(32),LBitBit16(32),Fenw(64),LFenw(64),Byte(64),LByte(64),Bit(64),LBit(64),LFenwFenw16(64),LByteByte16(64),LBitBit16(64)
640000000,9.224220,9.965247,12.812671,10.614513,12.943150,10.464840,7.213391,12.683954,12.674715,3.163051,3.245092,3.534421,3.359546,3.589594,3.360775,3.151639,3.537613,3.592552,3.314476,3.313649,3.495555,3.402177,3.535614,3.410596,3.308251,3.496880,3.525193,3.444285,3.443348,3.525260,3.481996,3.546041,3.485001,3.432799,3.521255,3.542363
800000000,9.205590,9.969533,12.859841,10.653956,13.249271,10.471612,7.210076,12.673181,12.683280,3.168139,3.252236,3.521246,3.370753,3.593973,3.379251,3.147946,3.529412,3.591442,3.310371,3.316459,3.490433,3.405972,3.534499,3.408426,3.307153,3.492091,3.530457,3.428460,3.435072,3.520604,3.488141,3.543817,3.480895,3.432499,3.518060,3.538344
960000000,9.211920,9.966961,12.832836,10.629952,12.985307,10.460425,7.212176,12.671628,12.673536,3.212379,3.271101,3.526647,3.400319,3.590809,3.406744,3.163475,3.532906,3.592619,3.317094,3.325520,3.495929,3.405077,3.535022,3.401585,3.315069,3.493830,3.532793,3.439648,3.435635,3.532866,3.481637,3.545130,3.486785,3.435035,3.527830,3.548616
1120000000,9.191951,10.067998,12.841352,10.654472,13.002283,10.495745,7.373147,12.736972,12.673329,3.225784,3.276215,3.535416,3.406364,3.590951,3.422796,3.215979,3.524838,3.587580,3.317489,3.347496,3.498660,3.413378,3.525882,3.407205,3.306357,3.492853,3.532588,3.437418,3.436790,3.534384,3.492788,3.542744,3.478081,3.436885,3.520178,3.545317
1280000000,9.191247,9.961600,12.845770,10.660457,13.023418,10.466135,7.216912,12.665047,12.663617,3.225406,3.273630,3.529689,3.409740,3.584467,3.422731,3.155687,3.521663,3.589520,3.311401,3.356229,3.494343,3.405388,3.522353,3.408820,3.305341,3.486934,3.524035,3.430899,3.429612,3.521812,3.501603,3.545452,3.479425,3.439301,3.516644,3.535356
1440000000,9.179984,9.976311,12.847810,10.631197,13.003916,10.482082,7.212655,12.668752,12.661153,3.244739,3.279642,3.525661,3.412445,3.589715,3.427417,3.151814,3.524502,3.603640,3.310775,3.364218,3.486448,3.411708,3.521392,3.417247,3.302791,3.489939,3.524508,3.424374,3.434473,3.515472,3.476016,3.536818,3.473829,3.426657,3.516534,3.543447
1600000000,9.192556,9.978798,12.842825,10.644165,12.978467,10.493827,7.202312,12.664450,12.865834,3.263405,3.288358,3.527066,3.418813,3.587922,3.434273,3.158127,3.523051,3.596988,3.349591,3.364985,3.490353,3.455684,3.521756,3.414636,3.310597,3.486254,3.520184,3.428153,3.434881,3.518259,3.475905,3.539967,3.477606,3.434336,3.520535,3.537406
1760000000,9.309519,9.949660,12.836857,10.618239,13.111758,10.629457,7.230129,12.679696,12.670979,3.257340,3.288813,3.526057,3.417384,3.587472,3.428358,3.153823,3.519279,3.582382,3.329126,3.365502,3.486365,3.421006,3.522418,3.423688,3.302091,3.483998,3.523959,3.425613,3.439252,3.509704,3.472948,3.533192,3.472506,3.426674,3.522368,3.542228
1920000000,9.156480,9.948094,12.824360,10.626278,13.098530,10.666728,7.223260,12.635670,12.629052,3.262863,3.289814,3.522767,3.418396,3.584589,3.431649,3.151551,3.518235,3.581711,3.333075,3.363729,3.486593,3.419263,3.521727,3.423875,3.305551,3.484304,3.520085,3.425690,3.434277,3.512840,3.469079,3.536072,3.476535,3.427579,3.511337,3.540008
2080000000,9.147893,9.929562,12.824662,10.639327,13.100479,10.618529,7.207981,12.626368,12.626588,3.264330,3.293660,3.518614,3.414862,3.580345,3.430636,3.152331,3.516924,3.575615,3.331619,3.360372,3.480433,3.419187,3.518347,3.422986,3.299038,3.479471,3.516042,3.421968,3.458155,3.512863,3.467499,3.535494,3.471273,3.427559,3.507531,3.526052
2240000000,9.177862,9.961140,12.820801,10.611962,13.085565,10.626500,7.401502,12.628630,12.811340,3.443608,3.471483,3.632503,3.416874,3.582699,3.434724,3.214522,3.629805,3.584100,3.339642,3.362260,3.483123,3.429481,3.518851,3.433832,3.303990,3.481713,3.518721,3.423665,3.436012,3.509849,3.473011,3.531912,3.472467,3.420583,3.509885,3.531958
2400000000,9.149798,9.927498,12.813483,10.595223,13.091256,10.606624,7.380802,12.608641,12.825018,3.445587,3.472520,3.628269,3.408590,3.575276,3.422418,3.212865,3.623265,3.574448,3.333868,3.355397,3.477035,3.435204,3.519251,3.430358,3.298823,3.476622,3.511912,3.424279,3.436210,3.505471,3.465653,3.523533,3.469181,3.416364,3.505166,3.523671
2560000000,9.159879,9.921053,12.828153,10.615475,13.101743,10.644422,7.419789,12.627967,12.800854,3.445049,3.474011,3.629917,3.418817,3.584232,3.432250,3.216103,3.639832,3.578611,3.348998,3.365756,3.480704,3.427709,3.516005,3.434038,3.301839,3.486654,3.519428,3.430939,3.459065,3.511540,3.483659,3.529055,3.471935,3.419231,3.511361,3.532804
2720000000,9.149262,9.927198,12.825804,10.629575,13.095278,10.621369,7.373447,12.618376,12.800335,3.444406,3.478624,3.629439,3.413465,3.577909,3.430070,3.205633,3.618045,3.577234,3.345788,3.358171,3.482583,3.431082,3.518514,3.436867,3.308411,3.482036,3.513577,3.419129,3.443933,3.501848,3.470052,3.525513,3.471781,3.419350,3.509000,3.526621
