Elements,Fenw,LFenw,Byte,LByte,Bit,LBit,LFenwFenw16,LByteByte16,LBitBit16,Fenw(16),LFenw(16),Byte(16),LByte(16),Bit(16),LBit(16),LFenwFenw16(16),LByteByte16(16),LBitBit16(16),Fenw(32),LFenw(32),Byte(32),LByte(32),Bit(32),LBit(32),LFenwFenw16(32),LByteByte16(32),LBitBit16(32),Fenw(64),LFenw(64),Byte(64),LByte(64),Bit(64),LBit(64),LFenwFenw16(64),LByteByte16(64),LBitBit16(64)
640000000,172.406816,150.513669,142.224050,163.322839,167.542953,147.987615,175.389777,183.815655,178.249220,117.203427,122.027094,118.040285,123.088568,121.110701,124.045991,125.194026,126.081119,128.706702,113.228750,118.086041,116.777635,121.333148,119.735808,122.602833,117.743065,122.866962,126.192089,111.692430,116.075803,116.386769,120.112737,119.289802,120.884500,115.583902,121.214731,124.661416
800000000,169.354847,152.312856,144.685140,167.401772,178.176781,152.327788,175.044349,188.720752,184.517462,119.447169,125.286968,119.758167,124.755441,122.645808,125.412978,127.460515,127.054422,129.967748,114.708151,119.732675,118.230312,123.154707,121.126085,123.636265,118.691821,124.171293,127.209910,113.293679,117.839266,117.453729,121.347905,120.879020,123.114849,117.034921,122.790182,126.574493
960000000,174.421236,155.564154,148.740206,163.146058,185.691674,159.829925,180.521030,194.000618,190.725250,123.304180,126.722737,121.484749,126.091443,124.207647,126.918385,134.276963,129.115126,131.522961,116.320016,121.455307,120.035421,124.560911,123.230880,125.108759,120.938341,126.060430,128.761936,114.776399,119.141917,119.309842,123.468163,122.638148,124.462140,118.643635,124.313962,127.991673
1120000000,185.204974,167.485160,158.029135,191.369965,200.420604,187.691694,185.313273,202.561898,199.112699,130.757855,133.572091,125.528069,131.618861,130.349956,133.418345,144.851949,134.424622,137.415456,121.554737,127.288104,124.251595,129.457461,127.572815,130.825312,128.573006,131.921484,135.478424,118.962337,123.575057,124.153609,128.615837,127.914306,129.170240,123.208118,129.834717,133.844888
1280000000,183.629440,161.159035,154.607800,170.428959,201.861976,166.245437,180.520730,202.349392,199.738976,132.669410,130.668771,123.505042,129.205123,126.816880,130.075879,144.372924,132.660361,135.167738,120.152261,125.294788,122.387305,127.973982,125.477673,128.671311,126.937839,129.633036,133.180950,117.133088,121.226017,121.613417,125.873934,125.596377,126.790292,121.657372,127.379679,131.615631
1440000000,204.267107,193.181574,169.680527,186.193836,215.752482,187.921021,195.897975,210.416405,208.835630,144.406650,142.244964,130.014506,136.907273,134.222158,136.873293,155.244901,139.209541,142.924517,129.007634,134.053850,128.397658,133.994897,132.127751,134.700177,137.631701,136.066693,139.465111,123.663390,128.236024,127.705888,133.356584,131.680017,133.531089,127.906550,134.659671,139.804746
1600000000,201.965152,178.576757,164.306293,184.044510,217.432572,181.456630,191.207598,210.377216,208.836019,142.624777,140.354337,128.433832,135.122486,131.932564,135.470669,153.294450,137.833192,142.001404,127.493097,132.739374,130.597107,132.595469,130.498787,133.762257,136.216640,134.549026,137.860149,122.428089,127.053438,126.508666,131.116079,130.162422,131.960087,126.724289,133.109221,136.250007
1760000000,186.837003,170.935128,161.800182,181.552556,192.490564,178.285840,188.813157,209.144091,208.466756,140.909509,137.253359,126.604742,133.251285,131.357017,133.496067,153.396506,136.354862,138.238236,126.972172,130.476531,125.292925,131.830384,128.258461,131.416039,136.685281,132.483248,135.947958,120.024375,125.167594,124.484475,129.172469,127.729750,129.959600,124.648591,130.312785,134.437231
1920000000,197.118106,175.444509,159.836427,181.111166,194.121369,178.582130,187.253110,209.162013,208.673331,138.606515,134.655147,126.209246,133.457082,128.613338,132.353070,153.414010,136.874096,137.215815,127.775314,128.924710,124.260173,129.498761,127.239631,130.681287,138.024740,131.277177,134.786358,119.211919,124.623904,123.770643,127.901014,127.706754,129.175404,123.360315,129.407391,133.361756
2080000000,191.850678,172.047611,158.259811,177.919678,192.200889,177.971045,181.129204,210.040870,208.685588,137.370613,132.389042,125.930079,131.209265,127.937260,131.778222,156.276715,138.637052,137.360403,127.575110,127.490350,123.092381,128.114851,126.088323,128.637424,137.877253,129.841295,133.244305,118.650098,122.792777,122.100928,128.470368,125.666962,127.746427,122.761089,127.494838,131.326367
2240000000,222.829546,203.413481,187.227841,209.818155,214.727322,207.848416,208.389050,224.567498,224.638345,172.527705,162.270385,142.159988,152.835162,143.430289,148.760546,178.189890,153.995692,151.896623,150.653969,151.226941,137.266055,144.512707,141.625315,144.727641,161.494577,145.994320,149.148494,133.882224,139.865219,136.481940,142.052934,140.950254,143.380168,139.838912,144.130532,148.624913
2400000000,215.623987,198.228394,184.024762,206.393830,213.020707,206.245383,205.372220,224.104332,223.949131,171.747509,159.652106,140.977253,151.346957,142.667832,147.196795,175.060623,155.474032,152.104258,149.098729,149.083195,135.164051,142.237476,138.859147,142.649001,158.987919,143.610973,146.827995,132.486596,138.381278,134.324754,139.995377,138.897645,140.641649,139.204575,142.089428,146.853257
2560000000,208.261792,196.076074,182.012215,205.729227,210.999410,206.425725,204.058088,224.295964,223.693370,170.701777,158.213701,141.535554,151.203156,140.576713,146.625060,175.763917,159.647097,150.348393,153.216531,147.712669,134.607240,141.223216,137.753059,141.528559,161.166587,143.288327,146.298017,135.997473,138.196400,133.309598,138.666664,137.493753,139.576860,141.468302,141.058855,145.381539
2720000000,206.962781,193.613722,180.498225,204.915450,211.071261,204.373778,201.384579,222.918587,222.966035,168.311070,155.745554,140.348353,149.746208,139.565813,145.063241,173.470663,164.264603,148.913468,147.992929,145.758426,132.394478,139.310391,137.037975,139.897760,161.039958,141.008556,144.593075,130.974713,136.134050,131.597587,136.924414,136.439603,137.787046,138.818452,138.851710,143.158096
