Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[26]byte,fixed[26]bit,fixed[32]byte,fixed[32]bit
100,25.314769,26.060946,28.985261,28.285674,32.354232,30.532582,29.813277,33.252524,30.006089,33.122208
110,25.481895,26.179354,29.161331,28.432340,32.568113,30.672795,29.934746,33.503054,30.070735,33.401404
120,25.798292,26.356079,29.380692,28.674597,32.958447,30.807741,30.139742,33.850096,30.242115,33.784441
130,26.117425,26.811543,29.717414,29.010011,33.403295,31.119479,30.419446,34.288130,30.611786,34.503942
140,26.325019,26.711095,29.709469,28.942630,33.346489,31.044905,30.362111,34.217483,30.539064,34.141698
150,25.849258,26.569156,29.634423,28.907054,33.216181,30.982923,30.319936,34.089359,30.486135,34.019766
160,25.978417,26.618357,29.673705,28.933248,33.312448,31.044534,30.371587,34.203767,30.528560,34.086649
170,25.886424,26.527452,29.607518,28.861550,33.252113,31.027494,30.309942,34.109495,30.414169,34.040820
180,25.803754,26.556772,29.638494,28.911902,33.320875,31.019264,30.351290,34.171787,30.486294,34.075837
190,26.016915,26.751330,29.857213,29.097137,33.591853,31.228832,30.474033,34.462865,30.631833,34.344906
200,26.063832,26.798061,29.944529,29.138266,33.612172,31.275570,30.534640,34.500937,30.639181,34.386773
210,26.005925,26.705358,29.865611,29.151774,33.582093,31.244527,30.483954,34.440489,30.633384,34.341538
220,26.119008,26.861218,29.969050,29.226572,33.726335,31.406330,30.554265,34.606138,30.658867,34.513144
230,26.218850,26.872313,30.041075,29.299246,33.757200,31.350714,30.636045,34.609812,30.728231,34.549126
240,26.367669,27.040960,30.160006,29.446470,34.021863,31.571145,30.745223,35.013904,31.477851,34.741316
250,26.442640,27.209690,30.274321,29.619461,34.216788,31.668871,30.871433,35.089723,31.034343,35.022604
260,26.747811,27.484332,30.502742,29.863114,34.426446,31.873192,31.048513,35.264141,31.180391,35.223625
270,26.861047,27.440463,30.459486,29.827730,34.416841,31.821476,30.992568,35.258051,31.139614,35.210046
280,26.650612,27.424835,30.483339,29.737742,34.442543,31.794202,30.980601,35.307859,31.115868,35.224121
290,26.696619,27.412889,30.455717,29.667753,34.375087,31.769321,30.956912,35.193441,31.062480,35.133938
300,26.628792,27.333440,30.386236,29.698157,34.359486,31.782883,30.930350,35.186178,31.057590,35.155962
310,26.540681,27.259945,30.370252,29.656305,34.259958,31.800513,30.892530,35.047009,31.050177,35.026417
320,26.630424,27.375107,30.468808,29.760585,34.410249,31.852038,30.975974,35.219074,31.098722,35.153993
330,26.570004,27.398047,30.446477,29.698298,34.391550,31.839277,30.945081,35.405434,31.099979,35.139220
340,26.513607,27.286697,30.390950,29.663091,34.315828,31.724217,30.905433,35.087100,31.035268,35.057869
350,26.571210,27.590783,30.442695,29.709385,34.361643,31.824112,30.970107,35.193366,31.094345,35.164830
360,26.515412,27.267223,30.427823,29.706592,34.341989,31.839077,30.928616,35.133888,31.072316,35.104837
370,26.549341,27.343770,30.476274,29.777548,34.438858,31.903165,30.976517,35.240404,31.158794,35.201871
380,26.707620,27.483623,30.594224,29.890826,34.569889,32.003751,31.078994,35.369809,31.234613,35.359735
390,26.736304,27.580260,30.639703,29.923614,34.660168,32.075823,31.138311,35.457600,31.310022,35.454338
400,26.694818,27.542687,30.646389,29.883104,34.624121,32.077611,31.106579,35.404147,31.270455,35.407381
410,26.643642,27.479044,30.583330,29.944500,34.596640,32.011704,31.101221,35.381570,31.258210,35.314454
420,26.703174,27.535737,30.649166,29.972374,34.628083,32.145291,31.116773,35.423200,31.305172,35.342000
430,26.683297,27.455573,30.647258,29.911807,34.630749,32.056955,31.115679,35.431834,31.275846,35.357705
440,26.749792,27.540948,30.665501,29.951349,34.690280,32.145626,31.180021,35.458487,31.350904,35.434714
450,26.839723,27.671722,30.797540,30.072217,34.855558,32.433914,31.231885,35.597849,31.360083,35.546136
460,26.745376,27.633110,30.791819,30.126337,34.849560,32.259823,31.281827,35.603668,31.453493,35.584101
470,26.854265,27.675220,30.797843,30.104598,34.803138,32.306113,31.265818,35.597567,31.430206,35.578282
480,26.890982,27.718971,30.914757,30.219527,34.927323,32.391190,31.306546,35.748513,31.518167,35.698276
490,26.945854,27.784098,30.902815,30.202930,35.034140,32.405469,31.369352,35.769203,31.550881,35.842089
500,26.996778,27.826331,31.024063,30.317751,35.184707,32.501348,31.489185,35.917104,31.623137,35.945422
510,27.244852,28.149380,31.231946,30.516056,35.453293,32.737614,31.649582,36.184072,31.790447,36.238168
520,27.206698,28.162804,31.275213,30.549466,35.407000,32.694920,31.688706,36.197383,31.852581,36.146291
530,27.250694,28.073642,31.233872,30.454322,35.378396,32.759853,31.637612,36.156405,31.803155,36.157938
540,27.283256,28.117217,31.236668,30.452548,35.366110,32.680805,31.659360,36.185064,31.801335,36.161381
550,27.246391,28.055214,31.246653,30.455837,35.426574,32.836749,31.585382,36.188070,31.769499,36.166714
560,27.234911,28.080777,31.182712,30.455208,35.333967,32.683746,31.636411,36.115889,31.784248,36.109067
570,27.119235,28.023320,31.167414,30.412784,35.349019,32.651026,31.581035,36.105350,31.733331,36.079224
580,27.329898,27.984902,31.178550,30.454240,35.300369,32.724098,31.569531,36.092558,31.764397,36.075997
