Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[26]byte,fixed[26]bit,fixed[32]byte,fixed[32]bit
100,34.611321,35.269742,40.676886,38.731445,40.739194,38.836240,41.930356,43.118843,42.061981,42.858404
110,35.834478,36.007931,42.260088,39.899064,42.039502,40.980435,42.977978,44.228275,43.405053,44.326760
120,36.695992,36.367485,42.491880,39.690626,42.660886,40.883456,43.812344,44.778520,43.764060,44.937820
130,37.588136,37.352926,43.202087,40.712309,42.520113,42.617814,43.974586,45.376880,44.403018,45.091434
140,39.024599,38.795812,44.817036,42.432638,44.396293,44.330469,45.800244,47.160936,46.124567,46.758191
150,35.936936,35.837388,41.632285,39.134854,41.393883,41.347468,42.634866,43.891272,43.007792,43.625043
160,37.650633,37.834085,43.819833,41.289180,43.736239,42.382830,44.707375,46.042456,45.263689,45.760479
170,37.410296,37.470803,43.435676,41.850506,43.310024,42.729119,44.474983,45.750831,44.891316,45.486216
180,37.855535,38.099375,43.967222,41.169974,44.031264,43.268863,44.878496,46.285176,45.201641,46.233644
190,36.783763,36.899796,43.539069,40.637506,44.186030,43.680286,44.554671,46.573112,44.730376,46.580661
200,38.120002,38.606791,44.742083,41.984635,44.760046,43.711253,46.074537,47.416143,46.272194,47.133280
210,38.099844,38.227381,44.791233,42.389045,44.787490,43.839609,45.725442,46.917770,46.150314,46.758915
220,38.805373,39.230229,45.945763,43.284435,45.873504,45.160350,46.664761,48.339385,46.924569,48.222240
230,39.914301,39.429011,46.412454,44.045643,46.610531,45.858123,47.615896,48.873443,47.984579,48.851743
240,37.828403,37.520715,44.071458,41.453200,44.286851,42.896374,45.833610,46.839745,45.866831,46.665029
250,37.631491,37.620217,44.405039,41.861447,44.856302,43.883193,45.545290,46.938482,45.862898,47.359658
260,43.072266,42.808316,49.600619,47.339430,48.139457,49.045379,50.561662,50.978832,51.176437,50.340903
270,41.372665,41.242705,48.432369,45.480023,47.083314,48.000118,49.900201,50.181351,50.396451,49.702819
280,41.573977,41.379541,48.276869,45.253332,46.764081,47.319226,49.608755,49.653921,50.097252,49.516051
290,41.808769,41.471931,48.569597,45.471973,47.001484,47.381030,49.855301,50.462830,50.259274,49.456113
300,41.199992,40.915451,48.299078,45.251075,46.931642,47.260815,49.863392,49.912541,50.142153,49.292739
310,40.727970,40.501793,48.185403,45.596798,47.167123,47.261320,49.706750,50.074306,49.899958,49.632550
