Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[26]byte,fixed[26]bit,fixed[32]byte,fixed[32]bit
690,38.853715,41.090303,42.274900,43.558149,46.806804,44.101011,43.419122,48.428253,43.634959,48.740798
700,38.908128,41.086660,42.260974,43.451856,46.759047,44.132678,43.403226,48.561578,43.653594,48.715932
710,38.904598,41.121295,42.322405,43.638232,46.802953,44.179407,43.382592,48.435292,43.647632,48.764982
720,38.865740,41.092764,42.271100,43.507531,46.848932,44.139194,43.627436,48.524159,43.649914,48.797853
730,38.823513,41.211774,42.222093,43.400939,46.800715,44.077327,43.361980,48.425860,43.583520,48.706333
740,38.838409,41.025650,42.266708,43.425660,46.882266,44.086361,43.292001,48.444377,43.539416,48.706926
750,38.877655,41.044956,42.215287,43.689499,46.762368,44.027425,43.290384,48.426491,43.544014,49.009016
760,38.854257,41.055308,42.164640,43.357840,46.775719,44.000880,43.475713,48.368910,43.664611,48.655471
770,38.904468,41.206952,42.405667,43.645720,46.887427,44.428130,43.535331,48.501408,43.958750,48.853899
780,38.869123,41.149975,42.357082,43.621710,46.829736,44.222361,43.455652,48.444742,43.693844,48.775306
790,38.892098,41.160539,42.370799,43.569796,46.862416,44.277573,43.470072,48.443110,43.665836,48.756830
800,38.887368,41.124932,42.502111,43.744547,46.814591,44.240488,43.549026,48.404995,43.885495,48.760148
810,38.860495,41.173365,42.281675,43.535948,46.808226,44.224351,43.434985,48.480354,43.692904,48.757005
820,38.873826,41.101027,42.309902,43.489342,46.814271,44.200617,43.479700,48.425708,43.741794,48.713880
830,38.827180,41.050086,42.322050,43.497047,46.759406,44.209275,43.417617,48.370814,43.614246,48.749911
840,38.867448,41.054580,42.300694,43.595073,46.829643,44.290428,43.372857,48.406241,43.677915,48.758971
850,38.850787,41.113256,42.591490,43.459035,46.761594,44.148588,43.410315,48.427804,43.680111,48.679600
860,38.833960,41.048614,42.289368,43.545352,46.786889,44.132015,43.395498,48.393359,43.594084,48.690571
870,38.832532,41.067898,42.233668,43.447228,46.736488,44.141788,43.336858,48.328264,43.617379,48.671290
880,38.855574,41.013855,42.280054,43.455504,46.746994,44.147228,43.377175,48.409503,43.588294,48.691840
890,38.800907,41.069616,42.151944,43.363571,46.686555,44.062924,43.338370,48.309730,43.535146,48.670000
900,38.869291,41.073016,42.318909,43.489802,46.771520,44.224028,43.384221,48.373686,43.635342,48.688624
910,38.840577,41.095775,42.319691,43.427030,46.769780,44.081337,43.301891,48.301976,43.575205,48.671196
920,38.832958,41.046220,42.261116,43.448477,46.749675,44.146717,43.348970,48.404042,43.639569,48.684781
930,38.800775,41.026762,42.189792,43.434836,46.690237,44.111785,43.359727,48.356034,43.563431,48.650077
940,38.825144,41.060353,42.220144,43.471887,46.720502,44.059168,43.286191,48.365076,43.566786,48.690928
950,39.231199,41.051216,42.158941,43.362762,46.664521,44.052532,43.292042,48.382280,43.555469,48.600258
960,38.817840,41.063041,42.335822,43.394930,46.785576,44.237250,43.347234,48.407167,43.527793,48.712330
970,38.783928,40.978972,42.156912,43.390634,46.644694,44.081286,43.288257,48.323203,43.502197,48.603017
980,38.876789,41.060231,42.223540,43.441701,46.718131,44.147757,43.365174,48.349440,43.610703,48.723283
990,38.933700,40.987999,42.106674,43.350084,46.615254,43.972017,43.259505,48.285697,43.483222,48.718234
1000,38.841716,41.324964,42.153536,43.312586,46.792114,43.972905,43.265864,48.291918,43.569158,48.627680
1200,39.331368,41.918932,43.117507,44.430913,47.786291,45.332325,44.140653,49.409260,44.320237,49.650155
1400,39.249993,41.737180,42.919908,44.289605,47.610068,44.891409,44.080682,49.287657,44.332116,49.514940
1600,39.305497,41.987491,43.058253,44.407086,47.684349,45.108728,44.173571,49.265614,44.387631,49.573038
1800,39.335307,41.787157,43.043814,44.276597,47.648521,45.134562,44.394308,49.661454,44.335578,49.537594
2000,39.222687,41.651588,42.846204,44.092927,47.535579,44.799403,43.961765,49.174475,44.202001,49.349910
2200,39.936925,42.614085,43.990243,45.400089,48.788591,46.088976,44.989734,50.400169,45.253586,50.635715
2400,39.857220,42.509688,43.849959,45.236434,48.539355,45.808230,44.903444,50.206324,45.141868,50.481070
2600,39.890754,42.481656,43.847376,45.308304,48.574200,46.016121,44.919623,50.224387,45.137521,50.447497
2800,39.777470,42.432697,43.720214,45.096093,48.570170,45.739950,44.750625,50.124000,44.968056,50.411514
3000,39.785868,42.330814,43.648123,44.984223,48.349341,45.683192,44.704956,50.106989,44.875868,50.206451
3200,39.890511,42.493291,43.823900,45.238806,48.608534,46.006534,44.932746,50.225062,45.165599,50.448330
3400,39.821897,42.433607,43.712026,45.212737,48.507389,45.812725,44.872479,50.129554,45.006629,50.331249
3600,39.917175,42.476209,43.774502,45.062301,48.475869,45.787820,44.803865,50.114506,45.062671,50.338432
3800,39.916024,42.400180,43.615071,44.984812,48.378495,45.677858,44.670725,50.087484,44.936930,50.246972
4000,39.753261,42.423493,43.633385,45.149237,48.354906,45.683810,44.687519,50.042210,44.863104,50.305637
4200,40.471360,43.206682,44.731349,46.175624,49.618090,46.943634,45.748351,51.224486,45.972788,51.611132
4400,40.416209,43.129500,44.625011,46.130187,49.491187,46.850420,45.709997,51.247228,45.862999,51.530979
