Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[26]byte,fixed[26]bit,fixed[32]byte,fixed[32]bit
100,5.177500,5.277500,5.177500,5.277500,5.177500,5.277500,5.277500,5.277500,5.277500,5.277500
110,4.706818,4.797727,4.706818,4.797727,4.706818,4.797727,4.797727,4.797727,4.797727,4.797727
120,4.314583,4.397917,4.314583,4.397917,4.314583,4.397917,4.397917,4.397917,4.397917,4.397917
130,3.982692,4.067308,3.982692,4.067308,3.982692,4.067308,4.059615,4.059615,4.059615,4.059615
140,3.698214,3.776786,3.698214,3.776786,3.698214,3.776786,3.769643,3.769643,3.769643,3.769643
150,3.451667,3.525000,3.451667,3.525000,3.451667,3.525000,3.518333,3.518333,3.518333,3.518333
160,3.235937,3.304688,3.235937,3.304688,3.235937,3.304688,3.298437,3.298437,3.298437,3.298437
170,3.045588,3.110294,3.045588,3.110294,3.045588,3.110294,3.104412,3.104412,3.104412,3.104412
180,2.876389,2.937500,2.876389,2.937500,2.876389,2.937500,2.931944,2.931944,2.931944,2.931944
190,2.725000,2.782895,2.725000,2.782895,2.725000,2.782895,2.777632,2.777632,2.777632,2.777632
200,2.588750,2.643750,2.588750,2.643750,2.588750,2.643750,2.638750,2.638750,2.638750,2.638750
210,2.465476,2.517857,2.465476,2.517857,2.465476,2.517857,2.513095,2.513095,2.513095,2.513095
220,2.353409,2.403409,2.353409,2.403409,2.353409,2.403409,2.398864,2.398864,2.398864,2.398864
230,2.251087,2.298913,2.251087,2.298913,2.251087,2.298913,2.294565,2.294565,2.294565,2.294565
240,2.157292,2.203125,2.157292,2.203125,2.157292,2.203125,2.198958,2.198958,2.198958,2.198958
250,2.071000,2.115000,2.071000,2.115000,2.071000,2.115000,2.111000,2.111000,2.111000,2.111000
260,1.991346,2.037500,1.991346,2.037500,1.991346,2.037500,2.029808,2.029808,2.029808,2.029808
270,1.917593,1.962037,1.917593,1.962037,1.917593,1.962037,1.954630,1.954630,1.954630,1.954630
280,1.849107,1.891964,1.849107,1.891964,1.849107,1.891964,1.884821,1.884821,1.884821,1.884821
290,1.785345,1.826724,1.785345,1.826724,1.785345,1.826724,1.819828,1.819828,1.819828,1.819828
300,1.725833,1.765833,1.725833,1.765833,1.725833,1.765833,1.759167,1.759167,1.759167,1.759167
310,1.670161,1.708871,1.670161,1.708871,1.670161,1.708871,1.702419,1.702419,1.702419,1.702419
320,1.617969,1.655469,1.617969,1.655469,1.617969,1.655469,1.649219,1.649219,1.649219,1.649219
330,1.568939,1.605303,1.568939,1.605303,1.568939,1.605303,1.599242,1.599242,1.599242,1.599242
340,1.522794,1.558088,1.522794,1.558088,1.522794,1.558088,1.552206,1.552206,1.552206,1.552206
350,1.479286,1.513571,1.479286,1.513571,1.479286,1.513571,1.507857,1.507857,1.507857,1.507857
