Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[26]byte,fixed[26]bit,fixed[32]byte,fixed[32]bit
100,45.050000,46.990000,48.680000,49.580000,45.780000,55.980000,53.030000,42.520000,51.160000,42.830000
110,166.581818,34.509091,42.963636,41.900000,38.245455,45.118182,47.818182,169.527273,47.872727,42.336364
120,33.375000,34.041667,42.358333,37.000000,33.491667,41.750000,162.650000,36.425000,44.158333,36.783333
130,140.838462,28.869231,39.976923,37.723077,32.084615,38.207692,42.092308,33.876923,41.469231,150.053846
140,28.257143,36.071429,36.771429,36.200000,28.757143,39.135714,41.035714,33.671429,39.285714,31.964286
150,26.253333,24.753333,33.760000,33.186667,28.693333,32.080000,36.953333,32.560000,38.013333,29.260000
160,25.668750,24.487500,33.675000,28.850000,28.450000,29.981250,35.193750,30.175000,35.093750,28.881250
170,24.476471,24.317647,33.541176,29.152941,26.452941,29.817647,35.505882,30.247059,34.164706,27.517647
180,22.177778,21.705556,32.811111,28.833333,24.344444,28.038889,32.350000,26.377778,33.772222,27.638889
190,20.878947,19.457895,30.405263,27.452632,23.268421,27.042105,32.089474,25.736842,30.821053,101.747368
200,20.975000,19.375000,28.395000,27.785000,24.515000,27.240000,30.625000,25.240000,30.945000,25.080000
210,18.919048,18.019048,27.219048,25.638095,90.057143,91.328571,28.890476,24.342857,29.295238,23.733333
220,17.422727,16.772727,25.927273,25.031818,22.454545,23.886364,27.809091,23.854545,27.381818,23.172727
230,18.573913,16.782609,26.086957,22.747826,22.595652,83.978261,27.321739,22.786957,27.286957,22.130435
240,18.095833,16.875000,27.587500,82.300000,21.908333,22.516667,27.425000,29.195833,30.008333,30.641667
250,16.636000,16.376000,23.940000,21.076000,22.020000,78.564000,25.240000,21.720000,83.436000,22.668000
260,16.192308,14.046154,24.234615,20.142308,22.246154,74.673077,23.896154,19.657692,28.496154,21.000000
270,70.477778,15.844444,25.688889,23.807407,24.188889,22.792593,26.007407,22.496296,23.851852,20.607407
280,67.100000,15.935714,25.325000,21.728571,21.892857,21.442857,22.253571,18.139286,24.364286,18.967857
290,14.424138,13.975862,21.089655,17.031034,66.113793,17.806897,21.200000,18.279310,71.231034,18.358621
300,14.496667,13.673333,20.106667,17.326667,16.350000,17.056667,20.193333,17.490000,21.223333,17.800000
310,13.309677,11.425806,20.509677,16.532258,16.048387,16.458065,22.038710,17.422581,21.451613,17.509677
320,12.965625,12.559375,20.525000,19.875000,16.803125,60.618750,20.734375,61.456250,24.296875,18.071875
330,57.972727,13.878788,20.330303,19.018182,18.360606,20.284848,23.521212,19.439394,24.121212,19.645455
340,12.647059,12.608824,19.770588,16.000000,15.797059,15.708824,20.270588,16.426471,20.285294,17.323529
350,12.348571,14.074286,25.957143,16.811429,15.991429,15.511429,20.111429,16.768571,22.148571,17.582857
360,12.286111,10.797222,20.444444,15.986111,16.002778,15.155556,19.908333,16.905556,19.816667,17.011111
370,13.097297,13.016216,27.067568,17.886486,18.002703,18.616216,22.202703,19.927027,21.962162,19.243243
380,43.721053,11.305263,19.792105,16.028947,16.244737,15.255263,19.773684,54.889474,19.868421,17.126316
390,11.130769,11.441026,19.884615,16.805128,15.915385,16.325641,19.535897,16.984615,19.379487,16.787179
400,10.700000,10.647500,18.337500,15.507500,15.887500,15.305000,19.692500,16.662500,19.217500,16.612500
410,10.541463,10.031707,18.087805,14.895122,15.095122,15.429268,19.178049,16.495122,18.780488,16.200000
420,10.038095,10.240476,51.735714,14.769048,15.109524,15.073810,19.830952,19.930952,18.911905,16.257143
430,43.181395,50.409302,17.611628,14.518605,15.048837,14.211628,18.600000,15.411628,18.202326,15.813953
440,9.970455,10.247727,17.040909,14.475000,15.200000,14.231818,18.770455,15.890909,17.918182,15.900000
450,10.855556,11.126667,16.948889,13.186667,14.317778,14.202222,20.191111,16.762222,19.397778,17.533333
460,9.823913,9.891304,17.473913,14.369565,14.980435,14.456522,18.454348,15.876087,17.956522,16.252174
470,39.325532,9.348936,16.036170,13.210638,13.668085,13.482979,16.848936,14.200000,16.502128,14.193617
480,9.250000,8.829167,16.058333,12.412500,13.377083,12.945833,17.010417,14.279167,16.477083,13.964583
490,10.214286,8.095918,15.351020,12.685714,13.046939,12.261224,16.159184,13.946939,16.524490,14.204082
500,8.800000,8.394000,43.898000,12.368000,13.394000,12.334000,17.356000,13.798000,16.214000,13.758000
510,37.223529,7.211765,15.537255,12.317647,12.594118,11.784314,16.470588,13.458824,16.798039,15.311765
520,10.278846,8.888462,15.180769,12.067308,13.269231,12.144231,16.426923,14.034615,15.676923,15.384615
530,37.005660,8.771698,15.011321,11.883019,12.849057,11.641509,16.350943,13.379245,16.154717,13.826415
540,10.150000,10.214815,16.279630,13.850000,39.916667,12.972222,17.046296,14.748148,18.370370,14.781481
