Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[$16$]fixed,byte[$16$]byte,bit[$16$]bit,fixed[$16$]byte,fixed[$16$]bit,byte[$16$]bit,fixed[F]8,fixed[$\ell$]8,byte[F]8,byte[$\ell$]8,bit[F]8,bit[$\ell$]8,fixed[$16$]fixed8,byte[$16$]byte8,bit[$16$]bit8,fixed[$16$]byte8,fixed[$16$]bit8,byte[$16$]bit8,fixed[F]16,fixed[$\ell$]16,byte[F]16,byte[$\ell$]16,bit[F]16,bit[$\ell$]16,fixed[$16$]fixed16,byte[$16$]byte16,bit[$16$]bit16,fixed[$16$]byte16,fixed[$16$]bit16,byte[$16$]bit16,fixed[F]32,fixed[$\ell$]32,byte[F]32,byte[$\ell$]32,bit[F]32,bit[$\ell$]32,fixed[$16$]fixed32,byte[$16$]byte32,bit[$16$]bit32,fixed[$16$]byte32,fixed[$16$]bit32,byte[$16$]bit32,fixed[F]64,fixed[$\ell$]64,byte[F]64,byte[$\ell$]64,bit[F]64,bit[$\ell$]64,fixed[$16$]fixed64,byte[$16$]byte64,bit[$16$]bit64,fixed[$16$]byte64,fixed[$16$]bit64,byte[$16$]bit64,Prezza
4480000,122.167399,101.880992,104.365433,105.223051,125.487987,109.990525,132.455467,116.184330,134.138637,115.225512,133.405901,133.879811,93.172335,96.200311,101.305165,102.375161,114.061491,105.556063,99.731078,106.062347,120.121312,105.886866,120.720176,120.588731,89.661586,93.890152,97.962300,100.695284,111.719360,102.943136,98.323714,105.260480,114.851808,104.763455,114.187861,114.601502,86.987530,92.577951,97.574251,97.833980,107.446115,100.186298,93.459161,103.061153,114.669288,102.881647,114.107570,114.036784,91.825997,95.123558,99.819249,101.330677,109.933950,104.442696,96.745723,105.621979,115.722795,105.841978,115.638389,115.409440,481.728923
5120000,124.001895,102.437828,105.075806,105.055403,125.992830,111.442596,134.757536,117.109123,134.456036,116.138346,133.539458,134.363914,94.181272,97.605638,102.027732,103.231282,114.985616,105.554899,100.707955,106.887242,121.107253,106.726015,121.725320,121.495117,90.841776,94.996565,98.566848,101.744234,112.543541,103.987039,100.159623,105.832877,115.608497,105.476281,114.863277,115.402628,87.908559,93.625979,98.368408,98.602567,108.182688,100.804638,94.425177,103.753577,115.145220,103.727994,114.690517,114.476325,92.790612,96.225318,100.567451,102.338680,110.853176,106.115101,97.790327,106.348859,116.350530,106.691480,116.064475,116.041850,477.038066
5760000,127.691275,103.678170,106.012856,106.597183,127.599817,112.513434,138.050884,118.167711,135.982095,117.296951,135.155441,135.956378,95.500606,98.721399,103.198297,104.704460,115.922237,106.732390,102.079126,107.954313,122.319895,107.774991,122.985804,122.767584,92.234040,96.150249,99.447301,103.223424,113.616213,104.430256,100.986509,106.737472,116.577892,106.340685,116.002962,116.352759,88.841619,94.720515,99.330523,99.924649,109.147118,101.721930,95.566467,104.654067,116.345007,104.553760,115.927389,115.617765,93.829438,97.362319,101.552273,103.169355,112.080072,107.228434,98.686476,107.266187,117.107599,107.634132,117.074269,116.877246,438.888695
6400000,140.285683,105.046164,107.589256,107.341671,130.165065,113.034567,148.841674,119.928298,138.295484,119.049231,137.241915,138.061616,97.109041,99.739514,104.660882,106.433304,117.808762,108.356322,103.797308,109.708741,124.256739,109.546223,125.601291,124.705409,93.649722,97.328373,100.712598,104.036675,115.527272,106.369898,102.558967,108.513678,118.542231,108.066328,117.820681,118.282311,90.094917,95.965209,100.731011,101.306334,110.889196,103.714558,96.906650,106.257920,118.076136,106.243893,117.680272,117.455174,94.984531,98.719174,102.899089,104.736910,113.940310,108.123094,100.297446,108.992881,119.214777,109.370075,119.361121,118.912411,458.982359
12800000,148.238131,110.550283,115.239728,113.899070,140.684300,119.950633,155.614075,130.039581,146.875911,129.341586,145.650603,146.782227,104.840197,105.634695,110.709132,111.917643,125.890970,115.553069,112.241736,116.678342,132.584686,116.414949,133.009878,133.001051,100.700248,102.798071,106.352458,109.784630,123.000581,112.532845,110.785128,115.080502,126.217590,114.395111,125.452445,125.942327,96.595420,101.060737,106.008938,106.724666,117.740513,109.004947,104.305281,112.478622,125.567261,112.257130,125.103862,124.909111,99.926542,104.547571,108.191622,110.419106,120.884274,114.869895,106.340109,115.071793,126.230133,115.269469,126.376248,126.155530,480.027208
19200000,170.102737,114.920253,121.820538,117.988790,154.615330,124.244709,173.408248,138.121431,160.421252,139.104090,160.728199,159.878464,114.273011,109.482692,115.087286,115.646766,131.009749,118.652727,122.575482,121.238072,138.230590,120.623216,138.988941,138.869769,105.467044,106.236084,110.341522,113.780654,128.195916,116.201598,116.520821,118.696967,131.522841,118.340430,130.801344,131.416420,100.920650,104.694775,109.673310,110.362874,122.594187,113.508297,109.430073,116.218559,130.446508,116.225436,129.891137,129.790365,103.980669,107.776928,112.094837,115.155249,125.067676,119.248059,111.013712,118.711941,131.066838,118.994174,130.940757,130.929768,491.148334
25600000,162.878714,116.540794,125.394595,120.590425,168.859205,127.410276,170.454048,144.262666,164.545090,143.469481,162.656041,164.063972,128.548837,111.572590,117.437922,117.865447,134.463294,121.577149,136.876105,123.422781,141.590533,123.458848,142.183482,142.209318,109.131681,108.604436,112.270614,115.801213,131.470410,118.608924,120.319122,121.013449,134.546965,120.830004,133.883875,134.452270,104.629934,106.528062,111.605122,112.169093,125.064782,115.102642,112.766687,118.530801,133.101775,118.502478,132.735268,132.676901,106.786975,109.767584,113.645303,116.097134,127.917112,120.849714,114.179100,121.001000,133.536603,121.386167,133.762721,133.359004,503.917223
32000000,165.042490,119.818121,129.264233,123.435018,176.889585,129.971277,168.411643,151.600060,173.025819,149.822269,170.037970,172.674479,133.397324,113.661890,120.402311,120.035930,137.997573,123.336220,140.947541,126.026980,145.013425,126.140173,145.586246,145.618111,112.441791,110.895076,114.485936,118.434994,134.902546,120.648476,123.691973,123.236486,137.436959,122.937740,136.815536,137.274372,105.943012,108.788203,114.202991,114.739372,127.788644,117.100368,115.174702,121.052801,136.036434,120.894221,135.795466,135.449501,108.975927,112.056388,115.741095,118.175375,130.853048,123.264912,116.769356,123.542007,136.230661,123.837854,136.476251,136.153085,473.651550
38400000,194.277156,134.331536,132.634238,124.659324,193.931140,131.431683,196.799599,154.996721,183.451722,154.432569,181.321522,182.925651,145.446875,115.853372,122.187804,121.746962,140.450221,125.602903,152.672686,131.497831,151.297863,130.532564,150.264812,150.864433,117.807408,112.285466,116.362627,120.213949,136.922621,122.048979,129.291720,125.321577,140.322828,125.012623,139.559368,140.071081,108.080183,109.871739,115.390121,116.589718,129.872588,119.468744,117.224589,122.664272,138.486286,122.521992,137.836118,137.799354,110.912311,113.048260,117.469209,119.917738,132.225658,125.430993,118.919676,125.095106,138.664931,125.321421,138.567328,138.604584,486.850966
44800000,188.279761,146.050568,133.706353,125.623142,188.913403,132.539571,195.710798,157.149683,179.764740,158.615585,178.159932,179.285480,143.950724,116.529674,123.271730,123.021341,141.717141,125.558080,152.050086,132.816351,152.706833,131.676321,151.696077,152.049995,122.254489,113.046082,117.302551,120.810264,138.464585,122.909174,133.652122,126.296655,141.670920,125.890193,141.163066,141.428024,109.347561,111.084893,116.098963,116.977795,130.729922,119.337557,118.375579,123.131667,139.242125,123.079566,139.029996,138.574702,111.995498,114.177476,118.038830,120.475057,133.371552,126.073084,119.518014,125.476751,139.237869,125.556019,139.226932,139.058926,518.587627
51200000,196.964196,153.769559,136.064639,127.214245,195.765527,134.457939,205.186473,159.862305,182.811068,158.958462,179.654439,182.947284,148.798105,117.595778,125.214934,124.111848,144.124770,127.397255,156.738040,135.001107,155.156578,134.253295,153.994261,154.405114,128.112655,114.566498,119.076001,121.929130,140.938696,124.476217,139.340099,128.161746,143.843997,127.776140,143.163408,143.682953,111.877107,112.475437,117.694893,118.187704,132.803419,120.978696,120.554906,124.958315,141.190794,124.861493,140.834505,140.593480,113.730741,115.444877,119.579213,121.824342,135.520144,127.013757,121.586078,127.211311,141.289207,127.373858,141.423845,141.080989,525.045084
57600000,219.014599,162.493830,141.058883,129.807728,218.499513,136.730041,227.470084,168.695143,199.571230,166.037682,196.497864,198.898622,164.253123,119.877406,127.504907,125.930886,146.579665,129.464657,169.739442,137.518126,157.096874,136.641285,156.151000,156.416597,135.557643,116.318435,120.508252,123.205939,143.417590,126.238190,146.380498,129.859097,146.159249,129.455883,145.523145,145.948567,114.046422,114.287709,119.236687,119.297518,134.374334,122.870246,123.998180,126.493466,143.149594,126.206824,142.576573,142.425847,115.439026,116.576357,120.886896,123.546747,137.263767,128.996305,124.032917,128.546956,142.829284,128.735433,142.940816,142.750092,494.327334
64000000,215.669604,166.810628,147.108734,135.551254,207.799221,142.446552,228.870111,172.615201,192.978337,171.064374,190.010737,192.269560,161.682387,125.387827,130.126888,127.204106,149.212155,130.648029,168.979250,139.729984,160.130764,138.961672,159.136167,159.509606,139.336930,119.576725,122.090863,125.034691,147.205193,127.800914,150.427321,131.662346,148.910475,131.157611,147.583730,148.114434,117.425575,116.027501,121.058134,120.794377,136.254801,123.911181,127.225569,128.311381,144.901923,128.106203,144.516609,144.312581,117.380799,118.796040,122.066067,125.193392,139.076997,130.563065,125.852659,130.456275,144.571790,130.784145,144.934822,144.919552,512.285165
128000000,410.122262,194.964533,185.502956,166.321446,251.594432,174.171069,396.270499,211.357716,233.707936,207.870045,228.097980,232.084624,207.357308,163.303543,170.697149,165.181521,193.514024,168.743049,211.669273,184.265326,204.942254,183.357125,203.563638,204.245759,197.021385,160.316114,165.271088,165.609693,193.452563,168.797851,206.011444,178.316768,198.203422,177.050928,196.567206,197.587282,179.101412,160.274306,166.646107,164.130613,183.911841,168.179196,187.783706,171.945078,191.237283,171.886695,190.676523,190.974904,168.065741,166.874385,170.474219,172.988510,189.937066,176.683196,177.936072,178.961817,195.150072,178.757191,195.515161,195.137104,585.564183
