Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[$16$]fixed,byte[$16$]byte,bit[$16$]bit,fixed[$16$]byte,fixed[$16$]bit,byte[$16$]bit,fixed[F]8,fixed[$\ell$]8,byte[F]8,byte[$\ell$]8,bit[F]8,bit[$\ell$]8,fixed[$16$]fixed8,byte[$16$]byte8,bit[$16$]bit8,fixed[$16$]byte8,fixed[$16$]bit8,byte[$16$]bit8,fixed[F]16,fixed[$\ell$]16,byte[F]16,byte[$\ell$]16,bit[F]16,bit[$\ell$]16,fixed[$16$]fixed16,byte[$16$]byte16,bit[$16$]bit16,fixed[$16$]byte16,fixed[$16$]bit16,byte[$16$]bit16,fixed[F]32,fixed[$\ell$]32,byte[F]32,byte[$\ell$]32,bit[F]32,bit[$\ell$]32,fixed[$16$]fixed32,byte[$16$]byte32,bit[$16$]bit32,fixed[$16$]byte32,fixed[$16$]bit32,byte[$16$]bit32,fixed[F]64,fixed[$\ell$]64,byte[F]64,byte[$\ell$]64,bit[F]64,bit[$\ell$]64,fixed[$16$]fixed64,byte[$16$]byte64,bit[$16$]bit64,fixed[$16$]byte64,fixed[$16$]bit64,byte[$16$]bit64,Prezza
640,35.166517,35.798245,38.990861,37.538216,39.553433,38.262075,37.434606,41.612634,42.815491,41.832622,42.817184,42.674185,32.409010,33.116279,33.188381,33.295173,34.431126,33.997355,34.210281,36.518520,37.518383,36.640235,37.853778,37.740740,31.462262,32.267488,31.945554,33.126629,32.290693,33.055737,32.880337,35.215613,35.528019,34.586099,35.528104,35.901795,31.194980,33.202119,31.710805,32.779082,32.177427,32.846332,33.451962,34.579795,35.403467,34.643672,35.088684,35.768789,31.284569,31.901534,31.525140,32.844688,31.787619,32.952833,32.957100,34.624003,35.714579,34.969537,35.758730,35.770618,240.259166
1280,38.593072,39.685563,43.825304,42.234558,44.749182,43.055107,41.125184,46.364494,47.857237,46.477726,47.879325,47.782898,35.784660,36.407024,36.710704,37.550122,37.898377,37.788703,37.361221,39.553785,40.843423,39.974907,40.850989,40.592703,34.971225,35.573874,36.154822,36.090870,37.108384,36.754448,37.034202,39.856001,40.633986,39.516855,40.313082,41.094773,35.002270,37.272375,35.596457,36.846772,36.419105,36.839520,37.336152,38.457923,39.175323,38.619889,38.940008,39.713940,35.044113,35.981468,35.586613,36.960664,35.816637,37.089800,36.992867,38.485207,39.650639,38.850626,39.753401,39.783508,248.556378
1920,41.398610,43.165686,47.136767,45.923799,48.351500,46.608200,44.100932,49.385180,51.464050,49.601798,51.411475,51.454308,39.068438,39.975718,40.856006,40.790313,42.935605,41.522011,40.986631,43.822661,45.743587,44.379648,45.744195,45.494748,37.604851,38.342156,38.643909,38.810746,39.836606,39.476662,39.689072,42.631934,43.541595,42.123337,43.026070,43.877252,37.828868,40.081869,38.522716,39.643732,39.323518,39.796736,40.432766,41.379126,42.225635,41.458383,41.894620,42.685693,37.972579,38.913344,38.401333,39.843527,38.729945,39.953066,40.040312,41.390616,42.592815,41.800281,42.656543,42.683003,261.600096
2560,42.509564,44.196025,49.013912,47.633320,50.422143,48.363727,46.201630,51.863810,54.052487,52.873843,55.170995,53.729463,39.671741,40.651695,41.281813,41.486131,43.451051,42.162660,42.371315,44.489471,46.324995,45.968752,47.476496,46.020274,38.567746,39.659830,39.428912,40.277124,40.562201,40.701561,41.119669,43.460644,44.317521,43.655399,45.057066,44.468548,39.296853,40.866595,40.471545,40.525171,41.762784,41.095841,42.408907,43.820076,45.034297,44.527973,45.508888,45.643241,41.252607,41.995439,41.581841,43.041146,41.844649,42.946095,43.319690,44.592196,45.754373,45.564242,46.215571,45.973728,272.933319
3200,43.928746,45.719046,50.922554,50.112305,52.133350,50.076435,46.823072,52.984892,55.795404,53.264521,55.580369,55.592799,40.991665,42.219041,42.808291,43.581334,45.011185,44.155431,42.954107,45.892281,47.757015,46.223746,48.004619,47.558901,40.362450,40.950174,42.009278,42.068334,43.579245,42.864398,42.373439,46.390797,47.399846,45.525810,46.770910,47.557584,40.859936,42.307004,42.098950,41.991364,43.211188,42.491044,43.564653,45.233479,46.441616,45.215211,46.256208,47.189116,44.498640,45.173746,44.857022,46.445851,45.203128,46.174142,46.317243,47.566802,48.812244,48.215094,48.671130,49.078115,274.344445
3840,45.203276,47.411724,52.978558,52.596982,54.329376,52.137443,48.435277,55.314060,57.745786,55.427203,57.693592,57.999060,42.958272,44.373142,45.741738,45.681310,48.440242,46.651464,45.440881,48.878746,51.354863,49.306669,51.516868,51.110692,41.786113,42.823180,43.674077,43.782822,45.482832,44.580548,44.018829,48.039365,49.191966,47.246054,48.577154,49.395221,42.549543,43.979003,43.716246,43.734221,44.733287,44.172416,45.277844,47.141669,48.666676,47.508881,48.213580,49.250934,47.583602,48.300470,47.934212,49.415658,48.242098,49.261786,49.330453,50.658631,51.800988,51.346089,51.645167,52.130107,286.530403
4480,46.100006,47.853342,55.015212,53.229031,57.032854,54.778505,49.293264,56.747159,60.446448,57.102144,59.898165,59.967031,42.979319,44.320632,45.711012,45.804407,48.313292,46.621326,45.594936,48.917419,51.325293,49.368555,51.420400,51.053602,41.980325,42.962141,43.775904,44.079686,45.496131,44.740565,44.293664,48.356377,49.415232,47.432567,48.732157,49.632078,42.907021,44.676294,44.131186,44.899159,45.278055,44.996343,45.576131,47.382432,48.739506,47.555886,48.420702,49.552015,48.798220,49.133691,49.566238,49.712303,50.462997,50.303941,51.470374,53.508157,54.188278,52.937531,54.115450,55.031054,295.342938
5120,46.953117,48.620558,56.041726,53.578435,58.228484,55.005974,49.843549,58.028654,61.387838,57.946430,60.940177,61.138056,43.593953,44.936194,46.112044,46.306840,48.765801,47.184767,45.982075,49.498798,52.037454,49.806130,51.911834,51.759039,42.329638,43.717760,44.181709,44.593384,46.239172,45.308102,44.707801,48.948309,49.938225,47.979634,49.400765,50.100097,42.994920,44.928217,44.283035,45.014045,45.385873,45.186206,45.662108,47.651300,49.004092,47.864747,48.604563,49.681138,48.078239,48.323010,48.887509,48.915253,49.823297,49.546363,50.589419,52.656411,53.676834,52.261249,53.658258,54.372390,302.757029
5760,47.309801,49.325993,56.471804,54.075675,58.609940,55.247138,50.360223,58.341566,61.841658,58.097733,61.401461,61.824695,44.020971,45.504534,46.832194,46.992382,49.558778,47.982458,46.531911,50.217315,52.765329,50.516649,52.912557,52.424527,43.091714,44.435828,45.026043,45.301452,46.922536,46.039840,45.361133,49.571893,50.752797,48.706370,50.163321,50.900513,43.903403,45.680703,45.202562,45.776693,46.278937,46.072368,46.640158,48.704690,50.132179,49.107724,49.655514,50.713573,48.504583,48.986246,49.400942,49.481562,50.430631,49.996499,51.064589,53.139620,54.326752,52.812459,54.237019,54.977886,312.397638
6400,48.378671,50.309765,57.486328,56.187075,60.002680,56.754472,51.499907,59.289595,63.630218,59.418199,63.002617,63.450123,44.831841,46.565124,47.799980,48.441604,50.525207,48.957224,47.688542,51.246142,53.782504,51.693022,53.954779,53.440159,43.885039,45.368259,45.785411,46.857616,47.845533,47.395238,46.632925,50.766837,51.878857,50.046207,51.335397,51.998705,45.487186,46.964704,47.378014,47.093733,48.860272,47.828145,48.507722,51.528551,53.227973,51.646769,52.743015,53.702211,49.703841,50.227907,50.593225,50.609734,51.722259,51.097985,52.650062,54.985631,55.920891,54.506919,55.994273,56.634651,330.451062
