Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[$16$]fixed,byte[$16$]byte,bit[$16$]bit,fixed[$16$]byte,fixed[$16$]bit,byte[$16$]bit,fixed[F]8,fixed[$\ell$]8,byte[F]8,byte[$\ell$]8,bit[F]8,bit[$\ell$]8,fixed[$16$]fixed8,byte[$16$]byte8,bit[$16$]bit8,fixed[$16$]byte8,fixed[$16$]bit8,byte[$16$]bit8,fixed[F]16,fixed[$\ell$]16,byte[F]16,byte[$\ell$]16,bit[F]16,bit[$\ell$]16,fixed[$16$]fixed16,byte[$16$]byte16,bit[$16$]bit16,fixed[$16$]byte16,fixed[$16$]bit16,byte[$16$]bit16,fixed[F]32,fixed[$\ell$]32,byte[F]32,byte[$\ell$]32,bit[F]32,bit[$\ell$]32,fixed[$16$]fixed32,byte[$16$]byte32,bit[$16$]bit32,fixed[$16$]byte32,fixed[$16$]bit32,byte[$16$]bit32,fixed[F]64,fixed[$\ell$]64,byte[F]64,byte[$\ell$]64,bit[F]64,bit[$\ell$]64,fixed[$16$]fixed64,byte[$16$]byte64,bit[$16$]bit64,fixed[$16$]byte64,fixed[$16$]bit64,byte[$16$]bit64,Prezza
640,16.743965,16.649060,16.597016,16.649508,16.796811,16.709331,18.367701,18.501892,18.389791,18.445468,18.382873,18.552815,16.657070,17.105247,17.140477,16.945568,17.237855,17.258848,18.798653,18.803137,18.870182,18.771590,18.733707,18.849490,17.148020,17.056030,16.987779,17.108948,16.966438,16.917863,18.985215,18.930952,18.491818,18.495565,18.483900,18.513684,16.775453,16.849545,16.760960,17.105017,16.819385,16.936685,18.609617,18.501302,18.504491,18.501427,18.479557,18.490446,16.766962,16.832540,16.774446,16.915992,16.759244,16.917072,18.848893,18.505453,18.508267,18.486028,18.488549,18.576587,30.993960
1280,16.513223,16.407615,16.386461,16.404709,16.754696,16.483026,18.101150,18.221043,18.100807,18.208323,18.123990,18.327811,16.455886,16.830777,16.985725,16.756166,17.027413,17.045752,18.593181,18.537157,18.653530,18.525147,18.484161,18.580134,16.836944,16.845428,16.767586,16.933999,16.782555,16.908427,18.985687,18.771937,18.516187,18.491086,18.478631,18.492154,16.760229,16.837879,16.735623,17.100111,16.805187,16.885302,18.616639,18.483619,18.503316,18.495520,18.473327,18.489962,16.750835,16.845553,16.764478,16.890977,16.750592,16.882627,18.841237,18.487158,18.487738,18.477786,18.488938,18.509512,31.734715
1920,16.521787,16.404988,16.399589,16.414664,16.617199,16.480093,18.078901,18.209915,18.110339,18.183151,18.113513,18.327384,16.459280,16.825146,16.946592,16.760660,17.012659,17.030241,18.609490,18.540317,18.649424,18.536942,18.513842,18.579106,16.812844,16.839192,16.756219,16.900429,16.747552,16.892052,18.998370,18.775944,18.473005,18.486215,18.476426,18.490898,16.750219,16.849384,16.723396,17.109665,16.803532,16.888089,18.631981,18.487443,18.492112,18.507197,18.482730,18.493066,16.769388,16.841850,16.773198,16.884939,16.768527,16.870419,18.842399,18.479453,18.492789,18.463534,18.483096,18.497461,32.451431
2560,16.518323,16.432572,16.400884,16.426777,16.624286,16.523040,18.164478,18.215834,18.100082,18.251709,18.182593,18.291557,16.456591,16.840453,16.935329,16.780056,17.011173,17.047523,18.696184,18.559915,18.665425,18.579764,18.521699,18.598994,16.838757,16.841284,16.792228,16.921393,16.791737,16.911741,19.075162,18.777470,18.480401,18.579285,18.575700,18.533275,16.757061,16.844447,16.741300,17.096156,16.811760,16.902182,18.724488,18.490505,18.501545,18.593775,18.576323,18.484345,16.771458,16.839778,16.770863,16.950168,16.760200,16.899714,18.907687,18.520977,18.505556,18.585318,18.578203,18.524909,33.106011
3200,16.524166,16.419611,16.390328,16.415979,16.609596,16.485873,18.087999,18.238962,18.106827,18.203477,18.118256,18.326279,16.458486,16.835539,16.940065,16.750274,17.038807,17.038276,18.595638,18.558562,18.668855,18.529706,18.493634,18.559538,16.879280,16.853356,16.793339,16.896289,16.768908,16.887661,18.980493,18.777148,18.479981,18.491985,18.474629,18.491338,16.749240,16.850370,16.718534,17.078598,16.793447,16.923471,18.630478,18.497516,18.513040,18.501339,18.467536,18.502945,16.763436,17.091241,16.760589,16.883385,16.754061,16.899865,18.891959,18.500886,18.510828,18.480251,18.520739,18.515495,33.928438
3840,16.562790,16.421494,16.404337,16.413060,16.639888,16.507528,18.108506,18.230993,18.111304,18.220916,18.158044,18.348958,16.469546,16.915375,16.980608,16.760913,17.036979,17.029181,18.614347,18.563951,18.670609,18.544278,18.499111,18.597350,16.854711,16.900586,16.788349,16.924850,16.778080,16.975755,19.010100,18.811239,18.481943,18.504816,18.531231,18.518101,16.757970,16.884601,16.749205,17.104708,16.805086,16.930113,18.652622,18.490245,18.517759,18.522168,18.496330,18.498674,16.764789,16.852559,16.795993,16.905552,16.744959,16.894607,18.878687,18.516015,18.532198,18.484714,18.503235,18.560547,34.752792
4480,17.628067,17.486590,17.798519,17.882575,17.859156,17.705040,19.133286,19.174259,19.037778,19.230287,19.119210,19.268377,17.628376,17.920339,18.004306,17.840003,18.043200,18.296142,19.507257,19.537252,19.463510,19.553643,19.488413,19.484315,18.164216,17.944250,17.921967,17.991549,18.072103,18.168804,19.843906,19.909266,19.441575,19.832756,19.342938,19.379113,18.164370,17.909901,17.808173,18.151642,17.869909,18.158165,19.666643,19.552311,19.548302,19.637908,19.578898,19.478025,17.765172,17.912375,17.910622,17.964870,17.856395,17.946230,19.848779,19.598242,19.605285,19.594610,19.619206,19.452651,35.727792
5120,19.227561,19.049500,19.357429,19.472227,19.596407,19.389470,20.555794,20.461606,20.440465,20.624247,20.490098,20.526474,19.201947,19.421305,19.464192,19.304978,19.524795,20.011203,20.840055,20.846272,20.788226,20.814868,20.973465,20.731725,19.722166,19.407389,19.460230,19.463841,19.681442,19.783759,21.079379,21.278650,20.760982,21.176398,20.693274,20.829432,19.726891,19.397390,19.368659,19.595690,19.404860,19.698485,21.050910,20.836856,20.991519,20.974837,20.851069,20.859601,19.297168,19.456052,19.422438,19.477001,19.381220,19.457126,21.215358,20.826348,20.863152,21.103628,21.091459,20.780213,36.605844
5760,20.475804,20.259473,20.601462,20.682030,20.968959,20.722439,21.727200,21.549585,21.487555,21.726684,21.626973,21.607584,20.457626,20.634076,20.676279,20.475586,20.760750,21.306524,21.890057,21.868396,21.846422,21.869709,22.179203,21.749316,20.783926,20.601538,20.767855,20.672349,20.946851,21.078435,22.068236,22.331771,21.744592,22.224145,21.602259,21.913571,21.025988,20.607033,20.605464,20.768488,20.653318,21.020962,22.094939,21.889558,22.113147,22.045229,21.869680,21.981685,20.598788,20.614504,20.688978,20.693176,20.641667,20.647736,22.188737,21.839701,21.882113,22.167072,22.289084,21.906603,37.300897
6400,21.462379,21.354145,21.618271,21.767597,22.026633,21.786811,22.700208,22.571638,22.454636,22.673687,22.659133,22.555798,21.552317,21.647323,21.670542,21.468485,21.761696,22.332775,22.842294,22.892726,22.775406,22.791979,23.181681,22.705647,21.646442,21.636829,21.701970,21.626391,21.922105,22.155990,22.951574,23.269047,22.654909,23.149615,22.558758,22.769375,22.046119,21.619038,21.676634,21.725054,21.853727,22.140069,22.974634,22.814040,23.080311,23.008261,22.711648,23.022039,21.682800,21.646171,21.655829,21.662370,21.717304,21.646462,23.112974,22.706413,22.813639,23.107115,23.232788,22.872874,38.295697
