Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[$12$]fixed,byte[$12$]byte,bit[$12$]bit,fixed[$12$]byte,fixed[$12$]bit,byte[$12$]bit,fixed[$14$]fixed,byte[$14$]byte,bit[$14$]bit,fixed[$14$]byte,fixed[$14$]bit,byte[$14$]bit,fixed[$16$]fixed,byte[$16$]byte,bit[$16$]bit,fixed[$16$]byte,fixed[$16$]bit,byte[$16$]bit,fixed[$18$]fixed,byte[$18$]byte,bit[$18$]bit,fixed[$18$]byte,fixed[$18$]bit,byte[$18$]bit,fixed[$20$]fixed,byte[$20$]byte,bit[$20$]bit,fixed[$20$]byte,fixed[$20$]bit,byte[$20$]bit
4288000,66.113950,66.514719,44.400568,41.847919,73.597047,70.404487,68.479430,51.928381,65.167481,44.701852,46.949651,53.843876,67.530021,52.276032,84.546605,50.505512,54.911524,56.937543,68.668176,53.692807,82.808168,52.808659,69.841392,79.190469,66.679007,51.277102,63.668921,51.348279,73.874229,79.622165,66.796019,52.374976,83.784227,51.199009,71.107380,81.962078
4480000,66.739230,67.461617,47.006197,45.481432,99.070190,87.621065,69.046144,53.530079,106.624874,45.153808,47.510604,58.547899,68.492171,54.358760,105.412318,53.215430,57.532300,57.269151,69.534521,55.896090,104.496595,54.794152,104.488984,102.281963,67.391009,53.758051,104.328385,53.541548,104.339821,104.703583,67.527864,53.516399,103.482372,53.484289,103.968770,104.212409
4672000,67.254735,67.768501,51.802445,50.608463,68.987118,71.306251,69.167464,57.700881,75.019421,45.730459,48.603536,68.118029,68.676671,58.402331,68.109525,56.342135,59.639062,65.907021,69.589039,60.912176,84.829569,59.056718,89.125406,87.716797,67.638889,58.270501,80.622991,58.327307,86.958305,89.632786,67.754082,57.654327,84.076523,57.178827,82.166424,73.927906
4864000,67.491024,68.189441,64.500920,70.816015,109.119957,93.829351,69.600284,81.795286,118.049692,46.404337,48.084938,117.894308,68.821479,74.222644,113.557476,49.465024,60.556008,111.774392,69.666105,73.612299,114.459848,75.367060,115.304577,114.663662,67.969917,73.137454,111.730254,72.892491,115.028715,112.902608,67.942880,72.365566,114.264683,72.234559,113.761820,113.494214
5056000,68.088868,68.429066,42.586326,39.487026,100.806233,86.539924,69.528381,49.670484,109.911161,47.994349,47.682661,49.440129,69.188975,50.155038,106.771970,48.678093,57.296927,57.478061,70.218662,52.097706,106.539625,50.833013,97.447324,98.302605,68.473615,49.876740,106.444095,49.922308,104.084084,104.759961,68.352808,49.569408,103.977588,49.896084,105.085157,104.828976
5248000,68.521499,68.815457,44.539925,43.327037,79.539382,71.329533,69.990925,51.499469,84.137998,48.061181,47.045770,53.736343,69.706860,52.456353,82.380367,49.105138,52.220915,65.216858,70.693503,52.529220,83.980258,51.185406,77.853836,84.884371,68.944372,51.242912,82.783545,51.288692,83.525776,83.290001,68.808950,51.221271,83.484597,51.024648,84.300165,83.538090
5440000,71.542018,69.373370,44.118382,41.471514,67.925342,60.085162,70.704960,51.132892,73.282738,48.573946,47.115628,50.643090,70.424160,51.421414,72.277743,49.849263,52.358439,59.055666,71.385650,53.137215,73.272894,52.142474,74.071546,71.862689,69.664423,50.999734,70.958498,50.963252,72.212583,72.787139,69.562564,51.070909,71.003320,50.961733,71.523980,71.566935
5632000,69.854366,69.674992,45.060562,43.795767,72.897369,63.400244,71.301007,52.735781,80.559865,48.864717,46.826522,55.060482,71.076668,53.343681,78.721380,51.452432,53.117620,66.437517,72.082703,53.665626,77.169420,52.117728,73.858229,77.864777,70.325628,52.245906,76.266303,52.429363,77.454728,77.856234,70.232909,52.661292,74.822258,52.160573,76.956871,75.827220
5824000,70.398055,70.139726,43.916652,41.165486,87.052030,76.027774,71.749448,51.609780,95.027773,49.810439,46.884424,49.181307,71.413606,51.855754,94.739117,50.513192,54.092251,55.700123,72.315475,53.635542,94.155235,52.626972,80.761887,83.143378,70.804284,51.082845,91.671375,51.180222,91.950997,93.029668,70.751525,51.090131,91.124057,51.108697,92.149803,92.323099
6016000,71.262221,70.831235,44.604582,42.989860,106.275602,92.401129,72.431337,51.763025,117.692605,49.781042,47.523246,55.525335,72.067358,51.965650,117.985878,50.757998,55.588783,69.261395,73.458626,52.788697,114.872104,53.199701,95.429828,113.429243,71.837123,51.565327,113.671223,51.194705,113.847536,112.563140,71.769059,51.391409,112.844643,51.536351,113.544529,112.157444
6208000,71.286390,70.860296,44.738874,42.559392,112.039792,95.617748,73.094258,51.361249,125.013944,50.219643,47.875719,56.123380,72.567771,51.860238,121.624137,51.212863,58.634932,75.361926,73.407852,54.104437,119.135639,53.276806,108.467411,109.701676,72.557338,51.863115,118.168155,51.601781,118.437413,117.624350,71.919449,51.706415,117.704206,51.612953,117.933864,117.736278
6400000,71.811535,71.404493,48.981891,47.542506,99.645891,86.415292,74.099566,56.077523,107.777428,50.114648,48.405504,64.846180,73.251791,56.794848,104.556610,51.044031,60.119157,103.027573,74.075853,58.909376,107.694478,57.750652,102.853910,108.765728,72.448579,56.376869,105.033052,55.940168,105.952632,103.703343,72.414743,56.622579,105.000509,55.951403,106.953036,105.683480
8960000,78.061257,76.632258,50.894708,50.032611,108.768923,93.124692,80.009766,57.400224,121.662065,55.641699,49.091456,67.446515,78.853260,58.429863,119.513478,54.548140,57.249641,81.866046,79.733139,59.577247,115.880379,58.655479,99.257225,100.652507,79.024698,58.233755,115.283870,57.765763,116.342680,115.973210,78.851920,58.241923,114.160483,58.015185,115.886133,116.004796
11520000,82.751731,79.809110,54.137662,52.235015,106.795384,86.326278,84.726439,60.562266,118.503312,58.689866,52.318396,56.061844,83.601901,61.211799,115.496676,59.265029,55.343779,66.492289,84.143992,62.048380,111.507981,61.025899,88.633413,90.910431,83.832905,60.422120,112.282377,60.703615,111.370701,111.559798,83.998843,61.227557,110.575935,60.757707,111.664043,111.760695
14080000,86.159758,81.502174,56.392135,56.529299,125.224801,103.095233,89.100516,63.915838,136.139725,61.045838,53.718494,58.018877,88.051259,64.664533,142.119553,61.578759,52.292064,64.284947,88.703256,65.479051,130.050216,63.972087,72.215405,100.909365,88.105701,64.143179,132.608163,63.984744,131.065819,132.197688,87.973835,64.049692,132.176995,63.949079,131.159920,131.611061
16640000,89.260100,83.674078,57.630058,58.487950,126.497752,104.545883,92.134230,65.894771,138.884745,63.755436,57.642293,65.380671,91.636060,66.815650,145.482819,64.892171,54.054268,94.692353,90.901727,66.961879,133.232326,66.907234,77.697663,103.375002,90.045383,64.935570,132.802775,64.899983,132.776958,133.131077,89.866394,64.902224,132.680887,64.919209,132.547677,133.038067
19200000,93.342618,85.913874,59.122615,59.319886,135.208958,108.267501,97.324632,75.885719,140.530080,64.575279,58.503343,84.936213,94.161540,76.292467,150.022345,64.840843,56.565403,137.056205,93.237500,69.429794,139.697657,65.363913,67.441132,125.362129,94.930362,69.568853,144.713457,68.581555,130.787178,131.514611,93.568020,67.723529,142.337045,66.966028,142.512181,142.270061
21760000,95.130560,87.871374,64.676847,65.793429,147.830216,114.460403,104.888563,73.101442,148.104113,71.135344,60.377976,65.581180,95.065647,72.833187,160.104283,70.207981,57.859534,65.307335,95.085564,72.869907,149.099403,72.038937,66.999401,92.134554,97.320618,74.763515,155.378336,73.582295,127.731559,128.521159,95.627457,72.464810,153.446785,72.161391,153.487582,154.162296
24320000,98.958707,88.821483,66.597305,67.804184,136.358363,111.034817,110.930181,77.352904,145.810973,74.122708,65.975536,72.001205,97.306457,75.323906,155.913232,71.948796,60.560668,77.681932,96.953345,74.984665,139.002303,73.571463,70.290388,138.204255,100.934407,76.676181,145.162695,75.574735,143.682623,145.066075,99.748005,74.403399,143.432498,74.188843,142.534610,142.978839
26880000,106.186154,90.293565,63.739267,64.911682,63.686890,54.786901,115.627355,76.850578,65.579295,75.789989,64.681704,69.581600,101.482905,74.667315,70.352828,71.192401,56.479832,65.879819,101.153381,73.010192,67.906334,71.386613,55.434414,67.003835,106.098964,73.490713,71.369857,72.776423,70.931646,71.800508,106.691015,71.617510,68.700004,71.093972,69.640168,69.343775
29440000,111.772758,91.542965,69.297618,72.134126,159.601078,117.542618,120.200866,83.224853,151.540174,80.999307,71.985483,78.099059,109.097660,77.869730,165.088006,75.202464,64.112816,78.215087,110.283077,78.945514,158.792153,76.305369,65.971080,102.771854,114.195973,78.731331,165.908160,77.666355,121.132654,122.856660,112.961891,76.536653,165.592965,76.403681,165.767305,165.746269
32000000,119.272220,92.754149,67.146334,68.912371,83.302544,66.169895,122.933121,83.154441,80.528720,81.559868,70.279955,73.405827,113.608561,76.687383,85.793993,74.152978,58.874657,69.316147,117.672432,76.630063,86.077231,70.509236,55.720319,71.470284,121.741321,76.775084,91.525491,75.794123,72.945947,73.995590,120.264097,74.880621,89.716480,74.871835,89.683839,89.065247
34560000,130.304445,95.560313,72.558946,75.924436,152.078364,112.969013,127.471381,91.422922,148.069569,86.858386,80.922134,89.218156,119.250543,84.437405,159.054598,77.854151,70.578762,100.863345,134.767553,80.996197,150.106279,68.229826,66.640804,121.767486,128.634013,81.684675,155.938416,80.329216,127.199903,128.347430,131.432734,80.899737,159.400061,81.008028,159.629863,158.974947
37120000,137.625129,96.492753,67.061086,68.044103,185.511321,122.971147,130.557957,85.925544,181.205818,87.777831,80.220158,80.566023,124.343335,79.460131,171.749640,77.615834,67.475318,88.126361,131.138428,77.059408,174.671101,63.815419,61.417823,96.460174,135.730000,77.003676,183.589181,75.379268,99.511392,100.866069,138.522687,75.138553,188.823166,75.255753,188.702984,188.898764
39680000,141.907792,96.848311,57.016725,56.793692,110.881502,79.517340,132.383877,72.455184,112.542585,87.575227,78.860476,69.488344,127.824918,67.541674,106.057810,76.060577,66.802275,69.703654,134.962679,66.751120,107.968715,63.523415,61.987441,72.949409,139.754111,66.925942,113.514357,65.926989,74.270278,75.605043,143.299074,65.771277,117.148440,65.730043,117.645279,117.279685
42240000,145.666004,97.462790,78.939657,80.967750,130.042805,91.415808,134.251702,98.978741,123.328780,95.625946,83.243643,87.364749,131.332985,89.291027,136.488673,86.275511,75.480103,76.753439,138.524016,87.334420,129.274190,85.803227,75.221307,92.719542,143.536474,90.333369,134.457348,90.115644,109.508350,111.471800,147.029644,86.977241,136.221153,87.909985,136.518048,135.166434
44800000,150.064856,99.167018,83.596598,85.918785,172.796959,118.055196,136.047351,104.532302,156.342172,101.061521,89.410504,92.958178,134.838575,95.269663,166.731381,92.055827,80.141969,85.939991,142.721649,91.508338,163.957943,89.897504,78.307077,95.421094,148.701674,92.434901,173.485861,91.120257,109.754624,111.137046,150.972415,91.813496,179.466406,91.513664,179.395415,179.639052
47360000,154.245709,99.887605,82.658948,86.133443,193.107392,124.358765,138.166357,103.258933,196.973413,100.586148,88.623175,91.092254,138.317470,95.259545,176.403836,92.939621,81.068047,87.111731,146.676431,92.150365,180.797518,89.825470,75.874270,88.215393,153.735527,91.452875,194.204720,89.978502,100.616055,101.402285,156.250038,91.251521,203.105473,90.223936,202.796950,203.394586
49920000,157.281435,100.764667,79.698432,81.678670,176.466095,112.723207,139.622756,100.926076,188.986718,100.748923,87.061312,88.583849,141.351465,92.535823,156.917064,93.357783,77.527708,78.993894,150.359985,87.966566,163.289103,89.382839,69.262832,76.879891,157.640108,89.018891,175.497467,87.769566,82.686033,83.862519,158.171043,87.962939,181.915580,88.200481,181.525370,182.559014
52480000,161.601731,101.992274,72.493286,74.243674,125.361206,84.930320,141.627817,90.964270,135.582188,101.186433,86.439962,80.339799,144.132491,84.454022,112.286195,95.159925,77.090257,72.604107,154.015263,81.670790,117.931254,89.983067,65.192142,69.081629,162.473159,82.362430,124.834541,81.681851,72.225552,73.400989,162.414723,81.620066,129.488231,81.522063,130.003091,129.907905
55040000,166.372598,102.233040,66.598238,68.263951,78.425443,59.669359,143.281915,83.700354,86.482992,100.376672,92.750824,81.974528,147.121882,77.779023,76.183117,95.026649,88.746426,80.181845,157.927733,76.041030,78.489970,90.406867,85.355155,93.363173,166.032365,76.856372,87.148662,76.007040,85.546184,86.338098,167.828803,76.002116,100.096609,75.795926,100.176239,100.327470
57600000,164.284572,102.477788,79.664461,80.738892,141.651985,94.505145,142.713732,99.925712,125.687087,104.959023,92.697311,89.617678,147.621311,94.881441,142.910788,101.557939,91.720092,90.291867,157.210228,89.400583,142.780392,93.311895,82.103513,92.927008,164.791227,88.987486,148.175640,88.620245,102.065659,102.074950,165.001867,87.788641,156.067540,88.159534,153.300297,157.284293
60160000,167.386187,102.995255,75.982545,78.223236,179.273286,117.392300,144.310659,94.428343,164.611417,106.974550,99.289998,89.524603,150.099065,90.465419,165.691406,105.120388,95.661368,88.130487,159.190016,85.904598,168.443586,96.674974,86.974027,97.009261,168.448572,86.098675,179.726826,85.293811,100.138728,101.944874,168.036396,84.923878,185.551906,85.219209,185.417742,186.614052
62720000,169.617030,103.786745,71.100631,73.485878,192.429384,122.605275,145.644027,88.881767,195.108833,106.788402,100.147528,85.702436,151.392005,84.853978,171.387889,106.160912,96.789562,81.340744,161.474661,81.046684,177.104465,96.217060,84.494604,92.083795,169.989970,81.552823,189.711792,80.708452,95.255504,96.582128,169.788838,80.299608,196.194016,80.410005,196.179300,195.781053
64000000,170.459350,103.913787,68.817354,70.621087,196.067707,125.437970,145.589802,86.160651,206.682842,106.894873,100.162227,83.113564,152.257253,82.141141,173.697319,106.166219,97.939530,78.311019,162.373657,79.611831,181.771907,96.440601,83.014037,90.102981,170.457476,79.464728,194.253926,78.490404,92.255687,93.415356,171.137002,78.280049,200.733003,78.151856,200.612442,201.291146
96000000,188.638713,111.573690,99.553438,97.818019,209.666834,122.948862,156.218045,119.646938,223.686596,131.371753,119.708350,110.463311,168.122836,120.495457,174.939331,134.788394,125.463364,116.010182,176.927732,113.461220,182.945847,128.579673,112.749682,102.012434,184.900567,109.475062,197.054315,108.584614,137.762905,138.805252,188.702401,110.714056,211.441061,109.838057,210.166482,211.155104
128000000,193.799160,114.485466,96.265349,94.957646,235.082403,136.308647,217.508548,121.729801,270.424504,173.945300,162.551656,113.653532,174.969835,116.258732,192.786660,137.780502,123.441882,109.899898,183.588583,114.150078,204.492082,138.095221,118.573876,107.225969,190.191956,109.682818,221.630545,108.415128,125.180319,126.256884,196.924497,108.391536,236.441066,107.820334,150.991591,153.289574
160000000,206.476723,123.797072,91.892651,89.763648,139.686340,89.804597,273.263573,127.240199,161.341742,206.872050,189.640625,117.885763,190.137639,111.333876,139.306630,142.469023,118.557316,102.518512,191.401925,110.149923,126.916199,144.411234,111.319911,99.052798,199.012698,105.855062,137.031918,104.721609,109.173549,111.648013,206.805633,103.493959,143.238236,103.216748,101.772166,103.082438
192000000,306.041157,145.597947,88.442415,85.929085,70.173444,55.363463,301.394112,136.676787,80.691081,221.415407,199.401110,125.304958,254.200257,107.741312,75.855845,141.219201,108.873966,95.277938,275.653649,108.291301,71.103046,145.138144,99.143885,90.973268,292.478503,104.953641,73.522242,103.765556,95.430601,97.090715,304.513282,100.873304,76.319380,100.595229,95.343560,96.325253
224000000,371.279063,162.456298,148.631893,132.093874,231.683233,126.850940,320.669643,274.242584,264.864160,269.829121,258.780340,262.285857,300.586718,191.402310,186.474649,189.347565,181.847767,202.131026,339.696163,171.507593,197.781283,168.574259,194.386741,197.209651,357.774014,167.231840,217.515271,166.132326,213.327431,216.415780,369.766828,160.627973,229.236492,159.253221,227.985675,228.389611
256000000,416.814989,172.893861,152.106374,134.250875,243.135514,137.926437,332.122662,282.763127,281.987439,279.416667,276.193847,278.297206,332.400305,211.588913,218.765328,210.315410,215.487829,227.570252,382.000789,174.899526,209.655325,171.890597,206.332981,209.723359,404.914719,172.967006,228.715923,171.377141,224.251443,227.563443,415.023275,164.962198,242.011071,163.348217,240.574622,241.319728
288000000,456.522104,182.752786,156.053632,137.563197,252.604676,142.605056,341.834168,290.497457,288.591291,286.543102,282.234722,286.469783,360.860498,236.235899,258.985886,233.847355,254.160353,253.529543,417.239192,178.769883,216.793878,175.820990,212.967273,216.195314,441.064716,177.070486,232.777055,175.234568,227.941979,232.138968,450.437681,168.747871,247.788557,167.349037,246.198464,245.828875
320000000,486.273061,189.912034,158.723219,139.176754,257.784026,144.661849,350.657261,293.430722,292.669808,289.468412,285.727054,289.872114,380.122030,262.382692,284.145675,260.177153,278.595477,280.152426,439.891201,183.817661,220.684222,181.181283,217.129650,220.430939,469.714309,179.628573,237.686262,177.755711,232.821101,236.015108,480.039139,171.891186,252.674183,170.382657,250.782493,251.739432
352000000,508.228178,196.295943,161.308828,141.660704,260.392193,146.668621,354.664416,298.984511,301.344936,294.211330,291.576105,296.315857,395.125805,279.163723,299.164590,276.291511,294.415750,296.606430,458.966048,188.777684,222.637348,185.616897,220.118934,222.711056,491.191691,182.559736,239.853795,180.400454,234.223609,237.862625,500.938535,175.238511,252.422504,173.801540,251.146214,251.434684
384000000,526.245723,200.457541,162.789830,140.919021,262.707708,147.334774,356.909966,302.156980,302.075233,297.430099,294.543798,298.893845,405.796556,291.155313,312.245795,288.953650,306.718585,309.409821,472.428710,192.543906,225.155280,189.728449,221.342323,223.723340,508.737095,184.193473,240.551113,182.290001,235.662110,238.218118,521.811534,177.819503,254.591910,176.360016,252.951900,252.502358
416000000,542.483710,205.705229,164.759306,142.834398,264.869865,148.531256,363.527077,302.069596,302.853190,298.217438,294.905188,299.173512,415.931221,302.537648,324.817850,300.829447,319.675593,321.447506,484.763922,199.757815,226.445409,197.263817,223.571508,225.485125,522.613487,185.664844,242.589350,184.010747,237.393175,240.263790,539.140637,180.419935,257.447414,178.951568,255.239924,255.284566
