Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[$16$]fixed,byte[$16$]byte,bit[$16$]bit,fixed[$16$]byte,fixed[$16$]bit,byte[$16$]bit,fixed[F]8,fixed[$\ell$]8,byte[F]8,byte[$\ell$]8,bit[F]8,bit[$\ell$]8,fixed[$16$]fixed8,byte[$16$]byte8,bit[$16$]bit8,fixed[$16$]byte8,fixed[$16$]bit8,byte[$16$]bit8,fixed[F]16,fixed[$\ell$]16,byte[F]16,byte[$\ell$]16,bit[F]16,bit[$\ell$]16,fixed[$16$]fixed16,byte[$16$]byte16,bit[$16$]bit16,fixed[$16$]byte16,fixed[$16$]bit16,byte[$16$]bit16,fixed[F]32,fixed[$\ell$]32,byte[F]32,byte[$\ell$]32,bit[F]32,bit[$\ell$]32,fixed[$16$]fixed32,byte[$16$]byte32,bit[$16$]bit32,fixed[$16$]byte32,fixed[$16$]bit32,byte[$16$]bit32,fixed[F]64,fixed[$\ell$]64,byte[F]64,byte[$\ell$]64,bit[F]64,bit[$\ell$]64,fixed[$16$]fixed64,byte[$16$]byte64,bit[$16$]bit64,fixed[$16$]byte64,fixed[$16$]bit64,byte[$16$]bit64,Prezza
640,2.687500,3.387500,1.937500,2.675000,1.950000,2.650000,3.662500,3.062500,3.087500,2.925000,2.937500,3.075000,1.887500,2.387500,1.837500,2.375000,1.862500,2.362500,2.862500,2.962500,3.000000,2.825000,2.850000,2.987500,1.787500,2.287500,1.812500,2.350000,1.850000,2.350000,2.762500,2.937500,2.987500,2.800000,2.837500,2.975000,1.787500,2.287500,1.812500,2.350000,1.850000,2.350000,2.762500,2.937500,2.987500,2.800000,2.837500,2.975000,1.787500,2.287500,1.812500,2.350000,1.850000,2.350000,2.762500,2.937500,2.987500,2.800000,2.837500,2.975000,10.400000
1280,2.343750,2.743750,1.550000,1.968750,1.537500,1.937500,2.831250,2.112500,2.106250,2.043750,2.031250,2.100000,1.493750,1.793750,1.431250,1.750000,1.437500,1.737500,1.981250,1.993750,2.006250,1.925000,1.931250,2.000000,1.443750,1.693750,1.418750,1.687500,1.431250,1.681250,1.931250,1.981250,2.000000,1.912500,1.925000,1.993750,1.393750,1.643750,1.406250,1.675000,1.425000,1.675000,1.881250,1.968750,1.993750,1.900000,1.918750,1.987500,1.393750,1.643750,1.406250,1.675000,1.425000,1.675000,1.881250,1.968750,1.993750,1.900000,1.918750,1.987500,5.700000
1920,2.229167,2.495833,1.416667,1.695833,1.400000,1.666667,2.554167,1.791667,1.779167,1.745833,1.729167,1.775000,1.362500,1.562500,1.295833,1.508333,1.300000,1.500000,1.687500,1.670833,1.679167,1.625000,1.629167,1.675000,1.295833,1.462500,1.279167,1.458333,1.287500,1.454167,1.620833,1.654167,1.666667,1.608333,1.616667,1.662500,1.262500,1.429167,1.270833,1.450000,1.283333,1.450000,1.587500,1.645833,1.662500,1.600000,1.612500,1.658333,1.262500,1.429167,1.270833,1.450000,1.283333,1.450000,1.587500,1.645833,1.662500,1.600000,1.612500,1.658333,4.133333
2560,2.171875,2.396875,1.353125,1.587500,1.331250,1.556250,2.415625,1.634375,1.615625,1.600000,1.578125,1.612500,1.321875,1.471875,1.234375,1.393750,1.234375,1.384375,1.565625,1.515625,1.518750,1.481250,1.481250,1.515625,1.246875,1.396875,1.215625,1.375000,1.221875,1.371875,1.490625,1.496875,1.506250,1.462500,1.468750,1.503125,1.221875,1.346875,1.209375,1.343750,1.218750,1.343750,1.465625,1.490625,1.503125,1.456250,1.465625,1.500000,1.196875,1.321875,1.203125,1.337500,1.212500,1.337500,1.440625,1.484375,1.496875,1.450000,1.459375,1.493750,3.350000
3200,2.137500,2.317500,1.312500,1.500000,1.290000,1.470000,2.332500,1.537500,1.517500,1.510000,1.487500,1.515000,1.277500,1.417500,1.192500,1.340000,1.190000,1.330000,1.472500,1.417500,1.417500,1.390000,1.387500,1.415000,1.217500,1.337500,1.177500,1.305000,1.180000,1.300000,1.412500,1.402500,1.407500,1.375000,1.377500,1.405000,1.177500,1.277500,1.167500,1.275000,1.175000,1.275000,1.372500,1.392500,1.402500,1.365000,1.372500,1.400000,1.157500,1.257500,1.162500,1.270000,1.170000,1.270000,1.352500,1.387500,1.397500,1.360000,1.367500,1.395000,2.880000
3840,2.114583,2.264583,1.287500,1.443750,1.262500,1.412500,2.277083,1.475000,1.452083,1.452083,1.427083,1.450000,1.247917,1.364583,1.164583,1.287500,1.160417,1.277083,1.410417,1.352083,1.350000,1.329167,1.325000,1.347917,1.181250,1.281250,1.147917,1.254167,1.150000,1.250000,1.343750,1.335417,1.339583,1.312500,1.314583,1.337500,1.147917,1.231250,1.139583,1.229167,1.145833,1.229167,1.310417,1.327083,1.335417,1.304167,1.310417,1.333333,1.131250,1.214583,1.135417,1.225000,1.141667,1.225000,1.293750,1.322917,1.331250,1.300000,1.306250,1.329167,2.566667
4480,2.098214,2.241071,1.267857,1.416071,1.242857,1.385714,2.237500,1.428571,1.405357,1.408929,1.383929,1.403571,1.226786,1.326786,1.144643,1.250000,1.141071,1.241071,1.366071,1.305357,1.303571,1.285714,1.282143,1.301786,1.169643,1.255357,1.130357,1.221429,1.132143,1.217857,1.308929,1.291071,1.294643,1.271429,1.273214,1.292857,1.141071,1.226786,1.123214,1.214286,1.126786,1.212500,1.280357,1.283929,1.289286,1.264286,1.267857,1.287500,1.126786,1.198214,1.119643,1.196429,1.125000,1.196429,1.266071,1.280357,1.287500,1.260714,1.266071,1.285714,2.342857
5120,2.085938,2.210938,1.254687,1.384375,1.228125,1.353125,2.207813,1.395312,1.370313,1.378125,1.351562,1.368750,1.223437,1.310938,1.132812,1.225000,1.126562,1.214063,1.345312,1.273438,1.268750,1.256250,1.250000,1.267187,1.160937,1.235937,1.117188,1.196875,1.117188,1.192187,1.282812,1.257812,1.259375,1.240625,1.240625,1.257812,1.123438,1.198438,1.107813,1.187500,1.110937,1.185938,1.245313,1.248438,1.253125,1.231250,1.234375,1.251562,1.110937,1.173437,1.104688,1.171875,1.109375,1.171875,1.232813,1.245313,1.251562,1.228125,1.232813,1.250000,2.175000
5760,2.076389,2.187500,1.243056,1.358333,1.216667,1.327778,2.184722,1.368056,1.343056,1.352778,1.326389,1.341667,1.209722,1.287500,1.120833,1.202778,1.115278,1.193056,1.318056,1.245833,1.241667,1.230556,1.225000,1.240278,1.143056,1.209722,1.104167,1.175000,1.104167,1.170833,1.251389,1.229167,1.230556,1.213889,1.213889,1.229167,1.109722,1.176389,1.095833,1.166667,1.098611,1.165278,1.218056,1.220833,1.225000,1.205556,1.208333,1.223611,1.098611,1.154167,1.093056,1.152778,1.097222,1.152778,1.206944,1.218056,1.223611,1.202778,1.206944,1.222222,2.044444
6400,2.068750,2.168750,1.235000,1.338750,1.207500,1.307500,2.166250,1.347500,1.321250,1.333750,1.306250,1.320000,1.198750,1.268750,1.111250,1.185000,1.105000,1.175000,1.296250,1.223750,1.218750,1.210000,1.203750,1.217500,1.138750,1.208750,1.096250,1.170000,1.096250,1.166250,1.236250,1.208750,1.210000,1.195000,1.195000,1.208750,1.108750,1.168750,1.088750,1.152500,1.091250,1.151250,1.206250,1.201250,1.205000,1.187500,1.190000,1.203750,1.088750,1.138750,1.083750,1.137500,1.087500,1.137500,1.186250,1.196250,1.201250,1.182500,1.186250,1.200000,1.940000
