Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[$16$]fixed,byte[$16$]byte,bit[$16$]bit,fixed[$16$]byte,fixed[$16$]bit,byte[$16$]bit,fixed[F]8,fixed[$\ell$]8,byte[F]8,byte[$\ell$]8,bit[F]8,bit[$\ell$]8,fixed[$16$]fixed8,byte[$16$]byte8,bit[$16$]bit8,fixed[$16$]byte8,fixed[$16$]bit8,byte[$16$]bit8,fixed[F]16,fixed[$\ell$]16,byte[F]16,byte[$\ell$]16,bit[F]16,bit[$\ell$]16,fixed[$16$]fixed16,byte[$16$]byte16,bit[$16$]bit16,fixed[$16$]byte16,fixed[$16$]bit16,byte[$16$]bit16,fixed[F]32,fixed[$\ell$]32,byte[F]32,byte[$\ell$]32,bit[F]32,bit[$\ell$]32,fixed[$16$]fixed32,byte[$16$]byte32,bit[$16$]bit32,fixed[$16$]byte32,fixed[$16$]bit32,byte[$16$]bit32,fixed[F]64,fixed[$\ell$]64,byte[F]64,byte[$\ell$]64,bit[F]64,bit[$\ell$]64,fixed[$16$]fixed64,byte[$16$]byte64,bit[$16$]bit64,fixed[$16$]byte64,fixed[$16$]bit64,byte[$16$]bit64,Prezza
640,25.019792,26.348391,27.632954,28.022632,27.676117,27.958602,27.933101,30.304565,30.517987,31.101500,31.283664,30.316374,19.480741,21.588031,21.940618,24.456401,23.822428,24.636617,23.885211,25.008868,26.235991,26.130821,27.209613,26.088882,17.161543,18.132437,18.112319,19.750206,19.520907,20.047284,21.707006,21.447812,22.381034,22.772013,23.576502,22.377481,17.219724,17.997951,18.111539,19.876360,19.458029,20.123996,21.745315,21.461900,22.358695,22.778088,23.568490,22.447977,17.184453,17.890104,18.149796,19.820390,19.087408,20.175343,21.708958,21.433786,22.293611,22.768255,23.314626,22.192442,58.671704
1280,26.118816,27.687300,28.745071,29.255592,28.925627,29.529352,29.008993,31.389398,31.790799,32.276543,32.395483,31.621420,22.077767,22.775392,23.082117,23.950495,24.038062,24.074220,25.555941,26.657780,27.421363,27.953707,28.317329,27.324246,19.862476,21.807238,22.288354,24.801924,24.119919,25.005066,24.437787,25.536243,26.671601,26.780808,27.531309,26.459300,17.203427,18.077560,18.098621,19.863824,19.492288,20.107429,21.731999,21.629053,22.341833,22.693494,23.557965,22.649573,17.203707,18.126105,18.079057,19.849860,19.065523,20.174083,21.777748,21.488117,22.469063,22.845041,23.410801,22.292207,59.188431
1920,26.068870,27.466517,28.635916,28.877131,28.743669,29.131612,28.934765,31.235371,31.581527,32.116675,32.316565,31.465446,23.064846,24.527106,24.824203,26.350218,26.362990,26.396525,26.369276,28.471667,29.398304,29.720992,30.017556,29.240211,22.717964,23.898049,24.262712,25.236965,25.132202,25.342571,26.341392,26.927595,27.727890,28.025364,28.579703,27.660374,17.168638,17.950265,18.089488,19.880843,19.433367,20.117169,21.689828,21.454446,22.374862,22.769519,23.559067,22.494350,17.204909,18.065026,18.083475,19.822113,18.985398,20.183276,21.677464,21.525225,22.290488,22.769616,23.311554,22.243045,58.055185
2560,27.176953,28.499392,29.813422,30.164639,30.012300,30.603388,29.725048,32.279597,32.734802,34.063355,34.443403,32.610373,22.450476,24.063191,24.425908,25.998173,26.002276,26.115304,26.183143,28.755015,29.852915,29.803793,30.773935,29.661864,21.848806,22.644106,22.937792,23.869210,23.672017,24.120002,25.488474,26.777847,27.682634,27.703033,28.502351,27.596896,20.135600,22.068127,22.524553,25.013168,24.296809,25.183096,24.761667,26.062216,27.593884,27.179052,28.621925,27.374935,17.130625,17.979967,18.091688,19.820202,19.062185,20.161229,21.760913,21.428929,22.182895,22.629135,23.144260,22.213653,57.932999
3200,27.078088,28.414091,29.688525,30.041322,29.898834,30.441548,29.594105,32.178509,32.520926,33.044969,33.084191,32.441370,23.488905,24.781347,25.115551,26.499344,26.488433,26.596193,27.187756,28.399967,29.309502,29.496563,29.847211,29.017436,21.989912,23.909821,24.220856,26.000098,25.763706,26.112919,25.217580,27.235095,28.228380,28.450124,29.255455,28.114806,21.796397,23.474492,23.723099,25.463452,25.145437,25.646631,26.215053,26.860517,27.652879,27.838167,28.601975,27.477861,17.125690,18.116657,18.097663,19.818777,18.903576,20.219902,21.947384,21.476070,22.314504,23.071965,23.585869,22.204478,57.964726
3840,27.053518,28.323623,29.601166,29.824654,29.747856,30.264377,29.592963,32.051171,32.462377,32.984722,33.045571,32.350848,25.103301,26.976069,26.981414,28.283041,28.357163,28.384218,27.833100,30.189601,30.829288,31.160259,31.322033,30.694883,22.947009,24.839160,24.931261,26.348432,26.200460,26.547439,26.494023,28.437843,29.324400,29.593231,30.124726,29.154280,22.789266,23.805946,24.194931,25.074536,25.190495,25.299326,26.297105,27.008424,27.706083,27.936112,28.647557,27.497777,17.147126,18.118015,18.068056,19.830873,19.090782,20.191187,21.667287,21.441485,22.344976,22.806384,23.317567,22.178783,57.972505
4480,28.005685,29.300663,30.710068,31.173461,30.979675,31.524563,30.362907,33.180943,33.206354,33.915446,34.147467,33.078986,25.602209,27.279189,27.172766,28.311680,28.494194,28.388509,28.329237,30.625569,31.225944,31.604284,31.797973,31.099944,23.710240,25.394502,25.465360,26.806838,26.687898,27.025199,27.379644,28.741279,29.627293,29.836129,30.420230,29.474307,22.545042,23.259112,23.684289,24.351761,24.545542,24.701815,25.877623,26.905428,27.481063,27.847409,28.536542,27.359970,19.008813,21.243735,21.665117,24.008164,23.494585,24.247250,23.239529,24.609137,25.718767,25.615572,26.748767,25.465599,59.174546
5120,27.920236,29.206474,30.602749,31.069194,30.901062,31.474825,30.316812,32.743789,33.160466,33.664021,33.871990,32.746701,25.357868,26.946690,26.975580,28.128519,28.259364,28.242748,28.084012,30.419107,31.026223,31.421955,31.628393,30.926125,22.294833,24.232287,24.375139,25.997876,25.775237,26.198281,26.219361,27.887965,28.822894,28.973458,29.581511,28.642698,21.854544,22.437607,22.992236,23.752981,23.858827,24.113769,25.376055,26.608631,27.176372,27.121515,28.145484,27.109779,20.216345,22.170208,22.611050,24.901988,24.292460,25.132723,25.108573,25.910830,26.763178,26.916536,27.897103,26.537221,57.907649
5760,27.911783,29.188162,30.543214,30.922096,30.850913,31.339820,30.347576,32.774203,33.185252,33.725950,33.805428,32.767562,24.923805,26.521323,26.567631,28.081818,27.923096,27.976235,27.654858,29.972058,30.577871,31.027005,31.170093,30.558118,22.836138,24.718404,24.758028,26.356504,26.185090,26.551146,26.820554,28.161345,29.020417,29.171262,29.830610,28.924546,21.225459,21.840790,22.271287,23.302858,23.327884,23.646984,25.012197,26.290063,26.506220,27.232135,27.754902,26.609103,21.138123,22.853913,23.197324,25.382881,24.715276,25.657388,26.120358,26.578173,27.294696,27.528593,28.408529,27.066100,57.917804
6400,27.806069,29.129153,30.522182,31.003419,30.793681,31.382537,30.215131,32.703215,33.105903,33.639149,33.815670,32.658480,25.237965,26.690329,26.766811,27.888727,28.044324,28.011857,27.974662,30.245428,30.807652,31.251978,31.498473,30.867013,23.420161,25.108848,25.156871,26.612817,26.395244,27.052929,27.218029,28.257348,29.122026,29.274324,29.803453,28.975466,22.148750,23.808858,24.284073,25.947071,25.941491,26.217529,25.435956,27.470933,28.357355,28.558410,29.316015,28.266507,22.040519,23.525453,23.800273,25.529770,25.053209,25.691714,25.925464,26.856182,27.537932,27.862972,28.636728,27.319548,57.946145
12800,28.400240,29.878106,31.359316,31.798508,31.632929,32.433598,30.626588,33.144370,33.515006,34.323235,34.552688,33.162354,26.116472,27.936466,27.773511,29.154340,29.416439,29.319217,28.651136,31.353585,31.807344,32.403789,32.554450,31.766509,25.318580,27.171435,26.803882,27.948883,27.941423,28.190488,27.988774,30.115016,30.934172,31.094593,31.479773,30.701422,24.038305,25.361026,25.581503,26.505676,26.450922,26.685109,27.335940,28.370044,29.089409,29.165703,29.963151,28.911137,22.674247,24.463238,25.123531,25.990650,25.843300,26.099394,25.727297,27.573071,28.321105,28.678264,29.285566,28.172623,57.937246
19200,29.098039,30.669898,32.164260,32.758111,32.328826,33.129623,31.081841,33.612527,33.811691,34.836318,35.219392,33.824384,27.444900,29.107662,28.964041,30.376856,30.646416,30.669513,29.662253,32.467614,33.025544,33.443766,33.989313,32.875766,26.588883,28.486460,28.121547,29.376465,29.464432,29.681888,29.067019,31.564899,32.296705,32.528649,32.810441,31.866541,25.090591,26.498924,26.767885,28.038416,28.008501,28.215378,28.033868,30.226467,30.887044,31.087916,31.576603,30.639206,23.996735,25.373757,25.754573,26.833659,26.621480,26.943268,27.892817,28.887941,29.434659,29.815302,30.363464,29.203523,62.209027
25600,28.996106,30.497506,32.205218,32.702935,32.433529,33.205192,31.028006,33.614645,33.801429,34.860221,35.264869,33.873087,27.213567,28.931113,28.700095,30.199173,30.493560,30.279589,29.400152,32.367815,32.688052,33.209978,33.546705,32.574682,25.986357,28.200880,27.836484,29.181579,29.307212,29.527030,28.720645,31.183874,31.964845,32.097650,32.504454,31.720908,25.158945,26.533903,26.750480,27.911617,27.894657,28.037028,28.020930,30.206976,30.897572,31.021910,31.557259,30.603673,23.451885,24.841855,25.276974,26.489446,26.218849,26.544944,27.492135,28.378287,28.985195,29.289363,29.917129,28.765590,64.414730
32000,28.901434,30.394909,31.883092,32.405260,32.106097,32.790949,31.002184,33.396200,33.754401,34.754359,35.193469,33.691956,27.503708,28.857700,28.643892,29.986104,30.311736,30.037436,29.327022,34.295361,32.616658,35.253114,33.427665,32.526069,27.059810,29.274065,28.871187,30.595128,30.567793,30.854214,29.467320,32.094543,33.054520,33.112259,33.722694,32.665362,26.133349,27.771136,27.825828,29.371211,29.288643,29.723119,28.714889,31.701909,32.107117,32.153403,32.820812,31.976401,25.095179,27.022615,27.268233,28.191512,28.241633,28.309550,28.349448,30.454695,31.060985,31.183117,31.744049,30.515296,64.039017
38400,29.463194,31.148769,32.750196,33.407136,33.116454,33.976860,31.472533,33.961798,34.483291,34.986908,35.761560,34.510971,28.177965,29.908255,29.625278,31.372171,31.540280,31.385938,30.260351,32.920421,33.189392,34.002879,34.623705,33.050241,27.294951,29.379349,28.944269,30.414927,30.475658,30.626471,29.648436,32.291145,32.971399,33.193571,33.619724,32.566424,26.496056,27.914211,27.978505,29.394488,29.614928,29.492528,29.089928,31.637867,32.228345,32.409721,33.035454,32.010562,25.036713,26.795382,27.193266,27.903633,28.036588,28.023521,28.217822,30.301269,30.856860,31.256775,31.653923,30.455465,65.790246
