Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[$16$]fixed,byte[$16$]byte,bit[$16$]bit,fixed[$16$]byte,fixed[$16$]bit,byte[$16$]bit,fixed[F]8,fixed[$\ell$]8,byte[F]8,byte[$\ell$]8,bit[F]8,bit[$\ell$]8,fixed[$16$]fixed8,byte[$16$]byte8,bit[$16$]bit8,fixed[$16$]byte8,fixed[$16$]bit8,byte[$16$]bit8,fixed[F]16,fixed[$\ell$]16,byte[F]16,byte[$\ell$]16,bit[F]16,bit[$\ell$]16,fixed[$16$]fixed16,byte[$16$]byte16,bit[$16$]bit16,fixed[$16$]byte16,fixed[$16$]bit16,byte[$16$]bit16,fixed[F]32,fixed[$\ell$]32,byte[F]32,byte[$\ell$]32,bit[F]32,bit[$\ell$]32,fixed[$16$]fixed32,byte[$16$]byte32,bit[$16$]bit32,fixed[$16$]byte32,fixed[$16$]bit32,byte[$16$]bit32,fixed[F]64,fixed[$\ell$]64,byte[F]64,byte[$\ell$]64,bit[F]64,bit[$\ell$]64,fixed[$16$]fixed64,byte[$16$]byte64,bit[$16$]bit64,fixed[$16$]byte64,fixed[$16$]bit64,byte[$16$]bit64
640,16.463870,16.308282,16.377251,16.445142,16.676057,16.911087,17.603947,17.618578,18.530423,17.712837,17.924939,17.637719,16.806667,16.531969,16.657165,16.576273,16.816755,16.814570,17.816884,17.763977,18.981202,17.777216,18.961025,19.014821,16.607985,16.676998,16.620642,16.706669,17.150547,17.123393,17.964220,17.878729,19.183320,17.910971,18.462246,19.091837,16.590221,16.632257,16.579494,16.716804,17.160234,17.157203,17.944204,17.906803,19.125524,17.882973,19.331676,19.110223,16.567031,16.599543,16.578933,16.713281,17.116448,17.176470,17.941632,17.881361,18.517694,17.878026,19.199193,19.105427
1280,16.334943,16.301895,16.361230,16.421022,16.651480,16.502231,17.594313,17.592735,18.520588,17.705903,17.869902,17.599895,16.522479,16.505712,16.529023,16.585215,16.788843,16.781693,17.861936,17.770036,18.995987,17.758331,18.964157,18.996482,16.577806,16.606496,16.622178,16.703207,17.144127,17.171065,17.938516,17.909832,19.142876,17.892418,18.464806,19.139417,16.570838,16.588118,16.573870,16.720331,17.163248,17.184918,17.938617,17.898283,18.978286,17.886604,18.885959,18.965897,16.572290,16.704597,16.567944,16.718183,17.146271,17.151374,17.943905,17.869409,18.510425,17.870726,19.199421,19.115066
1920,16.329312,16.298548,16.309754,16.328433,16.697430,16.519286,17.598280,17.620827,18.522197,17.710999,17.878520,17.609902,16.537319,16.544536,16.564440,16.554918,16.800372,16.805114,17.820006,17.768515,19.003365,17.774503,18.929416,18.942276,16.585159,16.604893,16.587096,16.723094,17.198283,17.086165,17.951300,17.881648,19.152840,17.910869,18.490357,19.155583,16.596252,16.602666,16.588217,16.780787,17.230050,17.167531,17.947975,17.920520,19.172062,17.896261,19.006408,19.119462,16.634095,16.608707,16.587072,16.729552,17.120969,17.144278,17.952229,17.887431,18.520853,17.890660,18.876722,19.131513
2560,16.333085,16.291791,16.338898,16.352303,16.652199,16.535070,17.598728,17.612612,18.514977,17.709877,17.878645,17.619626,16.535814,16.547094,16.532422,16.601920,16.801392,16.963875,17.818059,17.758679,18.992080,17.761613,18.942212,18.987253,16.587085,16.594285,16.585265,16.715178,17.165537,17.217363,17.950348,17.881767,19.109785,17.876819,18.468653,19.088554,16.576983,16.599384,16.618893,16.709417,17.179699,17.162459,17.942673,17.897873,19.127688,17.876711,19.177089,19.134835,16.581821,16.612922,16.684878,16.720942,17.133800,17.176292,17.972178,17.918508,18.529575,17.876487,19.078624,19.128336
3200,16.343487,16.600056,16.345167,16.380508,16.711390,16.513042,17.602120,17.600332,18.522414,17.742886,17.875395,17.616837,16.534807,16.509452,16.542764,16.560066,16.780330,16.796684,17.827249,17.763433,18.999905,17.751678,18.958124,18.977943,16.585503,16.605151,16.605132,16.725974,17.177629,17.122621,17.942534,17.897670,19.134750,17.880504,18.460412,19.110077,16.584367,16.589526,16.575527,16.716508,17.157906,17.241897,18.044647,17.872435,19.143087,17.911538,18.988016,19.112909,16.616733,16.604796,16.593654,16.703366,17.201985,17.263821,17.951941,17.880399,18.545568,17.883276,19.276065,19.149105
3840,16.380550,16.296876,16.317339,16.337669,16.636589,16.547557,17.616953,17.601005,18.642672,17.705177,17.983080,17.633432,16.535913,16.503546,16.539228,16.550824,16.818376,16.788405,17.820857,17.761247,18.994922,17.750368,19.077614,19.047089,16.568680,16.587297,16.574985,16.704519,17.175683,17.219581,17.942710,17.869433,19.113871,17.871029,18.462627,19.127878,16.568241,16.594837,16.575503,16.708438,17.160219,17.133477,17.952416,17.852607,19.114283,17.871762,19.140989,19.125727,16.565620,16.591715,16.578095,16.711476,17.133819,17.136979,17.938470,17.883889,18.517361,17.871577,19.084545,19.056371
4480,17.350689,17.320454,17.374245,17.368647,17.741912,17.668785,18.539362,18.928930,19.457440,18.689987,18.928540,18.688781,17.531373,17.505644,17.548350,17.598081,17.840506,17.760567,18.797156,18.786206,19.837432,18.792037,19.922286,19.901078,17.724294,17.739085,17.550412,17.617474,17.952277,17.757946,18.976949,18.952967,19.889417,18.786857,19.369761,20.513701,17.587206,17.613575,17.654044,17.656239,17.905889,17.735879,18.979951,18.938339,20.049242,18.871583,19.979288,19.930234,17.628920,17.575772,17.695409,17.732505,17.804388,17.848898,18.902714,19.021905,19.514736,18.808921,19.696234,19.988759
5120,18.758901,18.751648,18.950795,18.806779,19.188444,19.264321,19.874881,20.309936,20.673001,20.121965,20.399343,20.259489,19.003576,18.877512,18.982738,19.008597,19.256518,19.118374,20.161852,20.172216,21.000666,20.178026,20.945304,21.116493,19.161763,19.274804,18.931843,18.924900,19.487815,19.197108,20.268768,20.328176,21.017349,20.136376,20.637583,22.120831,18.937812,19.027340,19.069191,18.947207,19.369182,19.125293,20.366628,20.252454,21.095826,20.228962,21.774524,20.995154,19.025181,18.940951,19.167779,19.145408,19.169062,19.272528,20.252215,20.482350,20.743246,20.160284,20.865063,21.188618
5760,20.186192,19.975249,20.288875,20.005511,20.395211,20.622090,21.017275,21.450207,21.727308,21.330398,21.687934,21.621257,20.274920,20.027597,20.217824,20.268172,20.469791,20.215905,21.321622,21.321299,21.942557,21.283550,21.921418,22.020998,20.356800,20.483238,20.186617,20.065535,20.670003,20.393276,21.402406,21.463726,21.952578,21.324217,21.677559,23.000517,20.084624,20.211636,20.293826,20.142521,20.599142,20.456677,21.523551,21.406710,21.930699,21.459501,23.033705,21.941979,20.266577,20.142908,20.418036,20.446559,20.279470,20.414195,21.388950,21.744042,21.810342,21.366768,21.802578,22.171877
6400,21.092825,20.842428,21.351483,21.049365,21.333955,21.675952,21.977952,22.482716,22.620266,22.349452,22.639231,22.659072,21.288524,20.900590,21.174630,21.184364,21.448375,21.201130,22.223890,22.272709,22.793965,22.259852,22.806623,22.846356,21.382047,21.442040,21.223163,21.038952,21.575497,21.404210,22.381673,22.411602,22.827097,22.340304,22.547339,23.528218,21.088796,21.271121,21.315108,21.088360,21.536071,21.298597,22.496672,22.304675,22.873688,22.584074,23.519494,22.815595,21.267761,21.136444,21.397991,21.495393,21.248809,21.327727,22.314303,22.721706,22.723873,22.389116,22.629382,22.979686
