Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[$16$]fixed,byte[$16$]byte,bit[$16$]bit,fixed[$16$]byte,fixed[$16$]bit,byte[$16$]bit,fixed[F]8,fixed[$\ell$]8,byte[F]8,byte[$\ell$]8,bit[F]8,bit[$\ell$]8,fixed[$16$]fixed8,byte[$16$]byte8,bit[$16$]bit8,fixed[$16$]byte8,fixed[$16$]bit8,byte[$16$]bit8,fixed[F]16,fixed[$\ell$]16,byte[F]16,byte[$\ell$]16,bit[F]16,bit[$\ell$]16,fixed[$16$]fixed16,byte[$16$]byte16,bit[$16$]bit16,fixed[$16$]byte16,fixed[$16$]bit16,byte[$16$]bit16,fixed[F]32,fixed[$\ell$]32,byte[F]32,byte[$\ell$]32,bit[F]32,bit[$\ell$]32,fixed[$16$]fixed32,byte[$16$]byte32,bit[$16$]bit32,fixed[$16$]byte32,fixed[$16$]bit32,byte[$16$]bit32,fixed[F]64,fixed[$\ell$]64,byte[F]64,byte[$\ell$]64,bit[F]64,bit[$\ell$]64,fixed[$16$]fixed64,byte[$16$]byte64,bit[$16$]bit64,fixed[$16$]byte64,fixed[$16$]bit64,byte[$16$]bit64
640,33.717403,35.455928,36.254365,35.654012,37.917501,36.980353,35.786269,39.534254,42.014142,40.063798,41.388988,41.300293,32.815131,32.095530,32.036782,32.251741,33.504860,32.901338,32.581058,35.501465,36.863965,35.359416,37.247411,36.939084,31.538716,31.797546,31.705894,32.347586,31.448104,32.378377,32.443381,34.337646,34.149373,34.240422,34.207547,34.130567,31.377369,31.740765,31.186845,32.087623,31.691264,32.631364,32.193242,34.320476,34.520990,34.291966,34.473324,34.229104,31.299602,31.452811,31.882637,31.857443,32.421838,33.019558,32.070153,34.392737,35.710333,34.251731,35.453682,35.290359
1280,37.441174,39.594160,40.983861,40.315866,42.386485,41.954339,39.501875,44.661002,47.357968,44.696920,46.456627,46.195261,35.645348,36.040973,36.230249,36.821838,37.174549,36.772051,36.533451,39.122636,40.345472,39.081339,40.509676,40.349419,34.542730,35.297816,35.463584,35.838973,36.578733,36.073567,35.794055,38.616060,39.614966,38.469494,39.500202,39.459722,34.600847,35.417889,34.399470,35.621437,34.944166,36.219595,35.621499,38.141503,38.249688,37.992611,38.272198,38.360565,34.742590,35.028422,34.976598,35.505353,35.860864,36.251802,35.609998,38.026143,39.158272,37.951174,38.944209,38.972460
1920,40.236947,42.750891,44.143746,43.575700,45.918239,45.416040,42.310874,47.918776,50.466025,48.008388,49.464511,49.286792,38.621170,39.555013,41.276129,40.272203,41.870927,40.498281,40.079552,43.571384,44.999051,43.519821,45.101298,44.966066,37.513596,38.656082,38.228679,38.949044,39.517637,39.091357,38.938059,41.775185,42.518804,41.708460,42.473055,42.415873,37.065936,38.429347,36.897064,38.720729,37.838636,39.243449,38.645904,40.893281,41.282767,40.955799,41.303818,41.579949,37.140944,37.805936,37.389675,38.740616,38.730942,39.437828,38.703439,40.936513,41.970909,41.080716,41.852661,41.971663
2560,41.248623,43.909773,45.710767,44.869009,47.991287,46.869368,43.569927,49.790546,52.648438,49.752584,51.789231,51.585995,39.089021,40.036558,41.489692,40.716233,42.363203,41.043000,40.389962,43.959368,45.581130,44.018747,45.587339,45.525672,37.905695,39.012844,38.827325,39.562428,39.770399,39.891700,39.277316,42.197603,42.927300,42.069249,42.933743,42.950392,38.650249,39.011492,38.925150,39.869208,39.655007,39.828664,39.482147,42.411685,43.848980,42.433428,43.890912,44.049116,39.549409,40.057653,39.716907,41.147823,40.880404,41.403196,41.268473,43.235812,44.269436,43.425760,44.235960,44.398492
3200,43.172139,45.326554,47.596537,46.600278,50.387841,48.765988,45.345653,51.364467,54.139431,51.386559,53.159392,52.957592,40.488487,41.605421,43.524043,43.153568,43.912237,42.849767,41.677619,45.497638,47.165674,45.444103,47.231617,47.203883,39.382975,40.812443,40.799203,41.342784,42.731105,42.116344,41.094816,44.467052,45.922497,44.414759,45.954216,45.970977,40.119384,40.992965,40.509935,41.523854,41.458788,41.195728,40.908826,44.532225,45.657280,44.416312,45.505480,45.608971,42.115157,42.750401,42.480126,43.391075,43.587504,43.900443,43.986900,45.862334,47.017234,46.120692,47.004401,46.968828
3840,45.250692,47.118796,49.411096,48.625428,53.201645,50.568469,46.981324,53.533828,55.686326,53.644347,54.927546,54.560063,42.112170,43.443550,46.178217,44.698841,46.965353,45.034815,43.672777,48.225527,50.422972,48.085805,50.653498,50.614303,40.954502,42.587959,43.352036,43.152961,44.468151,43.731767,42.815456,46.129081,47.710842,45.982226,47.743014,47.761218,41.463357,42.679677,42.086570,43.056965,43.067119,42.916310,42.657024,46.181883,47.347305,46.231588,47.328184,47.467983,45.040188,45.824281,45.499576,45.832702,46.675928,46.848979,46.972307,48.860108,49.979076,48.859719,49.950780,50.126949
4480,45.699444,48.870890,50.485664,50.355830,54.919420,52.819535,48.979481,54.833068,57.851121,54.850959,57.033454,56.699506,42.221836,43.612114,46.158796,45.028355,46.938675,45.194193,43.859607,48.337471,50.569222,48.246377,50.552859,50.593499,41.088254,42.918724,43.687569,43.352819,44.317934,44.112912,42.926083,46.304274,47.919968,46.248356,47.905051,47.962835,41.920375,43.055898,42.375425,43.719221,43.440110,43.453064,43.114270,46.334571,47.565076,46.357374,47.531902,47.663586,45.375398,45.643035,46.818427,46.537818,47.416232,46.819762,47.866918,50.344263,51.590470,50.408120,51.633466,51.652087
5120,46.267581,49.716367,51.061663,50.079784,55.805079,52.769471,49.657806,55.523599,58.810422,55.505508,60.069789,57.655383,42.815624,44.146200,46.531877,45.353516,47.401375,45.663204,44.416449,48.986849,51.535781,48.827039,51.237874,51.220583,41.575879,43.570212,43.942773,43.983039,44.765320,44.574165,43.384564,46.874248,48.546507,46.728876,48.501588,48.566848,42.272676,43.437783,42.737133,43.849648,43.709494,43.707202,43.281202,46.656640,48.057475,46.650877,47.871137,47.927688,45.293657,45.815430,46.665311,46.628398,47.194917,46.518387,47.523515,50.240030,51.384213,50.202684,51.352805,51.485666
5760,46.874709,50.331241,51.760968,50.661910,56.347930,53.351612,50.167253,56.113524,59.318364,56.148212,58.528483,58.161779,43.469771,44.794771,47.399311,45.949272,48.316798,46.524376,45.055310,49.765517,52.161931,49.650019,52.236579,52.260413,42.324365,44.406371,45.021387,44.886449,45.733318,45.394068,44.090134,47.780967,49.385707,47.582158,49.462409,49.446772,43.054144,44.213473,43.503851,44.706570,44.463424,44.600990,44.475785,48.130619,49.349653,48.024569,49.160115,49.269920,46.043051,46.836667,47.309941,47.196081,47.786125,47.111716,48.420750,51.057813,52.163450,51.201325,52.265065,52.142531
6400,47.992397,51.027933,52.706395,52.148128,57.429002,54.483902,51.369226,57.153325,60.470738,57.134667,59.633285,59.322874,44.103574,46.104260,48.311040,46.946601,48.912760,47.267912,45.628094,50.493974,52.899657,50.488441,52.998858,52.940174,42.937870,44.753079,45.982184,45.683190,46.270901,46.304714,44.551221,48.405892,50.108763,48.290091,50.138515,50.095676,43.997448,45.435628,45.605103,46.027438,46.735638,46.028671,45.481914,49.219798,50.885497,49.242695,50.923302,50.928225,47.262867,47.708551,48.182758,48.263652,48.783365,48.089542,48.997547,51.775519,52.935320,51.924452,52.963067,52.910282
