Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[$16$]fixed,byte[$16$]byte,bit[$16$]bit,fixed[$16$]byte,fixed[$16$]bit,byte[$16$]bit,fixed[F]8,fixed[$\ell$]8,byte[F]8,byte[$\ell$]8,bit[F]8,bit[$\ell$]8,fixed[$16$]fixed8,byte[$16$]byte8,bit[$16$]bit8,fixed[$16$]byte8,fixed[$16$]bit8,byte[$16$]bit8,fixed[F]16,fixed[$\ell$]16,byte[F]16,byte[$\ell$]16,bit[F]16,bit[$\ell$]16,fixed[$16$]fixed16,byte[$16$]byte16,bit[$16$]bit16,fixed[$16$]byte16,fixed[$16$]bit16,byte[$16$]bit16,fixed[F]32,fixed[$\ell$]32,byte[F]32,byte[$\ell$]32,bit[F]32,bit[$\ell$]32,fixed[$16$]fixed32,byte[$16$]byte32,bit[$16$]bit32,fixed[$16$]byte32,fixed[$16$]bit32,byte[$16$]bit32,fixed[F]64,fixed[$\ell$]64,byte[F]64,byte[$\ell$]64,bit[F]64,bit[$\ell$]64,fixed[$16$]fixed64,byte[$16$]byte64,bit[$16$]bit64,fixed[$16$]byte64,fixed[$16$]bit64,byte[$16$]bit64
640,16.075036,16.077690,16.209091,16.031435,16.713886,16.218537,17.818884,17.882689,18.166691,17.660801,17.700808,17.534842,16.283724,16.220064,16.232108,16.226150,16.895770,16.453360,17.994872,18.044183,18.749714,17.967778,18.887921,18.718518,16.392006,16.272461,16.360359,16.254493,16.420518,16.466926,17.876981,17.781319,19.442843,17.770704,18.516544,18.827516,16.342865,16.232862,16.369745,16.261753,16.475960,16.440155,17.862924,17.770746,19.273146,17.778261,18.784035,18.869571,16.348633,16.230915,16.360608,16.255446,16.443464,16.449571,17.867855,17.786411,19.007778,17.807347,18.804576,18.953547
1280,16.037390,16.050707,16.190749,16.140755,16.468542,16.220699,17.722453,17.481615,18.168211,17.653066,17.631725,17.475001,16.234625,16.262773,16.212405,16.196669,16.444843,16.438446,17.979842,17.987376,18.684066,17.989288,18.803733,18.721449,16.348429,16.233124,16.349856,16.238290,16.416185,16.438605,17.860956,17.778514,19.124750,17.886772,18.464481,18.835275,16.350870,16.228247,16.391688,16.268806,16.450536,16.430340,17.871337,17.790750,19.038435,17.774290,18.886118,19.068430,16.353480,16.223099,16.345061,16.248800,16.434112,16.434316,17.861521,17.775634,18.927219,17.761658,18.773062,18.987611
1920,16.049844,16.117600,16.201005,16.026157,16.477273,16.219695,17.931511,17.496445,18.168125,17.890092,17.660016,17.497339,16.232166,16.223431,16.275413,16.205408,16.444954,16.476454,17.989201,17.973339,18.712499,17.969274,18.903296,18.668153,16.353386,16.230990,16.364011,16.267409,16.457212,16.459955,17.879393,17.790952,18.755540,17.815672,18.503283,18.917517,16.341851,16.238133,16.372071,16.315348,16.446288,16.442584,17.876124,17.763094,18.799767,17.783985,18.771868,19.071397,16.365084,16.238966,16.355558,16.264150,16.446136,16.457303,17.875860,17.785813,18.931143,17.812893,18.766964,19.424933
2560,16.040959,16.067122,16.196528,16.034325,16.490530,16.222789,17.715563,17.500686,18.175830,17.697034,17.666840,17.487862,16.233796,16.212454,16.230185,16.223949,16.443790,16.452103,17.980436,18.029519,18.722872,17.973838,18.873396,18.721460,16.352526,16.247129,16.352774,16.250785,16.429843,16.442263,17.874622,17.786332,19.083088,17.776162,18.457404,18.811468,16.343350,16.224622,16.356954,16.247124,16.441018,16.455538,17.887385,17.799945,19.091504,17.772348,18.818631,18.973777,16.416618,16.226857,16.349054,16.259828,16.445787,16.434731,17.873834,17.777913,18.936217,17.785807,18.778917,19.068300
3200,16.271676,16.063818,16.200664,16.049776,16.480220,16.216779,17.718126,17.495938,18.186535,17.663604,17.697276,17.486481,16.235776,16.233083,16.219910,16.285059,16.454482,16.464994,17.980226,17.999033,18.702397,17.968518,18.773532,18.728328,16.350472,16.229562,16.362656,16.279741,16.444669,16.434192,17.869296,17.784298,18.823603,17.777255,18.422216,18.791363,16.345631,16.258774,16.354429,16.253268,16.435031,16.436513,17.988581,17.780387,18.795001,17.768389,18.791275,18.732662,16.366212,16.223713,16.384474,16.276384,16.483645,16.446384,17.868983,17.783932,18.939793,17.763067,18.771074,19.425185
3840,16.046557,16.068338,16.198671,16.062939,16.471741,16.222012,17.709916,17.475609,18.354338,17.713132,17.634678,17.586492,16.219331,16.218724,16.225630,16.219240,16.443997,16.439168,18.016008,17.955375,18.699753,17.930222,19.052845,18.710843,16.353360,16.234592,16.354041,16.238693,16.425186,16.453970,17.858471,17.770913,18.955496,17.785922,18.472758,19.157718,16.343436,16.236607,16.360978,16.244939,16.420319,16.446591,17.856840,17.775994,19.268089,17.788923,18.762244,18.893012,16.342398,16.248964,16.347144,16.250115,16.444668,16.441685,17.849946,17.771982,18.982736,17.783005,18.777465,18.797548
4480,17.205425,17.165042,17.306673,17.248291,17.500568,17.496423,18.696292,18.479602,19.197622,18.583382,18.714169,18.496129,17.298541,17.215942,17.279320,17.418564,17.462217,17.481665,19.035379,18.930494,19.634996,18.930090,19.601011,19.717095,17.522269,17.301460,17.439825,17.430322,17.407254,17.543122,18.885502,18.804120,19.677678,18.849261,19.447269,20.188270,17.389435,17.268597,17.422017,17.455200,17.450604,17.538104,18.899519,18.783396,19.654257,18.887686,19.783401,19.866328,17.514822,17.333406,17.405420,17.289685,17.441825,17.463405,18.878809,18.856894,19.552351,18.931812,19.613109,19.691081
5120,18.642769,18.714100,18.780917,18.709308,19.003577,19.136931,20.030127,19.886211,20.637489,19.951475,20.199678,19.861650,18.639393,18.648700,18.699851,18.798922,18.860031,18.919272,20.345390,20.303197,20.994611,20.250886,20.789931,21.060310,18.978305,18.743060,18.899641,18.952481,18.941682,18.886588,20.310133,20.224135,20.911306,20.318123,20.665548,21.810084,18.872346,18.660028,18.920988,18.918727,18.824391,19.001380,20.182631,20.175068,20.811452,20.268696,21.617741,20.990811,18.972216,18.830032,18.892636,18.748600,18.779484,19.000510,20.257654,20.257806,20.878669,20.297542,20.829257,20.877587
5760,19.846918,20.047255,20.036733,20.003992,20.230459,20.408462,21.372200,21.106509,21.778631,21.115859,21.518820,20.996222,19.846319,19.758456,19.934567,20.004328,20.079658,20.134504,21.432231,21.437157,21.840689,21.337956,21.772118,21.881528,20.267657,19.975450,20.189619,20.134453,20.229115,20.123463,21.382090,21.407668,21.816381,21.499841,21.795989,22.726389,20.150054,19.914609,20.238365,20.199003,20.016905,20.253720,21.243090,21.405364,21.816317,21.452426,22.742634,21.926205,20.251607,20.180164,20.156303,20.030978,19.949731,20.150784,21.307567,21.445100,21.844020,21.429067,21.766431,21.954504
6400,20.786274,21.005694,20.993325,20.983143,21.240578,21.499319,22.127185,22.072607,22.737097,22.162285,22.599906,22.041122,20.876753,20.806114,20.981080,21.002489,21.035975,21.129669,22.312406,22.403216,22.817337,22.255568,22.737183,22.775616,21.223345,21.016710,21.186950,21.054348,21.247510,21.140660,22.288682,22.324505,22.711756,22.436083,22.700050,23.332509,21.154594,20.900734,21.072340,21.222304,21.013988,21.257147,22.175434,22.358390,22.709720,22.434244,23.464839,22.806912,21.202163,21.200283,21.180737,21.199930,20.880008,21.079161,22.227131,22.441039,22.683479,22.424004,22.555994,22.813716
