Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[$16$]fixed,byte[$16$]byte,bit[$16$]bit,fixed[$16$]byte,fixed[$16$]bit,byte[$16$]bit,fixed[F]8,fixed[$\ell$]8,byte[F]8,byte[$\ell$]8,bit[F]8,bit[$\ell$]8,fixed[$16$]fixed8,byte[$16$]byte8,bit[$16$]bit8,fixed[$16$]byte8,fixed[$16$]bit8,byte[$16$]bit8,fixed[F]16,fixed[$\ell$]16,byte[F]16,byte[$\ell$]16,bit[F]16,bit[$\ell$]16,fixed[$16$]fixed16,byte[$16$]byte16,bit[$16$]bit16,fixed[$16$]byte16,fixed[$16$]bit16,byte[$16$]bit16,fixed[F]32,fixed[$\ell$]32,byte[F]32,byte[$\ell$]32,bit[F]32,bit[$\ell$]32,fixed[$16$]fixed32,byte[$16$]byte32,bit[$16$]bit32,fixed[$16$]byte32,fixed[$16$]bit32,byte[$16$]bit32,fixed[F]64,fixed[$\ell$]64,byte[F]64,byte[$\ell$]64,bit[F]64,bit[$\ell$]64,fixed[$16$]fixed64,byte[$16$]byte64,bit[$16$]bit64,fixed[$16$]byte64,fixed[$16$]bit64,byte[$16$]bit64
640,1056.700000,721.300000,751.700000,8554.300000,769.200000,11989.800000,1013.000000,9172.900000,9031.500000,935.200000,1079.100000,11881.800000,802.500000,1025.200000,3350.400000,8484.800000,807.600000,8755.200000,1088.900000,7712.200000,5719.000000,872.000000,805.500000,5996.000000,606.400000,2410.700000,721.300000,5873.000000,725.000000,5559.600000,734.100000,6907.700000,5550.500000,827.100000,813.200000,5689.500000,586.600000,603.800000,715.200000,9974.700000,703.800000,9740.200000,739.700000,5556.200000,5556.200000,859.900000,781.400000,5584.600000,573.700000,577.500000,703.900000,5436.900000,696.300000,5421.500000,728.700000,5576.700000,5562.700000,865.800000,789.900000,5576.200000
1280,1235.450000,405.100000,382.200000,3870.900000,1048.200000,4091.050000,1019.300000,3743.350000,4763.700000,1192.000000,470.900000,3393.800000,922.250000,306.800000,373.200000,4212.800000,1062.200000,3336.000000,1248.200000,3383.550000,2838.300000,1161.150000,411.250000,3417.250000,921.250000,299.750000,354.400000,3365.900000,1091.650000,3357.050000,1099.800000,3365.850000,4153.850000,1177.950000,447.900000,3587.400000,1037.800000,343.700000,388.250000,3464.150000,1002.250000,3347.950000,983.650000,3405.350000,4107.100000,1140.600000,416.550000,3408.800000,1024.650000,339.000000,425.950000,3465.300000,1146.650000,3752.650000,1011.450000,3533.900000,4714.900000,1040.800000,412.350000,3362.300000
1920,330.733333,243.766667,261.800000,2402.433333,725.033333,2337.900000,677.400000,2299.966667,2752.500000,770.166667,274.200000,2864.266667,672.833333,214.500000,241.866667,2247.066667,230.366667,2231.500000,334.466667,1866.466667,1871.600000,279.800000,268.933333,1855.433333,199.533333,200.666667,239.566667,1815.866667,243.900000,1829.666667,247.066667,1844.100000,1852.733333,303.800000,298.000000,2683.166667,185.633333,201.866667,234.600000,2450.000000,241.433333,1849.800000,669.500000,2286.466667,2730.666667,742.466667,261.100000,2277.500000,683.833333,205.500000,236.366667,1871.266667,640.733333,2207.900000,644.033333,2253.833333,3296.866667,268.033333,267.400000,1850.633333
2560,286.225000,182.575000,192.500000,1499.000000,208.100000,1425.225000,194.575000,1440.600000,1415.050000,230.400000,224.950000,1729.350000,160.700000,164.100000,194.050000,1381.225000,498.900000,1732.700000,301.125000,1975.750000,1512.450000,215.425000,218.725000,1434.075000,157.250000,155.450000,176.600000,1400.725000,179.600000,1390.025000,196.925000,1412.275000,1410.600000,220.450000,207.950000,1391.850000,155.950000,154.275000,181.975000,1378.850000,175.750000,1431.625000,187.375000,1404.725000,1409.700000,214.675000,211.725000,1413.550000,160.875000,163.075000,192.575000,1386.975000,190.000000,1382.475000,196.175000,1721.525000,1395.400000,217.975000,206.725000,1394.475000
3200,197.180000,183.540000,176.380000,1707.760000,441.520000,2169.860000,175.920000,1404.940000,1128.720000,185.600000,169.040000,1420.560000,126.740000,124.020000,141.860000,1115.160000,434.700000,1357.940000,493.380000,1374.000000,1122.760000,186.580000,163.500000,1379.620000,137.700000,131.860000,138.820000,1100.840000,155.020000,1093.960000,440.000000,1363.280000,1132.300000,179.560000,162.100000,1119.760000,116.780000,121.860000,138.060000,1078.760000,148.940000,1080.220000,163.400000,1675.900000,1193.420000,183.360000,169.960000,1422.940000,126.840000,115.960000,138.460000,1395.540000,147.260000,1108.500000,157.160000,1135.080000,1119.120000,173.340000,155.980000,1120.540000
3840,158.500000,121.416667,134.733333,1275.333333,380.250000,1194.516667,375.200000,1225.866667,953.800000,158.366667,147.600000,1148.433333,108.750000,103.600000,122.233333,923.166667,126.816667,1174.850000,165.466667,1145.366667,955.016667,155.866667,139.833333,1228.600000,136.033333,107.816667,134.166667,1337.083333,131.900000,1196.500000,132.216667,1151.416667,944.033333,154.083333,140.200000,1148.116667,105.933333,102.916667,122.316667,921.550000,123.316667,916.500000,133.950000,947.133333,929.950000,143.683333,145.850000,1163.450000,107.333333,101.616667,133.166667,923.483333,125.833333,972.066667,127.600000,1140.600000,946.350000,146.216667,147.750000,1152.033333
4480,139.928571,105.657143,115.485714,861.685714,148.914286,1210.200000,119.171429,1094.800000,829.971429,129.300000,127.985714,989.057143,88.700000,88.442857,110.357143,798.414286,107.300000,786.542857,144.000000,800.314286,805.000000,132.542857,123.871429,817.457143,94.985714,93.757143,101.771429,980.128571,109.571429,784.342857,108.257143,799.185714,801.471429,129.157143,121.942857,796.857143,92.500000,90.314286,98.900000,1394.671429,112.514286,784.528571,112.128571,1152.785714,898.257143,130.928571,114.585714,824.428571,87.214286,85.914286,106.185714,799.500000,107.342857,840.300000,117.485714,809.428571,1354.885714,125.400000,127.585714,801.685714
5120,302.962500,107.087500,101.450000,900.512500,104.975000,729.725000,256.062500,868.837500,708.625000,116.737500,114.587500,708.675000,79.312500,74.875000,87.700000,845.137500,104.687500,705.650000,283.450000,864.637500,714.550000,157.125000,113.750000,1180.300000,89.312500,81.987500,90.137500,960.012500,95.725000,863.250000,96.712500,867.875000,713.275000,110.125000,104.375000,853.387500,78.100000,77.612500,88.750000,842.037500,94.675000,688.412500,102.475000,702.512500,695.587500,106.275000,97.400000,852.275000,76.362500,74.512500,85.112500,864.037500,99.887500,836.225000,100.025000,857.512500,704.400000,111.800000,104.725000,708.450000
5760,111.500000,99.922222,96.044444,1003.444444,96.211111,682.055556,95.322222,826.600000,654.977778,108.033333,106.300000,660.688889,71.900000,70.444444,82.900000,618.188889,84.700000,618.911111,115.966667,637.011111,635.266667,104.400000,97.355556,807.422222,74.455556,70.655556,82.322222,611.644444,244.244444,741.366667,243.222222,624.155556,628.088889,96.800000,95.411111,621.144444,67.077778,71.544444,81.677778,884.922222,86.911111,827.088889,93.188889,632.566667,622.444444,97.611111,93.355556,637.188889,100.788889,70.677778,86.888889,626.377778,249.400000,748.933333,244.577778,758.588889,914.677778,249.644444,86.600000,621.722222
6400,111.850000,72.920000,87.780000,714.970000,233.040000,578.560000,82.650000,702.220000,586.400000,97.460000,97.580000,567.010000,66.320000,63.060000,100.340000,800.250000,225.090000,764.710000,113.190000,709.880000,568.940000,94.250000,90.680000,573.570000,64.690000,63.720000,75.380000,556.250000,80.420000,551.920000,76.450000,681.790000,561.720000,88.220000,85.630000,563.640000,64.200000,62.420000,72.690000,548.710000,80.630000,550.430000,77.090000,690.550000,564.450000,90.630000,88.500000,562.650000,63.710000,67.260000,75.860000,577.520000,86.190000,746.440000,83.130000,733.500000,559.140000,115.750000,81.430000,565.300000
