Elements,fixed[F]holes,byte[F]holes,bit[F]holes,fixed[F]noholes,byte[F]noholes,bit[F]noholes
2400,43.526020,46.944760,51.596490,40.948020,44.553000,49.446610
2600,43.464470,46.966860,51.713640,40.979250,44.590900,49.696780
2800,43.390990,46.883330,51.438770,41.230530,44.513290,49.418230
3000,43.453180,46.752580,51.461850,40.992800,44.423150,49.561280
3200,43.526740,47.121740,51.544830,41.434260,44.574250,50.019310
3400,43.559100,47.068910,51.443300,40.915550,44.479580,49.812860
3600,43.424580,46.888020,51.462900,41.407180,45.038290,49.375870
3800,43.388830,46.883460,51.548870,40.899360,44.458920,49.325080
4000,43.354730,46.724840,51.305310,40.904030,44.780540,49.517140
4200,44.050020,47.817660,52.681390,41.633160,45.711630,50.451700
4400,44.053470,48.157780,52.658980,41.409300,45.425420,50.465500
4600,44.130470,47.591690,52.463160,41.701420,45.354450,50.491420
4800,43.963530,47.599040,52.500810,41.383770,45.482490,50.375770
5000,43.945610,47.488250,52.484960,41.351940,45.208370,50.469420
5200,44.036500,47.638460,52.358420,41.572230,45.582260,50.386230
5400,44.017430,47.833130,52.669260,41.325490,45.134240,50.292030
5600,43.952920,47.458690,52.310400,41.392700,45.173430,50.572620
5800,44.209310,47.629980,53.844360,41.358340,45.209450,50.283970
6000,43.919440,47.466990,52.242220,41.509010,45.049800,50.292740
6200,44.043010,47.817900,52.508110,41.571630,45.320830,50.543250
6400,44.076570,47.629620,52.388400,41.223010,45.255050,50.588940
6600,44.004440,47.592200,52.492700,41.351420,45.225110,50.248100
6800,43.901040,47.531810,52.338800,41.229340,45.299830,50.583500
7000,44.227680,47.665950,52.553930,41.530930,45.246050,50.243520
7200,43.905260,47.637170,52.275480,41.498300,45.215930,50.434420
7400,43.937720,47.484080,52.440000,41.235580,45.307660,50.156230
7600,43.872640,47.529010,52.179010,41.493720,45.447190,50.248880
7800,44.342200,47.446750,52.251320,41.313490,45.191890,50.420170
8000,43.856510,48.175800,52.499920,41.438530,45.355920,50.035350
8200,46.269980,49.463200,53.813160,42.064510,46.186140,51.595400
8400,44.863960,49.274040,55.102580,41.969960,46.522330,52.023120
8600,44.195040,48.257680,53.159920,42.077960,46.292790,51.325040
8800,44.220910,48.184720,53.098730,41.824810,46.274620,51.368150
9000,44.616720,48.198800,53.034210,41.856280,46.472390,51.675120
9200,44.729160,48.931020,53.518880,41.647560,45.990530,51.176070
9400,44.258870,48.135820,53.128850,41.682340,46.005560,51.173610
9600,44.824850,48.719470,53.526220,41.721320,45.919100,51.327480
9800,44.714900,48.589710,53.414540,41.896900,46.010760,51.098330
10000,44.997540,48.501870,53.535920,41.751200,45.887050,50.949810
13000,44.392620,48.525500,53.349040,42.005920,45.932450,50.956790
16000,44.634790,48.202640,53.491780,41.937420,45.999980,50.923540
19000,44.671600,49.088960,54.938700,42.097820,46.713150,52.481980
22000,44.959190,48.979940,54.043430,42.201280,46.664630,52.145840
25000,45.004470,49.252500,54.129360,42.291330,46.767490,51.735980
28000,44.913880,49.090420,54.035420,42.048370,46.680160,52.295730
31000,44.844990,48.841350,54.003100,42.278860,46.374160,52.082580
34000,45.713810,49.933710,55.148440,43.204250,47.915080,53.133920
37000,45.477030,49.943060,54.949740,42.630660,47.594600,52.984570
40000,45.492350,49.761820,55.261740,42.683850,47.137510,53.235180
43000,45.457820,50.061910,54.791450,42.593540,47.175320,52.752360
46000,45.142120,49.453210,55.232310,42.656300,47.978140,52.687980
49000,45.422860,49.472960,54.746660,42.791480,47.371990,53.071980
52000,45.239400,49.531640,54.870840,42.811000,47.467350,53.472790
55000,45.603610,49.761290,56.490690,43.029840,48.110980,53.304810
58000,45.900440,49.683100,54.996340,42.870000,47.586950,52.949910
61000,45.687310,49.990690,55.055760,42.843600,47.150280,53.171730
64000,45.143030,49.533340,54.952360,42.426600,47.228250,52.869700
67000,46.294280,50.763830,56.703030,43.401280,48.232780,54.311200
70000,46.912780,50.667700,56.595730,43.263600,48.462010,54.262250
73000,45.908130,50.719950,56.162000,43.270140,48.014360,54.073760
76000,45.692490,50.549180,56.201290,43.615730,48.008620,54.354590
79000,45.742980,50.494500,56.146230,44.153520,47.929200,54.159260
82000,45.806740,50.628090,56.286280,43.604240,49.004840,54.059590
85000,45.815570,50.728400,56.335350,43.192430,48.107920,54.936040
88000,46.489790,53.162820,56.815690,43.206580,47.759440,53.871440
91000,46.156760,50.922100,56.601850,43.196710,47.881380,53.797160
94000,46.153060,50.829240,56.571940,43.035900,47.852370,53.917440
97000,46.151520,50.844430,56.619990,42.966340,47.854660,53.844380
100000,45.909810,50.862790,56.625520,43.187280,50.599430,54.046170
140000,47.049470,52.963730,58.237330,43.643330,48.701240,55.389490
180000,46.236200,51.562670,57.521450,43.519030,48.788810,54.951550
220000,47.385040,51.801880,57.782690,44.078180,48.624090,55.077480
260000,46.771920,51.662220,60.575520,43.853040,48.592550,54.891780
300000,47.091840,53.218580,59.573630,45.613550,49.831790,56.401810
340000,49.969510,53.257130,59.227390,46.095920,49.677730,56.296580
380000,50.395840,52.762320,58.979510,48.038200,49.342160,56.140430
420000,55.227040,53.592350,59.629050,50.813300,49.603450,56.870790
460000,54.034420,53.998230,59.545690,52.513080,49.670610,57.329580
500000,58.626880,53.569000,59.641670,55.052230,50.825890,57.074350
540000,63.080970,56.054330,62.208020,60.174520,51.401060,59.226650
580000,68.375890,56.139590,62.110770,65.132140,52.305010,59.187770
620000,72.380130,55.800790,61.724510,69.362850,53.110800,59.748310
660000,76.476450,56.803790,62.804000,74.202040,55.222020,61.577710
700000,79.905120,59.106050,64.709360,78.564560,55.290110,62.255610
740000,82.808780,61.328490,66.676960,81.848770,56.831740,63.726360
780000,85.195290,62.836020,68.097480,84.000100,57.818790,64.222080
820000,87.948890,63.412170,68.853610,88.461190,59.252010,66.266810
860000,89.976300,65.751310,70.200500,90.302660,61.648070,67.481260
900000,90.987830,67.130630,72.104460,93.041140,63.379310,68.932730
940000,93.453810,69.556520,74.701980,94.357870,65.889800,70.086170
980000,94.182860,71.555890,74.490190,96.062980,65.792430,71.560640
1000000,94.589380,72.035100,76.402780,98.048140,66.031480,72.481860
1500000,105.093380,91.493280,95.181400,113.971720,86.504640,92.068000
2000000,109.805250,101.288260,107.253240,123.493580,95.720890,103.398900
2500000,113.491430,108.893520,114.670470,127.981190,105.011170,111.521180
3000000,115.377450,113.023300,118.390170,134.835820,108.218040,115.521400
3500000,117.039400,116.849240,121.480530,136.143760,112.253700,118.766230
4000000,117.467830,118.723200,124.876010,139.025390,114.718500,121.087850
4500000,119.991060,122.995890,127.524810,141.580130,117.890070,125.973510
5000000,121.520900,124.562780,129.996630,144.060010,119.683200,126.525120
5500000,121.136540,126.489300,131.790540,144.268230,120.580650,127.490590
6000000,121.835450,127.149650,131.303790,146.123230,121.444610,129.234610
6500000,122.468400,128.825690,133.202180,148.144650,122.833710,130.582870
7000000,122.257740,130.052340,133.720330,148.815340,124.149490,132.033950
7500000,122.858480,129.783650,134.383210,147.590860,124.991160,135.696970
8000000,123.298610,131.033200,136.245140,149.983480,125.796560,133.502560
8500000,124.981960,133.919300,138.427340,154.696940,128.591900,140.034400
9000000,125.078340,133.719980,138.229790,153.696200,128.567360,140.012980
9500000,125.241160,134.853790,139.162820,154.830100,130.213340,140.443470
10000000,125.481070,134.998800,139.959020,153.758270,128.936100,140.332050
16000000,127.824740,138.840730,143.977860,164.668550,133.325520,156.340740
22000000,129.949260,142.774280,148.057340,169.679720,137.337720,172.592460
28000000,131.768010,144.323200,149.611130,173.342870,139.170840,178.290570
34000000,133.953630,147.312580,153.681230,182.219130,142.039680,184.877190
40000000,136.116360,148.249490,154.065150,183.616250,143.590830,188.999080
46000000,135.937050,150.631590,155.845480,187.125500,143.595850,191.120200
52000000,139.130930,152.058040,158.228030,186.521420,145.791430,193.910570
58000000,140.009380,153.147730,159.454970,188.133610,147.434520,193.800880
64000000,142.024020,154.507980,161.005940,190.132050,149.068030,196.519160
70000000,146.712090,158.968670,165.601910,195.994770,153.299720,207.085710
76000000,148.643290,161.474560,168.755130,198.503260,155.828280,206.249840
82000000,150.329240,162.879690,169.961850,199.840460,157.711820,206.441020
88000000,153.959430,164.861300,172.570320,200.002210,159.291440,209.957350
94000000,155.554020,167.056050,175.257260,202.509270,160.981520,210.443690
100000000,158.309040,168.504680,176.311820,202.081570,165.004260,210.656120
170000000,178.163090,188.623650,198.293220,224.253750,182.580440,228.462070
240000000,187.224710,198.294770,208.771230,237.461370,192.289470,242.235910
310000000,193.959370,206.753750,219.338880,246.201180,200.460490,253.487710
380000000,197.463990,209.934100,222.821390,255.172490,203.971760,260.946810
450000000,199.661750,214.432890,226.788750,261.728280,207.048700,264.999730
520000000,201.253730,216.012170,228.662270,266.727820,210.439020,269.983610
590000000,203.905640,220.137930,233.021190,272.310300,212.061260,275.891140
660000000,204.725590,220.674350,234.947630,276.929630,214.706640,284.031880
730000000,206.405940,223.370040,237.904790,276.240140,216.519100,285.384310
800000000,205.450960,222.760450,237.739470,278.536150,216.509510,286.727060
870000000,208.500670,226.620480,240.979420,279.144350,218.437530,288.652250
940000000,206.705310,224.766150,240.401950,281.043780,219.272960,290.534810
1000000000,207.012540,225.942080,242.641300,285.059870,220.121940,296.117700
1800000000,213.117010,233.476260,252.116720,294.214720,225.392920,307.471450
2600000000,218.561740,240.293050,260.638240,303.052060,234.045390,322.132130
3400000000,219.379070,239.558840,263.239840,305.802340,235.827780,325.692830
