Elements,fixed[F]holes,byte[F]holes,bit[F]holes
100,5.177500,5.177500,5.177500
110,4.706818,4.706818,4.706818
120,4.314583,4.314583,4.314583
130,3.982692,3.982692,3.982692
140,3.698214,3.698214,3.698214
150,3.451667,3.451667,3.451667
160,3.235937,3.235937,3.235937
170,3.045588,3.045588,3.045588
180,2.876389,2.876389,2.876389
190,2.725000,2.725000,2.725000
200,2.588750,2.588750,2.588750
210,2.465476,2.465476,2.465476
220,2.353409,2.353409,2.353409
230,2.251087,2.251087,2.251087
240,2.157292,2.157292,2.157292
250,2.071000,2.071000,2.071000
260,1.991346,1.991346,1.991346
270,1.917593,1.917593,1.917593
280,1.849107,1.849107,1.849107
290,1.785345,1.785345,1.785345
300,1.725833,1.725833,1.725833
310,1.670161,1.670161,1.670161
320,1.617969,1.617969,1.617969
330,1.568939,1.568939,1.568939
340,1.522794,1.522794,1.522794
350,1.479286,1.479286,1.479286
360,1.438194,1.438194,1.438194
370,1.399324,1.399324,1.399324
380,1.362500,1.362500,1.362500
390,1.327564,1.327564,1.327564
400,1.294375,1.294375,1.294375
410,1.262805,1.262805,1.262805
420,1.232738,1.232738,1.232738
430,1.204070,1.204070,1.204070
440,1.176705,1.176705,1.176705
450,1.150556,1.150556,1.150556
460,1.125543,1.125543,1.125543
470,1.101596,1.101596,1.101596
480,1.078646,1.078646,1.078646
490,1.056633,1.056633,1.056633
500,1.035500,1.035500,1.035500
510,1.015196,1.015196,1.015196
520,1.980288,0.995673,0.995673
530,1.942925,0.976887,0.976887
540,1.906944,0.958796,0.958796
550,1.872273,0.941364,0.941364
560,1.838839,0.924554,0.924554
570,1.806579,0.908333,0.908333
580,1.775431,0.892672,0.892672
590,1.745339,0.877542,0.877542
600,1.716250,0.862917,0.862917
610,1.688115,0.848770,0.848770
620,1.660887,0.835081,0.835081
630,1.634524,0.821825,0.821825
640,1.608984,0.808984,0.808984
650,1.584231,0.796538,0.796538
660,1.560227,0.784470,0.784470
670,1.536940,0.772761,0.772761
680,1.514338,0.761397,0.761397
690,1.492391,0.750362,0.750362
700,1.471071,0.739643,0.739643
710,1.450352,0.729225,0.729225
720,1.430208,0.719097,0.719097
730,1.410616,0.709247,0.709247
740,1.391554,0.699662,0.699662
750,1.373000,0.690333,0.690333
760,1.354934,0.681250,0.681250
770,1.337338,0.672403,0.672403
780,1.320192,0.663782,0.663782
790,1.303481,0.655380,0.655380
800,1.287187,0.647188,0.647188
810,1.271296,0.639198,0.639198
820,1.255793,0.631402,0.631402
830,1.240663,0.623795,0.623795
840,1.225893,0.616369,0.616369
850,1.211471,0.609118,0.609118
860,1.197384,0.602035,0.602035
870,1.183621,0.595115,0.595115
880,1.170170,0.588352,0.588352
890,1.157022,0.581742,0.581742
900,1.144167,0.575278,0.575278
910,1.131593,0.568956,0.568956
920,1.119293,0.562772,0.562772
930,1.107258,0.556720,0.556720
940,1.095479,0.550798,0.550798
950,1.083947,0.545000,0.545000
960,1.072656,0.539323,0.539323
970,1.061598,0.533763,0.533763
980,1.050765,0.528316,0.528316
990,1.040152,0.522980,0.522980
1000,1.029750,0.517750,0.517750
1200,1.284792,0.431458,0.431458
1400,1.101250,0.369821,0.369821
1600,1.283594,0.323594,0.323594
1800,1.140972,0.287639,0.287639
2000,1.026875,0.258875,0.258875
2200,1.166250,0.235341,0.235341
2400,1.069063,0.215729,0.215729
2600,1.183750,0.199135,0.199135
2800,1.099196,0.184911,0.184911
3000,1.025917,0.172583,0.172583
3200,1.121797,0.161797,0.161797
3400,1.055809,0.302868,0.152279
3600,1.139375,0.286042,0.143819
3800,1.079408,0.270987,0.136250
4000,1.025438,0.257437,0.129438
4200,1.098512,0.245179,0.245179
4400,1.048580,0.234034,0.234034
4600,1.002989,0.223859,0.223859
4800,1.067865,0.214531,0.214531
5000,1.025150,0.205950,0.205950
5200,1.084183,0.198029,0.198029
5400,1.044028,0.190694,0.190694
5600,1.006741,0.183884,0.183884
5800,1.060302,0.177543,0.177543
6000,1.024958,0.171625,0.171625
6200,1.074476,0.166089,0.166089
6400,1.040898,0.160898,0.160898
6600,1.009356,0.233598,0.156023
6800,1.054963,0.226728,0.151434
7000,1.024821,0.220250,0.147107
7200,1.067465,0.214132,0.143021
7400,1.038615,0.208345,0.139155
7600,1.011283,0.202862,0.135493
7800,1.050994,0.197660,0.132019
8000,1.024719,0.192719,0.128719
8200,1.062165,0.188018,0.188018
8400,1.036875,0.183542,0.183542
8600,1.012762,0.179273,0.179273
8800,1.047926,0.175199,0.175199
9000,1.024639,0.171306,0.171306
9200,1.002364,0.167582,0.167582
9400,1.035505,0.164016,0.164016
9600,1.013932,0.160599,0.160599
9800,1.045485,0.209566,0.157321
10000,1.024575,0.205375,0.154175
13000,1.024442,0.157981,0.157981
16000,1.024359,0.160359,0.128359
19000,1.024303,0.161987,0.135039
22000,1.000989,0.163170,0.139898
25000,1.003750,0.164070,0.143590
28000,1.005920,0.164777,0.128205
31000,1.007669,0.165347,0.132315
34000,1.009110,0.165816,0.135699
37000,1.010318,0.166209,0.138534
40000,1.011344,0.166544,0.128144
43000,1.000320,0.166831,0.131110
46000,1.001864,0.167082,0.133690
49000,1.003219,0.167301,0.125505
52000,1.004418,0.157649,0.128111
55000,1.005486,0.158359,0.130432
58000,1.006444,0.158996,0.132513
61000,1.007307,0.159570,0.125996
64000,1.008090,0.160090,0.128090
67000,1.001160,0.160563,0.129996
70000,1.002139,0.160996,0.131739
73000,1.003038,0.161394,0.126325
76000,1.003865,0.161760,0.128076
79000,1.004630,0.162098,0.129693
82000,1.005338,0.162412,0.131192
