Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[$16$]fixed,byte[$16$]byte,bit[$16$]bit,fixed[$16$]byte,fixed[$16$]bit,byte[$16$]bit,fixed[F]8,fixed[$\ell$]8,byte[F]8,byte[$\ell$]8,bit[F]8,bit[$\ell$]8,fixed[$16$]fixed8,byte[$16$]byte8,bit[$16$]bit8,fixed[$16$]byte8,fixed[$16$]bit8,byte[$16$]bit8,fixed[F]16,fixed[$\ell$]16,byte[F]16,byte[$\ell$]16,bit[F]16,bit[$\ell$]16,fixed[$16$]fixed16,byte[$16$]byte16,bit[$16$]bit16,fixed[$16$]byte16,fixed[$16$]bit16,byte[$16$]bit16,fixed[F]32,fixed[$\ell$]32,byte[F]32,byte[$\ell$]32,bit[F]32,bit[$\ell$]32,fixed[$16$]fixed32,byte[$16$]byte32,bit[$16$]bit32,fixed[$16$]byte32,fixed[$16$]bit32,byte[$16$]bit32,fixed[F]64,fixed[$\ell$]64,byte[F]64,byte[$\ell$]64,bit[F]64,bit[$\ell$]64,fixed[$16$]fixed64,byte[$16$]byte64,bit[$16$]bit64,fixed[$16$]byte64,fixed[$16$]bit64,byte[$16$]bit64,Prezza
640,37.290742,36.169089,37.502060,37.156751,39.015548,37.953398,37.595703,40.996613,42.721800,41.544799,42.593494,42.308982,31.855638,32.031129,32.430139,33.366057,34.464467,33.664724,33.294106,35.604816,36.705346,35.958521,36.370999,36.731264,30.957113,31.301522,30.989591,32.786177,32.430549,32.759364,33.077481,34.536972,35.275408,34.397856,35.437658,35.188797,30.902142,31.647166,31.115070,32.723166,31.779629,32.314122,32.921319,34.578486,35.036023,34.289313,34.820197,34.921052,30.919956,31.535435,30.971719,33.251278,31.401891,32.613230,32.937766,34.448903,34.974266,34.279929,34.960831,35.124366,240.996685
1280,41.552319,40.177421,42.071638,41.716317,44.252934,42.693381,41.574436,45.735652,47.978555,45.812664,47.816929,47.900588,35.559919,36.277972,36.300104,37.198436,38.452844,37.498474,37.218381,39.382848,41.379443,39.688894,40.371015,40.635163,34.761418,34.713482,35.900216,36.087325,37.448013,35.986537,36.951803,39.291044,40.081011,39.358582,40.222355,40.017192,34.231461,35.702073,34.578335,36.632233,35.727897,36.336654,37.093513,38.634527,38.950275,38.125356,38.652387,38.542979,34.442437,35.626217,34.595451,37.304080,35.000332,36.306411,37.013424,38.159572,39.044483,38.131540,38.986820,39.184393,254.898208
1920,44.662670,43.251200,45.285157,45.002340,47.786341,46.097131,44.560536,49.260445,51.349330,49.114652,51.271493,51.371087,38.656422,39.577523,40.496330,40.804732,43.002764,41.063208,40.840515,43.477673,45.420094,43.719733,45.193767,45.421353,37.631525,37.728949,38.504334,38.936338,40.312686,38.585051,39.730907,42.120702,43.003736,42.114137,43.212469,42.834840,37.292364,38.528131,37.652289,39.418760,38.687463,39.242135,40.023384,41.574029,41.962112,41.053454,41.520596,41.550200,37.631968,38.526440,37.633883,40.329733,37.931430,39.243640,40.057596,41.003130,42.132475,41.175815,42.020154,42.278947,264.656313
2560,47.092275,44.687479,47.443417,46.601187,49.831662,47.832386,46.784188,51.116747,53.620047,51.136189,53.624910,53.642793,39.247888,40.131224,41.063190,41.524668,43.444245,41.543083,41.561949,44.105191,45.923612,44.425470,45.745149,45.897991,38.298227,38.686031,39.225309,39.756708,40.924807,39.664200,40.227087,42.693730,43.617459,42.783375,44.258531,43.475643,39.200855,40.283339,40.145932,40.656716,41.823676,40.873915,41.456886,43.276627,44.873542,43.672677,44.415921,44.748962,40.718437,41.564353,40.811952,43.309832,40.960222,42.326345,42.887972,43.936458,45.162510,44.028121,45.013194,45.052349,270.544158
3200,48.604351,46.090228,49.625254,48.249412,51.473212,49.397776,48.539364,53.012459,55.220752,52.885229,55.257203,55.268800,40.666901,41.647515,42.527746,43.166782,45.159386,43.624449,42.843186,45.680813,47.599411,46.142667,47.343325,47.734156,40.082031,40.582058,41.598880,41.747669,43.859657,41.649636,42.393714,45.702951,46.596442,45.246592,46.943998,46.615250,40.543884,41.931773,41.724482,41.927163,43.090008,42.178167,42.754669,44.686321,46.445441,44.990683,45.842265,46.239152,43.860386,44.487125,43.986418,46.228738,44.148657,45.415730,45.826081,46.998008,48.062379,46.960560,47.926624,47.841684,278.710230
3840,50.644514,47.866095,51.629546,50.363888,53.539939,51.425980,50.593163,55.190213,57.075658,55.073795,57.103229,57.070403,42.493927,43.534053,45.324111,45.333709,48.142488,45.836077,45.063646,48.670748,50.844838,48.790349,50.719494,50.716476,41.549521,42.316525,43.167447,43.486239,45.446224,43.393702,43.978138,46.948302,48.261773,46.882790,48.576102,48.319815,42.275403,43.121623,43.312963,43.543226,44.846775,43.832044,44.584432,46.537704,48.590759,46.853722,47.654407,47.883075,46.951774,47.667369,47.098558,49.307113,47.328548,48.439019,48.796433,49.915727,51.031908,49.945899,50.907731,50.748022,287.788030
4480,52.637261,49.914638,53.827822,51.651003,55.993747,53.562812,52.407325,57.005964,59.398590,56.790525,59.231893,59.173285,42.653822,43.697872,45.267381,45.707432,48.177245,45.947525,46.043803,48.754556,50.969063,48.899196,50.825311,50.969781,41.853499,42.481187,43.497868,43.837606,45.568546,43.686338,44.326374,47.500689,48.636439,47.387760,48.849889,48.661301,42.818713,43.620582,43.734053,44.549068,45.212964,44.679889,44.946703,46.832586,49.034739,47.240391,47.892371,48.214142,48.253822,48.616642,49.496435,49.902178,50.124124,49.934456,51.305205,52.304462,53.578305,52.346054,54.095895,53.555950,294.963371
5120,53.283915,51.138085,54.722203,52.428138,56.616595,53.698159,53.164685,57.626388,60.182070,57.435699,60.136864,59.993503,43.107075,44.203693,45.685274,45.942567,48.552149,46.424283,45.849584,49.359535,51.546674,49.528913,51.345604,51.521637,42.605694,43.014325,43.883375,44.333864,46.130038,44.175036,44.776529,47.807199,49.335056,47.930157,49.606527,49.342452,43.057059,43.888154,43.957343,44.830080,45.456018,45.009137,45.216919,47.170862,49.181219,47.560263,48.211917,48.615360,47.502836,47.962559,48.722304,49.075270,49.390997,49.153539,50.435724,51.628524,52.825396,51.593107,52.963773,53.033659,302.206124
5760,54.107852,51.819139,55.190650,53.216938,57.157359,54.090719,54.075534,58.168883,60.916339,58.045188,60.884145,60.760129,43.817680,45.411575,46.524829,46.732337,49.586413,47.351139,46.641494,50.146700,52.616437,50.423238,52.395420,52.539154,43.224995,43.972143,44.696197,45.234749,46.966570,45.116852,45.576064,48.632120,50.260634,48.707480,50.588116,50.113611,43.933110,44.830380,44.876774,45.791515,46.305929,45.938567,46.129021,48.226619,50.126192,48.729182,49.269260,49.517348,47.776035,48.195010,48.933379,49.522255,50.118923,49.420436,50.967988,51.878809,53.341660,51.904422,53.448112,53.409376,313.057569
6400,54.935457,52.595571,56.365647,54.239321,58.670548,55.343230,54.749146,59.450114,62.308229,59.274621,62.321693,62.193014,44.615829,45.937695,47.420014,47.481882,50.300205,48.214190,47.426960,50.844395,53.352060,51.251316,53.193258,53.348073,43.848836,44.459052,45.472262,45.964852,47.946027,46.132634,46.244984,49.368216,51.042344,49.450061,51.442241,51.049443,45.117241,45.980640,46.905266,47.144837,48.799135,47.643791,47.699200,50.369723,52.667750,51.175427,51.724089,52.020908,48.992293,49.418088,50.116780,50.823738,51.082287,50.621868,52.329906,53.176872,54.684320,53.317494,54.687785,54.805176,331.526574
12800,60.585031,58.254147,62.360150,60.574197,66.273562,62.615547,60.598954,66.110716,70.139442,66.031368,70.115094,69.969281,48.394084,50.133463,52.704759,52.263644,55.700489,53.229309,51.818351,55.899195,58.950635,56.131945,58.557231,58.921567,47.911477,48.826513,50.333524,50.577790,53.139391,50.846755,50.788162,54.500136,56.672112,54.713204,57.181638,56.636413,48.684771,50.167231,50.379649,51.269965,52.719242,51.732919,51.409081,54.281699,56.752798,54.931210,55.719707,55.796494,54.908669,55.098853,56.674656,56.224580,57.671221,57.094128,57.653533,60.112014,61.561662,60.192331,61.447650,61.486959,420.660246
