Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[$16$]fixed,byte[$16$]byte,bit[$16$]bit,fixed[$16$]byte,fixed[$16$]bit,byte[$16$]bit,fixed[F]8,fixed[$\ell$]8,byte[F]8,byte[$\ell$]8,bit[F]8,bit[$\ell$]8,fixed[$16$]fixed8,byte[$16$]byte8,bit[$16$]bit8,fixed[$16$]byte8,fixed[$16$]bit8,byte[$16$]bit8,fixed[F]16,fixed[$\ell$]16,byte[F]16,byte[$\ell$]16,bit[F]16,bit[$\ell$]16,fixed[$16$]fixed16,byte[$16$]byte16,bit[$16$]bit16,fixed[$16$]byte16,fixed[$16$]bit16,byte[$16$]bit16,fixed[F]32,fixed[$\ell$]32,byte[F]32,byte[$\ell$]32,bit[F]32,bit[$\ell$]32,fixed[$16$]fixed32,byte[$16$]byte32,bit[$16$]bit32,fixed[$16$]byte32,fixed[$16$]bit32,byte[$16$]bit32,fixed[F]64,fixed[$\ell$]64,byte[F]64,byte[$\ell$]64,bit[F]64,bit[$\ell$]64,fixed[$16$]fixed64,byte[$16$]byte64,bit[$16$]bit64,fixed[$16$]byte64,fixed[$16$]bit64,byte[$16$]bit64,Prezza
640,16.196134,16.311533,16.236469,16.239912,16.714844,16.372643,17.959089,17.676704,18.692608,18.315407,17.712020,17.588812,16.261969,16.235982,16.237545,16.228928,16.486528,16.458284,18.009271,17.973991,18.740644,17.982612,18.867149,18.731109,16.358845,16.246916,16.360192,16.264288,16.467152,16.435190,17.895301,17.789198,19.138761,17.804568,18.805260,18.935823,16.362402,16.251393,16.375297,16.252952,16.454116,16.442746,17.887725,17.769327,18.884231,17.786168,18.813934,19.044816,16.358955,16.247231,16.369166,16.256428,16.459114,16.477495,17.881581,17.950468,18.807110,17.777876,18.774349,18.890739,31.014465
1280,16.051491,16.125216,16.089650,16.046059,16.472483,16.255409,17.740911,17.482185,18.195999,17.671410,17.640467,17.504265,16.237433,16.222944,16.246401,16.217195,16.468688,16.452201,18.025991,17.974725,19.232065,17.973945,18.927606,18.738603,16.400704,16.273893,16.381771,16.288977,16.456958,16.458677,17.886012,17.785240,18.958878,17.781405,18.757689,19.183350,16.360740,16.222913,16.378441,16.263815,16.445861,16.449895,17.868288,17.796550,18.874270,17.805779,18.815624,18.902920,16.369242,16.251688,16.372595,16.276325,16.453102,16.449537,17.879017,17.804637,18.970434,17.827102,18.828761,18.906583,32.864137
1920,16.072951,16.079752,16.045775,16.057574,16.472449,16.229732,17.730132,17.673198,18.177011,17.639805,17.676796,17.497269,16.231366,16.222095,16.229751,16.227609,16.465532,16.461661,17.975715,17.979909,18.722979,17.989433,18.838532,18.746336,16.372349,16.247173,16.384776,16.267176,16.463146,16.467283,17.907757,17.795309,19.149776,17.903094,18.803043,19.090716,16.359536,16.237500,16.366029,16.276755,16.470144,16.456608,17.908998,17.801705,19.096010,17.808492,18.828463,18.913773,16.367090,16.240876,16.381854,16.329979,16.458748,16.472539,17.892080,17.800845,19.000547,17.803411,18.810326,19.114909,33.347671
2560,16.073376,16.080929,16.045904,16.052525,16.498960,16.239751,17.765437,17.516965,18.191173,17.679671,17.661077,17.493284,16.240359,16.232176,16.243613,16.210020,16.464180,16.451788,17.998820,18.011615,18.749866,17.983037,18.982222,18.751187,16.398107,16.244291,16.382057,16.281209,16.458896,16.456874,17.891395,17.783774,19.068112,17.789930,19.054213,19.124371,16.366083,16.242790,16.369610,16.277677,16.474724,16.442438,17.893498,17.928667,18.892951,17.918743,18.807571,19.213661,16.355220,16.241374,16.371626,16.260913,16.463200,16.459452,17.881114,17.806755,18.999764,17.821156,18.776559,19.102351,33.977175
3200,16.057315,16.070278,16.026284,16.053457,16.506341,16.230961,17.723419,17.496920,18.202379,17.767321,17.664287,17.498715,16.233446,16.226833,16.286964,16.213157,16.701482,16.467468,18.042321,18.005449,18.704277,17.958110,18.849322,18.747046,16.386902,16.237141,16.354110,16.260213,16.470623,16.457262,17.883948,17.784289,19.095115,17.813428,18.789896,18.843355,16.350536,16.232155,16.359024,16.277780,16.456766,16.450328,17.884855,17.780507,18.948856,17.775500,18.839399,18.807911,16.433711,16.228942,16.353281,16.255376,16.457875,16.469941,17.885305,17.797168,19.068129,17.799850,19.025915,19.133036,34.606750
3840,16.048903,16.065258,16.027712,16.042152,16.451751,16.211618,17.710778,17.498704,18.186100,17.729814,17.653868,17.493293,16.222938,16.228363,16.239933,16.212467,16.446474,16.448327,17.989753,18.031699,18.673856,17.958384,18.876301,18.657862,16.350273,16.244459,16.378117,16.258418,16.448282,16.438137,17.923750,17.789545,19.204756,17.776345,18.765378,18.852379,16.347377,16.223598,16.432911,16.255698,16.429029,16.443087,17.875391,17.787623,18.989347,17.772373,18.761073,18.848159,16.338945,16.241763,16.360715,16.260202,16.470244,16.448104,17.864130,17.779428,19.016057,17.787576,18.760533,19.098123,35.601369
4480,17.260812,17.096362,17.100139,17.240043,17.507371,17.475520,18.705823,18.537323,19.205706,18.629782,18.732447,18.524895,17.323705,17.241572,17.349825,17.476748,17.550940,17.515107,19.089809,19.054651,19.670758,18.876677,19.564053,19.701468,17.453679,17.295070,17.474283,17.335873,17.430192,17.473104,18.902594,18.835760,19.762603,18.868124,19.755445,20.332656,17.513499,17.318578,17.471701,17.340588,17.406193,17.466701,18.830662,18.812845,19.771635,18.841696,19.619405,19.871006,17.391785,17.282438,17.439981,17.436404,17.480842,17.533225,18.906417,18.838881,19.566196,18.892806,19.939323,19.739955,36.365756
5120,18.659106,18.434258,18.591686,18.696115,18.942563,19.163548,19.966434,19.899151,20.514676,20.002837,20.131557,19.925928,18.794531,18.614644,18.756406,18.892660,19.009224,18.917988,20.456694,20.375242,20.878525,20.223457,20.829498,20.920890,18.867124,18.796548,18.915745,18.869503,18.819698,18.944067,20.246181,20.258199,20.882376,20.379586,21.424532,21.945074,18.946357,18.837803,18.924964,18.831246,18.793142,18.866888,20.214494,20.243557,20.874346,20.220263,20.715914,20.935213,18.853798,18.679496,18.907849,18.849810,18.899813,18.974979,20.175719,20.235042,20.619433,20.386387,21.085641,20.731026,37.237938
5760,19.891306,19.570978,19.903883,19.983476,20.254376,20.576205,21.160050,21.139599,21.662621,21.267038,21.412218,21.267117,20.013768,19.956031,19.974448,20.126153,20.244648,20.207733,21.557744,21.533350,22.041371,21.344076,21.815920,21.964754,20.163355,20.082883,20.183102,20.157132,20.062213,20.202302,21.524443,21.417941,21.940813,21.503275,22.709832,22.836038,20.219958,19.990380,20.233683,20.071241,20.046897,20.138355,21.384920,21.480437,21.917143,21.357463,21.776918,22.023645,20.125321,19.962325,20.200085,20.133371,20.180924,20.151570,21.310067,21.400944,21.707271,21.571424,22.127030,21.995845,38.248157
6400,20.874456,20.521755,20.954182,21.050440,21.243772,21.651541,22.115515,22.097564,22.588796,22.286263,22.536163,22.286199,21.057181,20.725915,21.018606,21.114355,21.295323,21.231138,22.426128,22.471712,22.903099,22.291326,22.718494,22.925003,21.183866,21.064442,21.212381,21.321834,21.028536,21.198366,22.402264,22.369240,22.703335,22.456060,23.371164,23.377175,21.246481,21.046557,21.253204,21.083616,21.114460,21.157672,22.296090,22.486660,22.671266,22.308104,22.647702,22.857997,21.100619,21.033394,21.253194,21.126179,21.123172,21.065192,22.218983,22.437863,22.597864,22.531261,22.970028,22.740957,38.847193
