Elements,fixed[F]1,fixed[$\ell$]1,byte[F]1,byte[$\ell$]1,bit[F]1,bit[$\ell$]1,fixed[26]byte1,fixed[26]bit1,fixed[32]byte1,fixed[32]bit1,fixed[F]8,fixed[$\ell$]8,byte[F]8,byte[$\ell$]8,bit[F]8,bit[$\ell$]8,fixed[26]byte8,fixed[26]bit8,fixed[32]byte8,fixed[32]bit8,fixed[F]16,fixed[$\ell$]16,byte[F]16,byte[$\ell$]16,bit[F]16,bit[$\ell$]16,fixed[26]byte16,fixed[26]bit16,fixed[32]byte16,fixed[32]bit16,fixed[F]24,fixed[$\ell$]24,byte[F]24,byte[$\ell$]24,bit[F]24,bit[$\ell$]24,fixed[26]byte24,fixed[26]bit24,fixed[32]byte24,fixed[32]bit24,fixed[F]32,fixed[$\ell$]32,byte[F]32,byte[$\ell$]32,bit[F]32,bit[$\ell$]32,fixed[26]byte32,fixed[26]bit32,fixed[32]byte32,fixed[32]bit32
6400,85.680000,56.740000,68.360000,60.040000,67.420000,64.260000,245.590000,211.340000,66.580000,66.440000,51.010000,47.350000,60.750000,58.010000,55.580000,57.270000,57.950000,62.020000,70.350000,58.550000,45.360000,46.190000,55.160000,54.870000,199.660000,65.490000,236.970000,60.770000,71.610000,66.810000,46.230000,48.590000,53.570000,56.600000,53.880000,56.040000,58.690000,57.620000,58.640000,57.260000,43.040000,45.390000,198.570000,54.480000,55.050000,55.510000,61.100000,59.300000,57.600000,70.740000
12800,38.430000,29.295000,38.245000,35.905000,39.780000,36.930000,40.950000,41.315000,39.650000,40.130000,25.500000,25.355000,30.095000,32.545000,32.060000,29.970000,32.185000,32.220000,31.670000,32.510000,25.225000,25.105000,29.740000,30.440000,30.065000,30.380000,31.845000,33.210000,32.110000,31.550000,24.980000,24.285000,30.765000,30.895000,29.450000,30.395000,31.130000,30.980000,32.615000,32.320000,25.260000,24.970000,28.720000,30.690000,30.110000,30.905000,31.670000,30.750000,31.540000,31.980000
19200,28.656667,27.463333,35.746667,32.720000,35.380000,31.190000,38.466667,38.123333,37.070000,37.063333,23.156667,22.810000,25.343333,26.766667,26.090000,24.490000,26.266667,27.306667,27.620000,27.306667,21.696667,18.306667,25.110000,24.426667,25.876667,26.243333,26.460000,25.280000,25.890000,25.996667,19.383333,18.930000,22.070000,21.636667,24.346667,23.830000,25.016667,25.980000,26.256667,25.280000,19.763333,20.366667,23.696667,24.306667,23.823333,26.570000,25.936667,25.283333,25.126667,25.323333
25600,22.962500,15.845000,24.477500,24.080000,26.025000,23.787500,27.962500,26.812500,24.290000,27.395000,17.722500,17.465000,19.815000,19.442500,17.217500,17.592500,18.315000,54.390000,17.345000,17.130000,13.947500,13.560000,15.825000,16.197500,16.722500,16.130000,17.122500,17.065000,16.665000,16.547500,13.530000,13.570000,15.852500,18.450000,16.672500,16.472500,16.845000,16.472500,17.987500,17.730000,13.727500,13.150000,15.917500,17.552500,16.397500,16.212500,16.635000,17.057500,16.372500,16.475000
32000,16.524000,14.926000,21.000000,17.600000,20.126000,17.536000,22.374000,21.494000,20.908000,21.074000,11.128000,11.614000,13.774000,13.146000,14.724000,13.526000,13.644000,14.170000,14.260000,13.916000,10.940000,11.028000,13.234000,12.746000,13.548000,13.596000,14.378000,13.918000,14.104000,13.846000,11.530000,10.920000,13.038000,12.714000,13.132000,14.414000,13.020000,13.468000,13.724000,13.458000,11.048000,10.654000,12.982000,12.652000,13.658000,12.960000,17.378000,13.276000,13.298000,13.576000
38400,18.078333,13.985000,19.320000,15.766667,18.565000,15.970000,21.740000,43.306667,22.461667,19.775000,9.788333,10.225000,12.155000,11.650000,12.788333,11.976667,12.640000,12.371667,12.353333,12.336667,9.925000,9.616667,11.950000,11.650000,11.638333,11.593333,12.155000,12.270000,11.875000,12.211667,9.861667,9.795000,11.956667,11.876667,11.800000,11.598333,12.071667,11.991667,12.045000,11.705000,12.566667,34.090000,12.011667,12.008333,11.826667,11.655000,12.123333,11.925000,12.440000,11.891667
44800,34.908571,11.770000,18.248571,14.310000,17.468571,14.681429,18.988571,19.600000,18.637143,18.174286,8.868571,8.820000,10.722857,10.591429,10.895714,10.644286,11.274286,11.358571,43.935714,11.111429,8.722857,8.900000,10.067143,10.321429,10.331429,10.854286,10.880000,10.738571,10.835714,10.742857,8.752857,8.625714,10.318571,10.830000,10.227143,10.391429,10.810000,10.648571,11.034286,11.127143,9.027143,8.762857,10.497143,10.240000,29.865714,10.230000,10.688571,10.772857,10.452857,10.937143
51200,31.046250,10.705000,17.056250,15.403750,18.475000,14.018750,19.588750,18.068750,20.327500,17.345000,8.011250,8.022500,9.671250,9.523750,9.881250,9.768750,10.362500,10.392500,10.247500,10.355000,8.105000,7.982500,11.096250,10.816250,11.078750,10.828750,11.618750,11.163750,10.088750,9.655000,8.415000,8.005000,9.295000,9.608750,10.126250,9.570000,9.645000,9.976250,10.466250,9.958750,8.123750,8.350000,9.358750,9.507500,9.173750,9.307500,9.707500,9.745000,9.672500,9.652500
57600,15.657778,9.651111,15.986667,12.511111,15.672222,12.441111,36.090000,16.066667,16.556667,16.018889,7.384444,6.938889,8.698889,8.696667,29.725556,9.142222,9.198889,9.127778,9.038889,9.207778,7.641111,7.163333,8.413333,8.294444,9.007778,8.433333,8.871111,8.883333,8.781111,8.734444,7.278889,7.164444,23.900000,24.434444,8.393333,8.364444,8.623333,8.848889,8.505556,8.512222,7.346667,7.147778,8.338889,8.267778,8.034444,30.315556,8.783333,8.585556,8.738889,8.520000
64000,25.718000,10.767000,15.319000,11.486000,14.846000,29.036000,15.813000,15.200000,15.332000,15.406000,6.463000,6.366000,7.999000,8.059000,8.236000,8.119000,8.272000,8.460000,8.304000,8.250000,6.855000,6.423000,7.725000,7.495000,7.689000,8.930000,8.658000,8.169000,7.910000,7.916000,6.287000,6.250000,7.529000,7.455000,7.497000,7.486000,8.045000,7.956000,7.740000,7.882000,6.487000,6.814000,7.595000,7.573000,7.492000,7.439000,8.140000,7.954000,7.769000,7.816000
128000,11.922000,8.607500,13.194500,9.236000,13.581000,10.195000,13.434000,14.749500,13.224000,12.929000,4.922000,4.848000,6.057000,5.803000,6.162500,5.613500,13.295000,6.272500,6.163500,6.253000,4.718500,4.731500,5.384500,5.231500,5.487000,5.588000,5.738000,5.730500,5.631500,5.711000,4.710500,4.825000,6.452000,5.737000,5.620000,6.002000,6.175000,6.247000,6.243000,6.191000,5.372500,5.398500,5.925000,5.901500,5.949000,5.959000,6.061500,6.092000,6.003500,6.009000
192000,8.764667,6.417333,12.258000,8.446667,11.847333,8.603667,12.457333,26.283000,12.602333,12.695333,4.490333,4.199000,5.218000,4.833000,5.280667,4.882667,5.330333,5.417333,5.338667,5.416000,4.127667,4.094000,4.844333,4.607333,4.828000,4.661333,4.953333,5.085000,5.005333,4.891667,4.220667,4.277333,4.724333,9.392667,4.828667,4.700667,4.848667,5.364333,4.894000,5.169667,4.279333,4.352333,4.654000,4.738667,4.691667,4.700667,4.822333,4.797000,4.873333,4.814667
256000,9.649750,6.234250,12.322000,8.485250,11.471000,8.212500,12.462500,13.251250,12.404000,11.499000,3.724000,3.832500,4.814250,4.615500,4.986000,4.605750,4.887750,4.994250,4.911500,4.893250,3.767000,3.803000,4.846750,4.215500,4.443000,4.343000,4.578000,4.595000,4.497000,4.522500,3.915250,3.895750,4.404250,4.310500,4.434750,4.476750,4.565250,4.531000,4.468000,4.724000,3.937250,4.388250,4.334000,4.353750,4.503750,4.246500,4.437000,4.505500,4.411250,4.501250
320000,13.438200,5.954600,12.346400,8.144800,11.909200,8.173400,12.136200,13.287600,11.959600,11.586000,3.646200,3.681600,4.582400,4.144000,4.603400,4.285400,4.615000,4.744200,4.639200,4.677800,3.555200,3.607200,4.116800,3.955400,4.225800,4.479000,4.280400,4.317200,4.183600,4.249000,3.738200,3.789400,4.214000,4.031400,4.243800,4.133200,4.249000,4.305600,4.273400,4.205800,3.705000,3.968200,4.114000,4.073600,4.527400,4.043600,4.186400,4.238600,4.138000,4.209600
384000,8.577000,5.798167,12.063333,7.949333,11.369667,7.995667,12.344167,21.321500,12.137500,11.384000,3.545000,3.512500,4.453833,4.040000,4.490500,4.159333,4.644000,4.612833,4.551000,4.550167,3.490667,3.442167,4.038500,3.832000,4.051167,3.897667,4.095500,4.138833,4.070333,4.085833,3.631000,3.633667,4.102667,3.945333,4.376167,3.979333,4.078500,4.154000,4.100167,4.134333,3.612333,3.618833,4.120000,3.936000,4.031500,3.922333,9.100500,4.115167,4.026000,4.115000
448000,8.340429,5.775571,11.894143,8.090286,11.301429,7.945286,12.077143,13.130714,23.059571,17.544429,8.326143,8.314286,9.016143,8.596714,4.659571,4.139429,5.118571,4.590429,4.544286,4.509286,3.495714,3.470571,4.013000,3.853286,4.065143,3.879714,4.055571,4.119143,4.048286,4.120286,3.607000,3.662857,4.028714,3.927857,4.051571,3.973571,4.082429,4.169143,8.459571,4.132000,3.621714,6.018286,4.151429,3.911143,4.015857,3.962571,4.072000,4.089429,4.011000,4.069571
512000,8.249250,6.165750,11.877000,7.934750,11.145250,7.809625,12.220625,13.167250,11.842250,11.479000,3.439625,3.460625,4.327250,3.923625,9.531000,3.943875,4.464500,4.467000,4.380125,4.418000,3.409250,3.388625,3.917500,3.720750,3.967375,3.976125,3.993750,3.967625,3.994125,3.984250,3.531375,3.535375,3.974125,3.847250,3.973000,3.883500,3.969625,4.003000,3.929000,3.974875,3.543625,3.732250,3.915000,3.831500,3.938500,3.829625,3.954750,3.932750,3.967000,3.940250
576000,8.772556,6.023667,11.721111,7.903667,13.184222,8.417111,13.686333,15.231000,13.589444,13.243556,3.882778,3.915667,4.561889,4.206444,4.629000,3.977333,4.350889,4.393111,4.375000,4.684778,3.782667,3.820889,4.125333,4.050111,4.237333,4.051111,4.193333,4.252111,4.245667,4.291222,3.857222,3.870667,4.150444,4.105111,4.225444,4.118556,4.287333,4.486111,4.225556,4.239778,3.555667,3.598444,3.836111,3.766111,3.924222,3.789222,3.943111,3.896778,3.913333,3.968111
640000,8.535700,5.947100,11.757700,7.941900,11.161000,7.815200,11.935800,13.168600,11.796500,14.756900,3.443400,3.487600,4.221700,3.829300,4.384600,3.853400,6.907900,4.338100,4.270200,4.317500,3.425200,3.437900,3.839600,3.649600,4.116400,3.654900,3.882900,3.905600,3.872200,3.868500,3.459000,3.439200,3.849200,3.717100,3.829700,3.760500,3.909300,3.920000,3.909900,3.925500,3.518600,3.459200,3.793900,3.704600,3.822900,3.728700,3.884800,3.839100,3.838300,3.880100
1280000,8.375500,7.633500,12.620150,7.741650,12.048950,8.652900,12.641250,13.600700,12.520800,12.016100,3.262900,3.288150,4.199500,3.639650,4.156400,3.569550,4.112250,4.080800,4.198500,4.102250,3.190500,3.225700,3.595250,3.390650,3.626550,3.423250,3.647950,3.660550,3.637900,3.656550,3.353100,3.337350,3.647800,3.508750,3.668650,3.525350,3.622950,3.619700,3.613450,3.670650,3.355750,3.352750,3.575600,3.462500,3.586500,3.473450,3.612950,3.606800,3.586000,3.710900
1920000,8.381667,7.941533,11.722333,8.031600,11.196767,8.003600,11.835467,12.823267,11.817067,11.207867,3.256867,3.174733,3.930133,3.500000,4.027867,3.610600,3.962967,4.527833,3.960333,4.014067,3.125667,3.110233,3.578733,3.282100,3.527767,3.299300,3.588833,3.619667,3.509933,3.549667,3.294267,3.241133,3.516833,3.362200,3.496767,3.414167,3.544400,3.565600,3.492967,3.516100,3.235567,3.317667,3.467333,3.367400,3.482400,3.356200,3.493900,3.488367,3.479867,3.491133
