Elements,fixed[F]1,fixed[$\ell$]1,byte[F]1,byte[$\ell$]1,bit[F]1,bit[$\ell$]1,fixed[26]byte1,fixed[26]bit1,fixed[32]byte1,fixed[32]bit1,fixed[F]8,fixed[$\ell$]8,byte[F]8,byte[$\ell$]8,bit[F]8,bit[$\ell$]8,fixed[26]byte8,fixed[26]bit8,fixed[32]byte8,fixed[32]bit8,fixed[F]16,fixed[$\ell$]16,byte[F]16,byte[$\ell$]16,bit[F]16,bit[$\ell$]16,fixed[26]byte16,fixed[26]bit16,fixed[32]byte16,fixed[32]bit16,fixed[F]24,fixed[$\ell$]24,byte[F]24,byte[$\ell$]24,bit[F]24,bit[$\ell$]24,fixed[26]byte24,fixed[26]bit24,fixed[32]byte24,fixed[32]bit24,fixed[F]32,fixed[$\ell$]32,byte[F]32,byte[$\ell$]32,bit[F]32,bit[$\ell$]32,fixed[26]byte32,fixed[26]bit32,fixed[32]byte32,fixed[32]bit32
6400,20.436360,21.209390,21.435820,21.240260,21.583280,21.818120,22.358220,22.372850,22.388020,22.387490,21.488520,22.045530,22.241640,21.574620,22.377940,22.054370,23.572560,23.874730,24.079930,23.951670,21.766790,21.766200,22.052860,21.655400,22.550530,22.361120,23.933960,24.224080,23.567770,23.663660,22.330580,22.271400,22.669900,22.529870,23.372230,22.923060,24.332090,24.503300,24.487630,24.524610,21.609090,21.721740,21.977030,21.710020,22.540520,22.143130,23.834940,23.870500,23.897550,24.196000
12800,20.420070,21.313520,22.021580,21.338590,23.374950,22.825500,24.122470,24.844980,23.940160,24.678520,25.012140,25.063430,25.882600,25.113920,26.078230,25.443190,26.826420,26.932310,26.898250,26.827650,25.199240,25.285170,25.738810,25.110680,25.990100,25.503120,27.013390,27.249120,27.179800,27.151050,25.898010,26.286380,26.553240,26.178610,26.956510,26.524450,27.791770,27.835530,27.861770,28.904190,25.223600,25.039060,25.854090,25.170310,26.063700,25.889370,26.783540,27.167270,27.011040,27.364420
19200,22.079490,22.740710,23.615390,22.926450,24.241240,24.179430,25.435320,26.020760,25.205920,26.009440,27.549730,27.634950,28.188890,27.680130,28.319150,28.073000,28.929520,29.085640,28.509990,28.965120,27.568430,28.266000,28.389950,27.871200,29.198760,27.932970,28.874280,29.626210,29.079960,29.395090,28.606420,28.940770,29.090370,28.925600,29.468870,29.122840,30.267120,30.273310,30.316840,30.206210,27.904990,27.638580,28.343160,27.960720,28.630510,28.428460,28.558270,29.437280,29.036730,29.666510
25600,22.575390,23.246820,24.302100,23.760900,24.891530,25.162530,25.663000,25.998180,25.339060,25.784590,27.806470,27.780120,28.071190,27.904460,28.800680,28.307200,28.728670,28.957980,28.455230,28.881920,27.979040,28.306820,28.436780,27.907450,28.532050,28.280230,28.790000,29.509540,29.032820,29.313320,28.873380,29.175860,29.049150,29.237220,29.476070,29.245360,30.347420,30.249730,30.348640,30.217790,28.222040,27.994600,28.936570,28.029060,28.650410,28.500880,28.708310,29.465420,28.807530,29.757290
32000,23.753130,24.335500,25.976980,25.245050,26.113780,26.212730,26.817760,27.243480,27.035470,27.097320,28.486750,28.712780,28.723700,28.695800,29.032680,28.900450,29.138340,29.501300,28.823270,29.567140,28.658420,29.197260,29.027210,28.496100,29.244810,29.220400,29.435330,30.220400,29.696290,29.973000,29.582850,29.801230,29.676720,29.918540,30.163500,29.859450,31.091240,30.873810,31.109060,30.950460,28.795340,28.698880,28.954410,28.572380,29.242050,29.188190,29.398690,30.189190,29.207670,30.310260
38400,24.230800,24.549500,26.272340,25.455190,27.228890,26.455310,27.225220,28.798370,27.042400,27.983020,29.320140,29.669010,29.648900,29.714430,30.073700,30.015020,30.037020,30.512620,29.737690,30.473880,29.691300,30.024740,30.092190,29.717810,30.108010,30.040750,30.279970,31.032020,30.618520,30.648720,30.680780,30.980600,30.612970,30.564470,30.928390,30.697540,31.860210,31.908060,32.110100,31.938920,29.694230,29.628230,29.988850,29.498040,29.936910,30.126640,30.129180,30.836710,29.738320,31.075350
44800,23.673160,24.216490,26.127440,25.394570,28.269380,26.458250,26.995100,28.952400,26.979000,28.650710,30.167510,30.280050,30.408830,30.675090,31.009690,30.754520,31.002330,31.569780,30.528660,31.555510,30.449360,30.415620,30.129500,29.321420,30.321910,29.955410,30.278380,31.076470,30.893190,30.660600,31.062120,31.236200,31.085630,31.280720,31.982470,31.059920,32.157260,32.293430,32.309780,32.125450,29.987360,30.010630,30.061940,29.748870,30.316530,30.354170,30.658390,31.103110,30.200000,31.378260
51200,23.555420,24.375220,26.546290,25.771160,29.059360,27.050840,27.406760,29.914450,27.395860,29.611570,30.763140,31.232490,31.269910,31.285380,32.005570,31.664340,31.699130,32.654890,31.569460,32.608240,30.233920,30.117770,30.476850,29.617160,30.479580,30.459630,30.407810,31.585490,31.086800,30.781510,31.199490,31.283740,31.057260,31.613800,31.669180,31.349990,32.586780,32.437900,32.342990,32.060750,29.887660,30.135500,30.383710,30.110890,30.488990,30.613800,31.153510,31.104050,30.668530,31.892660
57600,24.042770,24.635900,26.827030,26.052410,29.377270,27.616980,27.690890,30.039110,27.646620,29.812550,31.493000,31.601550,31.770640,32.294610,32.602000,32.105280,32.338380,33.697470,32.543170,33.366300,30.279790,30.487780,30.610910,30.222200,30.571190,30.690920,30.589510,31.647100,31.149620,31.090990,31.612490,31.588540,31.401940,31.978670,32.181090,31.506980,32.536380,32.859420,32.597680,32.363250,30.320900,30.427840,30.301250,30.419240,31.291620,30.964330,31.371290,31.588130,30.897070,32.198740
64000,25.228690,25.599390,27.714320,26.763340,29.938690,27.802840,28.291850,30.712810,28.168810,30.262520,31.983870,31.957120,32.089250,32.342040,32.816510,32.401740,33.061330,33.821750,32.843280,33.929760,30.757440,30.780080,31.167210,30.373420,31.103690,31.004020,31.132420,32.114490,31.544110,31.505360,31.804570,32.206120,31.508900,32.278530,32.353480,31.832970,32.872770,33.231730,32.894930,32.682500,30.849120,30.832920,30.641790,30.663780,31.068000,31.288810,31.755840,31.721190,31.393090,32.355930
