Elements,fixed[F]1,fixed[$\ell$]1,byte[F]1,byte[$\ell$]1,bit[F]1,bit[$\ell$]1,fixed[26]byte1,fixed[26]bit1,fixed[32]byte1,fixed[32]bit1,fixed[F]8,fixed[$\ell$]8,byte[F]8,byte[$\ell$]8,bit[F]8,bit[$\ell$]8,fixed[26]byte8,fixed[26]bit8,fixed[32]byte8,fixed[32]bit8,fixed[F]16,fixed[$\ell$]16,byte[F]16,byte[$\ell$]16,bit[F]16,bit[$\ell$]16,fixed[26]byte16,fixed[26]bit16,fixed[32]byte16,fixed[32]bit16,fixed[F]24,fixed[$\ell$]24,byte[F]24,byte[$\ell$]24,bit[F]24,bit[$\ell$]24,fixed[26]byte24,fixed[26]bit24,fixed[32]byte24,fixed[32]bit24,fixed[F]32,fixed[$\ell$]32,byte[F]32,byte[$\ell$]32,bit[F]32,bit[$\ell$]32,fixed[26]byte32,fixed[26]bit32,fixed[32]byte32,fixed[32]bit32
6400,51.526750,51.453090,59.449110,56.098510,62.061970,57.781710,60.185980,62.272140,60.626100,62.054920,46.576620,47.358320,51.716990,48.574260,52.435950,50.788870,52.567640,54.738910,52.867620,54.824840,45.315500,45.995600,49.662820,46.678990,49.326730,48.325580,50.525150,52.153510,50.430150,52.031180,45.613020,46.443020,49.558820,47.840310,50.870580,48.591780,50.746300,52.447380,50.736400,52.680510,46.887700,46.958370,51.084970,47.782240,51.247620,49.267570,51.853270,53.880800,51.922270,54.230550
12800,57.280400,56.712410,65.144030,62.939000,67.743380,64.492540,66.095040,67.405820,65.992770,67.782790,49.923580,50.891350,55.989980,52.902230,57.621000,55.821560,57.319230,60.538360,57.469650,60.503200,48.688150,49.993530,53.863280,50.876450,54.563910,53.152840,55.001870,57.164560,54.963860,57.109590,49.050970,49.827720,54.329940,51.657310,56.065750,53.540340,55.369010,57.793140,55.340140,59.851620,49.735480,50.131780,54.126070,51.249120,54.446520,52.783680,55.280010,57.630640,55.210110,57.647250
19200,61.279400,60.950260,70.540860,66.637100,72.396260,68.602200,71.175380,72.094190,71.374420,72.592720,53.445890,54.594810,60.328010,56.884750,61.984450,60.165370,61.465270,65.145550,61.645320,64.723890,51.807040,52.922510,57.524650,54.538760,60.729290,56.981200,58.619840,61.468160,58.387770,62.403130,51.731430,53.111070,56.922280,54.407480,58.765120,56.656690,58.085620,60.691400,58.056250,60.898810,52.969500,53.326180,58.137880,55.051350,59.280350,57.072870,59.305060,61.750580,59.106410,64.240800
25600,63.864100,62.500240,72.400130,68.532460,74.075850,70.913720,72.959230,73.788460,73.345300,74.630000,54.380220,55.355560,62.580540,58.094880,63.853300,62.868920,62.975410,67.307980,63.117820,66.752190,52.843990,54.215690,60.225440,55.813500,60.714220,58.414480,60.273500,63.365380,59.875660,62.856250,53.194790,54.169390,60.925740,56.484500,61.723980,59.117870,60.288740,63.529920,60.253740,63.884190,53.725560,54.494060,61.206820,56.049040,60.192270,58.267920,60.431590,63.005380,60.503290,63.504940
32000,64.347100,64.518450,74.596330,70.593550,76.442620,72.750210,75.461710,76.375080,75.829120,77.567510,55.990210,57.215350,64.622860,60.634660,65.858760,64.147650,65.575590,69.500270,65.573810,69.336660,55.279050,57.000190,62.345480,59.839310,64.824220,62.004450,63.802600,67.124930,63.668840,66.986430,53.733410,54.910430,59.652290,57.049480,62.232020,59.595160,60.875380,64.064720,60.829740,64.423870,56.217150,56.733910,62.799540,58.913790,64.618010,61.815970,63.957100,67.706040,64.025290,67.942490
38400,66.423380,65.851170,76.919980,71.967190,78.449770,75.455310,77.808100,79.800270,78.088060,79.762290,58.570150,59.053750,66.302110,61.767810,67.902630,66.609760,67.184320,70.367290,67.524240,70.579220,55.889510,57.470590,62.761760,60.027860,65.041440,62.540840,64.179610,67.088920,63.909870,67.251730,55.586870,56.823160,62.041430,58.951290,64.367350,61.813840,62.997430,66.209190,62.954980,66.954720,56.722930,57.268730,62.987010,59.359530,64.277620,61.754730,63.886310,67.540920,64.098510,67.901280
44800,66.795090,66.880610,77.915410,73.225140,79.211370,76.418950,78.996720,80.774230,78.917870,80.847160,58.723200,60.243320,66.902270,62.286340,68.768340,67.593090,68.031580,71.454070,68.517030,71.773190,56.683090,58.606540,64.212250,60.483270,66.062510,64.716940,65.592320,68.390630,65.158330,68.362220,56.748800,58.083530,63.110070,60.722860,65.853690,63.429070,64.200750,67.842710,64.448570,68.288480,57.261960,57.997730,63.826090,60.174590,65.158260,62.852110,64.818260,68.902210,64.822260,68.835950
51200,68.823330,68.162330,79.539430,74.691670,81.022830,77.538570,80.367860,81.935380,80.243640,82.158510,60.072300,61.542910,68.459480,64.091520,70.424300,69.915550,69.649620,72.916890,70.179150,73.069490,57.779540,59.798980,65.396080,61.777790,67.185220,64.965430,66.827700,70.000510,66.410760,69.931530,57.916200,58.991490,64.883070,64.191210,68.276370,65.552410,66.183110,69.937140,66.379750,70.351650,58.376820,59.274790,65.141530,61.182200,66.665750,64.154710,66.031220,70.076020,66.146420,70.296680
57600,68.822200,69.184250,80.687010,75.754550,82.507220,79.295600,81.447930,83.683330,81.829670,83.785150,60.896560,62.096590,69.648110,64.700780,71.095190,70.867160,70.978080,73.800340,71.375510,74.722280,58.661560,60.825690,66.633870,62.902950,68.566920,66.328340,68.352990,71.293250,67.749740,71.336970,57.929430,59.073200,65.371810,62.459010,68.112510,64.957430,66.505150,69.654400,66.429000,70.436680,59.340310,60.262050,66.005520,62.493190,67.909930,65.289790,67.191100,71.467330,67.265930,71.461950
64000,69.753750,70.199010,82.078060,76.475500,83.634530,79.929560,82.790600,84.680250,82.978660,85.114200,61.673800,62.863480,71.096200,66.189450,72.384020,71.858630,72.169470,75.032040,72.521120,75.373750,59.583660,61.776860,68.000560,64.605070,70.640680,67.366530,69.608880,72.511110,69.253760,72.378790,58.317500,59.941100,65.750600,62.598770,68.642190,66.564470,67.156780,70.379330,67.103620,71.139360,60.956810,61.577130,68.866560,65.299080,70.919170,68.318080,69.921760,74.355760,69.785220,74.593320
