Elements,fixed[F]1,fixed[$\ell$]1,byte[F]1,byte[$\ell$]1,bit[F]1,bit[$\ell$]1,fixed[26]byte1,fixed[26]bit1,fixed[32]byte1,fixed[32]bit1,fixed[F]8,fixed[$\ell$]8,byte[F]8,byte[$\ell$]8,bit[F]8,bit[$\ell$]8,fixed[26]byte8,fixed[26]bit8,fixed[32]byte8,fixed[32]bit8,fixed[F]16,fixed[$\ell$]16,byte[F]16,byte[$\ell$]16,bit[F]16,bit[$\ell$]16,fixed[26]byte16,fixed[26]bit16,fixed[32]byte16,fixed[32]bit16,fixed[F]24,fixed[$\ell$]24,byte[F]24,byte[$\ell$]24,bit[F]24,bit[$\ell$]24,fixed[26]byte24,fixed[26]bit24,fixed[32]byte24,fixed[32]bit24,fixed[F]32,fixed[$\ell$]32,byte[F]32,byte[$\ell$]32,bit[F]32,bit[$\ell$]32,fixed[26]byte32,fixed[26]bit32,fixed[32]byte32,fixed[32]bit32
256000000,2.000130,2.000136,1.157122,1.156488,1.125250,1.125128,1.157124,1.125252,1.157124,1.125252,1.125122,1.125127,1.031554,1.031559,1.021570,1.021575,1.031556,1.021572,1.031556,1.021572,1.062658,1.062663,1.015938,1.015943,1.011842,1.011847,1.015940,1.011844,1.015940,1.011844,1.041794,1.041799,1.010690,1.010695,1.008002,1.008007,1.010692,1.008004,1.010692,1.008004,1.031426,1.031431,1.008130,1.008007,1.006466,1.006471,1.008132,1.006468,1.008132,1.006468
320000000,2.000181,2.000084,1.157122,1.156512,1.125173,1.125076,1.157124,1.125175,1.157124,1.125175,1.125070,1.125075,1.031477,1.031481,1.021544,1.021549,1.031479,1.021546,1.031479,1.021546,1.062606,1.062611,1.015810,1.015814,1.011816,1.011820,1.015812,1.011818,1.015812,1.011818,1.041717,1.041721,1.010587,1.010591,1.007925,1.007929,1.010589,1.007927,1.010589,1.007927,1.031374,1.031379,1.008027,1.008031,1.006491,1.006393,1.008029,1.006493,1.008029,1.006493
384000000,2.000129,2.000048,1.157121,1.156443,1.125121,1.125040,1.157123,1.125123,1.157123,1.125123,1.125036,1.125040,1.031425,1.031429,1.021527,1.021530,1.031427,1.021528,1.031427,1.021528,1.062572,1.062576,1.015809,1.015813,1.011799,1.011802,1.015811,1.011800,1.015811,1.011800,1.041751,1.041754,1.010604,1.010607,1.007873,1.007877,1.010606,1.007875,1.010606,1.007875,1.031340,1.031343,1.008044,1.007962,1.006423,1.006426,1.008046,1.006424,1.008046,1.006424
448000000,2.000093,2.000023,1.157121,1.156393,1.125085,1.125015,1.157123,1.125086,1.157123,1.125086,1.125085,1.125015,1.031462,1.031392,1.021514,1.021518,1.031463,1.021516,1.031463,1.021516,1.062547,1.062551,1.015809,1.015812,1.011786,1.011789,1.015811,1.011788,1.015811,1.011788,1.041702,1.041705,1.010543,1.010546,1.007837,1.007840,1.010544,1.007838,1.010544,1.007838,1.031315,1.031318,1.007983,1.007986,1.006374,1.006377,1.007984,1.006375,1.007984,1.006375
512000000,2.000065,2.000004,1.157057,1.156420,1.125121,1.125060,1.157058,1.125122,1.157058,1.125122,1.125057,1.125060,1.031425,1.031428,1.021505,1.021508,1.031426,1.021506,1.031426,1.021506,1.062529,1.062532,1.015809,1.015812,1.011777,1.011780,1.015810,1.011778,1.015810,1.011778,1.041729,1.041732,1.010561,1.010564,1.007873,1.007876,1.010562,1.007874,1.010562,1.007874,1.031297,1.031300,1.008001,1.007940,1.006401,1.006404,1.008002,1.006402,1.008002,1.006402
576000000,2.000157,2.000103,1.157121,1.156441,1.125149,1.125095,1.157122,1.125150,1.157122,1.125150,1.125092,1.125095,1.031453,1.031456,1.021555,1.021557,1.031454,1.021556,1.031454,1.021556,1.062572,1.062574,1.015809,1.015811,1.011827,1.011772,1.015810,1.011828,1.015810,1.011828,1.041750,1.041753,1.010575,1.010578,1.007901,1.007904,1.010576,1.007902,1.010576,1.007902,1.031340,1.031342,1.008015,1.008018,1.006422,1.006425,1.008016,1.006423,1.008016,1.006423
640000000,2.000129,2.000080,1.157121,1.156458,1.125121,1.125072,1.157122,1.125122,1.157122,1.125122,1.125070,1.125072,1.031425,1.031427,1.021543,1.021546,1.031426,1.021544,1.031426,1.021544,1.062554,1.062557,1.015809,1.015811,1.011764,1.011766,1.015810,1.011765,1.015810,1.011765,1.041716,1.041718,1.010586,1.010589,1.007873,1.007875,1.010587,1.007874,1.010587,1.007874,1.031322,1.031325,1.008026,1.007977,1.006439,1.006390,1.008027,1.006440,1.008027,1.006440
1280000000,2.000077,2.000027,1.157069,1.156405,1.125095,1.125019,1.157070,1.125095,1.157070,1.125095,1.125044,1.125019,1.031399,1.031400,1.021517,1.021518,1.031399,1.021518,1.031399,1.021518,1.062528,1.062530,1.015783,1.015784,1.011738,1.011739,1.015783,1.011738,1.015783,1.011738,1.041690,1.041691,1.010535,1.010536,1.007847,1.007848,1.010535,1.007847,1.010535,1.007847,1.031271,1.031272,1.007975,1.007950,1.006388,1.006363,1.007975,1.006388,1.007975,1.006388
1920000000,2.000077,2.000010,1.157052,1.156387,1.125069,1.125019,1.157052,1.125069,1.157052,1.125069,1.125018,1.125019,1.031390,1.031391,1.021509,1.021492,1.031390,1.021509,1.031390,1.021509,1.062520,1.062521,1.015774,1.015758,1.011729,1.011730,1.015774,1.011730,1.015774,1.011730,1.041681,1.041682,1.010518,1.010518,1.007821,1.007822,1.010518,1.007821,1.010518,1.007821,1.031271,1.031271,1.007958,1.007941,1.006370,1.006354,1.007958,1.006371,1.007958,1.006371
2560000000,2.000064,2.000001,1.157056,1.156379,1.125069,1.125006,1.157056,1.125069,1.157056,1.125069,1.125018,1.125006,1.031386,1.031374,1.021504,1.021492,1.031386,1.021504,1.031386,1.021504,1.062515,1.062503,1.015757,1.015758,1.011725,1.011726,1.015757,1.011725,1.015757,1.011725,1.041677,1.041678,1.010509,1.010510,1.007821,1.007822,1.010509,1.007821,1.010509,1.007821,1.031258,1.031258,1.007949,1.007937,1.006362,1.006350,1.007949,1.006362,1.007949,1.006362
3200000000,2.000077,2.000016,1.157059,1.156383,1.125069,1.125018,1.157059,1.125069,1.157059,1.125069,1.125018,1.125018,1.031393,1.031384,1.021502,1.021502,1.031394,1.021502,1.031394,1.021502,1.062513,1.062513,1.015767,1.015757,1.011733,1.011733,1.015767,1.011733,1.015767,1.011733,1.041685,1.041685,1.010514,1.010515,1.007831,1.007821,1.010514,1.007831,1.010514,1.007831,1.031260,1.031261,1.007954,1.007944,1.006367,1.006357,1.007954,1.006367,1.007954,1.006367
3840000000,2.000068,2.000009,1.157052,1.156378,1.125069,1.125010,1.157052,1.125069,1.157052,1.125069,1.125018,1.125010,1.031390,1.031382,1.021500,1.021492,1.031390,1.021500,1.031390,1.021500,1.062511,1.062511,1.015765,1.015757,1.011729,1.011730,1.015766,1.011729,1.015766,1.011729,1.041681,1.041673,1.010509,1.010509,1.007821,1.007821,1.010509,1.007821,1.010509,1.007821,1.031262,1.031262,1.007949,1.007941,1.006362,1.006354,1.007949,1.006362,1.007949,1.006362
4480000000,2.000070,2.000004,1.157047,1.156382,1.125069,1.125004,1.157055,1.125076,1.157047,1.125069,1.125010,1.125003,1.031388,1.031381,1.021499,1.021492,1.031388,1.021499,1.031388,1.021499,1.062510,1.062503,1.015757,1.015750,1.011727,1.011727,1.015757,1.011727,1.015757,1.011727,1.041671,1.041672,1.010505,1.010506,1.007821,1.007821,1.010505,1.007821,1.010505,1.007821,1.031256,1.031256,1.007945,1.007938,1.006358,1.006351,1.007945,1.006358,1.007945,1.006358
5120000000,2.000064,2.000000,1.157050,1.156378,1.125062,1.125005,1.157056,1.125069,1.157050,1.125063,1.125011,1.125005,1.031386,1.031373,1.021498,1.021485,1.031386,1.021498,1.031386,1.021498,1.062509,1.062503,1.015757,1.015751,1.011725,1.011725,1.015757,1.011725,1.015757,1.011725,1.041670,1.041671,1.010502,1.010503,1.007821,1.007815,1.010503,1.007821,1.010503,1.007821,1.031258,1.031252,1.007942,1.007936,1.006355,1.006349,1.007943,1.006355,1.007943,1.006355
5760000000,2.000066,2.000009,1.157052,1.156381,1.125069,1.125007,1.157058,1.125075,1.157052,1.125069,1.125012,1.125007,1.031390,1.031379,1.021497,1.021492,1.031390,1.021497,1.031390,1.021497,1.062514,1.062508,1.015763,1.015757,1.011729,1.011724,1.015763,1.011729,1.015763,1.011729,1.041675,1.041676,1.010512,1.010506,1.007821,1.007821,1.010512,1.007821,1.010512,1.007821,1.031259,1.031259,1.007946,1.007941,1.006359,1.006353,1.007946,1.006359,1.007946,1.006359
6400000000,2.000067,2.000005,1.157048,1.156378,1.125064,1.125008,1.157054,1.125069,1.157048,1.125064,1.125013,1.125008,1.031388,1.031378,1.021496,1.021492,1.031388,1.021496,1.031388,1.021496,1.062508,1.062508,1.015757,1.015752,1.011727,1.011723,1.015757,1.011728,1.015757,1.011728,1.041674,1.041675,1.010509,1.010504,1.007821,1.007816,1.010509,1.007821,1.010509,1.007821,1.031255,1.031255,1.007944,1.007939,1.006357,1.006352,1.007944,1.006357,1.007944,1.006357
12800000000,2.000061,2.000000,1.157046,1.156375,1.125061,1.125002,1.157048,1.125064,1.157046,1.125061,1.125010,1.125002,1.031383,1.031373,1.021494,1.021486,1.031383,1.021494,1.031383,1.021494,1.062505,1.062503,1.015754,1.015749,1.011725,1.011720,1.015754,1.011725,1.015754,1.011725,1.041672,1.041669,1.010504,1.010499,1.007816,1.007813,1.010504,1.007816,1.010504,1.007816,1.031253,1.031253,1.007941,1.007936,1.006351,1.006349,1.007941,1.006351,1.007941,1.006351
19200000000,2.000063,2.000002,1.157045,1.156374,1.125062,1.125002,1.157047,1.125064,1.157045,1.125062,1.125009,1.125002,1.031383,1.031375,1.021493,1.021486,1.031383,1.021493,1.031383,1.021493,1.062506,1.062503,1.015755,1.015750,1.011724,1.011721,1.015755,1.011724,1.015755,1.011724,1.041671,1.041669,1.010504,1.010500,1.007817,1.007814,1.010504,1.007817,1.010504,1.007817,1.031253,1.031252,1.007940,1.007937,1.006351,1.006350,1.007940,1.006351,1.007940,1.006351
25600000000,2.000061,2.000000,1.157044,1.156374,1.125061,1.125001,1.157046,1.125063,1.157045,1.125061,1.125009,1.125001,1.031383,1.031373,1.021492,1.021485,1.031383,1.021493,1.031383,1.021493,1.062505,1.062501,1.015754,1.015748,1.011724,1.011720,1.015754,1.011724,1.015754,1.011724,1.041670,1.041668,1.010502,1.010499,1.007816,1.007813,1.010502,1.007816,1.010502,1.007816,1.031252,1.031251,1.007940,1.007936,1.006350,1.006349,1.007940,1.006350,1.007940,1.006350
32000000000,2.000062,2.000001,1.157044,1.156374,1.125062,1.125001,1.157045,1.125063,1.157044,1.125062,1.125008,1.125001,1.031383,1.031374,1.021493,1.021485,1.031383,1.021493,1.031383,1.021493,1.062504,1.062501,1.015755,1.015749,1.011723,1.011720,1.015755,1.011723,1.015755,1.011723,1.041670,1.041668,1.010504,1.010500,1.007816,1.007814,1.010504,1.007816,1.010504,1.007816,1.031253,1.031251,1.007940,1.007937,1.006350,1.006348,1.007940,1.006350,1.007940,1.006350
38400000000,2.000061,2.000000,1.157044,1.156373,1.125061,1.125001,1.157045,1.125062,1.157044,1.125061,1.125008,1.125001,1.031382,1.031373,1.021492,1.021485,1.031384,1.021493,1.031382,1.021492,1.062504,1.062501,1.015753,1.015748,1.011723,1.011719,1.015753,1.011723,1.015753,1.011723,1.041670,1.041667,1.010503,1.010499,1.007816,1.007813,1.010503,1.007816,1.010503,1.007816,1.031252,1.031251,1.007939,1.007935,1.006350,1.006348,1.007939,1.006350,1.007939,1.006350
44800000000,2.000061,2.000001,1.157044,1.156373,1.125061,1.125001,1.157045,1.125062,1.157044,1.125062,1.125008,1.125001,1.031383,1.031374,1.021493,1.021485,1.031384,1.021493,1.031383,1.021493,1.062505,1.062501,1.015754,1.015748,1.011723,1.011719,1.015754,1.011723,1.015754,1.011723,1.041670,1.041668,1.010503,1.010499,1.007816,1.007814,1.010503,1.007816,1.010503,1.007816,1.031253,1.031251,1.007939,1.007936,1.006351,1.006348,1.007939,1.006351,1.007939,1.006351
51200000000,2.000061,2.000000,1.157044,1.156373,1.125061,1.125000,1.157045,1.125062,1.157044,1.125061,1.125008,1.125000,1.031382,1.031373,1.021492,1.021485,1.031384,1.021493,1.031382,1.021493,1.062504,1.062501,1.015754,1.015748,1.011723,1.011719,1.015754,1.011723,1.015754,1.011723,1.041670,1.041667,1.010502,1.010499,1.007816,1.007813,1.010502,1.007816,1.010502,1.007816,1.031252,1.031251,1.007939,1.007935,1.006350,1.006348,1.007939,1.006350,1.007939,1.006350
57600000000,2.000061,2.000001,1.157044,1.156373,1.125061,1.125001,1.157044,1.125062,1.157044,1.125061,1.125008,1.125001,1.031382,1.031373,1.021492,1.021485,1.031384,1.021493,1.031382,1.021492,1.062504,1.062501,1.015754,1.015748,1.011723,1.011719,1.015754,1.011723,1.015754,1.011723,1.041670,1.041667,1.010503,1.010499,1.007816,1.007813,1.010503,1.007816,1.010503,1.007816,1.031252,1.031251,1.007940,1.007936,1.006350,1.006348,1.007940,1.006350,1.007940,1.006350
64000000000,2.000061,2.000000,1.157044,1.156373,1.125061,1.125000,1.157044,1.125062,1.157044,1.125061,1.125008,1.125000,1.031383,1.031373,1.021492,1.021485,1.031383,1.021493,1.031383,1.021492,1.062504,1.062500,1.015754,1.015748,1.011723,1.011719,1.015754,1.011723,1.015754,1.011723,1.041670,1.041667,1.010503,1.010499,1.007815,1.007813,1.010503,1.007815,1.010503,1.007815,1.031252,1.031250,1.007939,1.007936,1.006350,1.006348,1.007939,1.006350,1.007939,1.006350
128000000000,2.000061,2.000000,1.157044,1.156373,1.125061,1.125000,1.157044,1.125061,1.157044,1.125061,1.125008,1.125000,1.031382,1.031373,1.021492,1.021485,1.031383,1.021492,1.031382,1.021492,1.062504,1.062500,1.015753,1.015748,1.011723,1.011719,1.015754,1.011723,1.015753,1.011723,1.041669,1.041667,1.010502,1.010499,1.007815,1.007813,1.010503,1.007815,1.010502,1.007815,1.031252,1.031250,1.007939,1.007935,1.006350,1.006348,1.007939,1.006350,1.007939,1.006350
192000000000,2.000061,2.000000,1.157044,1.156373,1.125061,1.125000,1.157044,1.125061,1.157044,1.125061,1.125008,1.125000,1.031382,1.031373,1.021492,1.021485,1.031383,1.021492,1.031382,1.021492,1.062504,1.062500,1.015753,1.015748,1.011723,1.011719,1.015754,1.011723,1.015753,1.011723,1.041669,1.041667,1.010502,1.010498,1.007815,1.007813,1.010502,1.007815,1.010502,1.007815,1.031252,1.031250,1.007939,1.007935,1.006350,1.006348,1.007939,1.006350,1.007939,1.006350
