Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[$16$]fixed,byte[$16$]byte,bit[$16$]bit,fixed[$16$]byte,fixed[$16$]bit,byte[$16$]bit,fixed[$16$]fixed,byte[$16$]byte,bit[$16$]bit,fixed[$16$]byte,fixed[$16$]bit,byte[$16$]bit,fixed[$20$]fixed,byte[$20$]byte,bit[$20$]bit,fixed[$20$]byte,fixed[$20$]bit,byte[$20$]bit,fixed[F]_16,fixed[$\ell$]_16,byte[F]_16,byte[$\ell$]_16,bit[F]_16,bit[$\ell$]_16,fixed[$16$]fixed_16,byte[$16$]byte_16,bit[$16$]bit_16,fixed[$16$]byte_16,fixed[$16$]bit_16,byte[$16$]bit_16,fixed[$16$]fixed_16,byte[$16$]byte_16,bit[$16$]bit_16,fixed[$16$]byte_16,fixed[$16$]bit_16,byte[$16$]bit_16,fixed[$20$]fixed_16,byte[$20$]byte_16,bit[$20$]bit_16,fixed[$20$]byte_16,fixed[$20$]bit_16,byte[$20$]bit_16,fixed[F]_32,fixed[$\ell$]_32,byte[F]_32,byte[$\ell$]_32,bit[F]_32,bit[$\ell$]_32,fixed[$16$]fixed_32,byte[$16$]byte_32,bit[$16$]bit_32,fixed[$16$]byte_32,fixed[$16$]bit_32,byte[$16$]bit_32,fixed[$16$]fixed_32,byte[$16$]byte_32,bit[$16$]bit_32,fixed[$16$]byte_32,fixed[$16$]bit_32,byte[$16$]bit_32,fixed[$20$]fixed_32,byte[$20$]byte_32,bit[$20$]bit_32,fixed[$20$]byte_32,fixed[$20$]bit_32,byte[$20$]bit_32,fixed[F]_64,fixed[$\ell$]_64,byte[F]_64,byte[$\ell$]_64,bit[F]_64,bit[$\ell$]_64,fixed[$16$]fixed_64,byte[$16$]byte_64,bit[$16$]bit_64,fixed[$16$]byte_64,fixed[$16$]bit_64,byte[$16$]bit_64,fixed[$16$]fixed_64,byte[$16$]byte_64,bit[$16$]bit_64,fixed[$16$]byte_64,fixed[$16$]bit_64,byte[$16$]bit_64,fixed[$20$]fixed_64,byte[$20$]byte_64,bit[$20$]bit_64,fixed[$20$]byte_64,fixed[$20$]bit_64,byte[$20$]bit_64,Prezza
640,25.826609,27.190762,27.890999,28.372447,29.031973,29.287048,29.295835,30.845671,31.175804,31.214751,31.579759,31.590486,31.149414,18.633868,19.656812,19.464022,20.965980,20.796435,20.972943,22.313377,22.165643,23.094065,23.369044,23.671100,24.095935,23.382911,18.667303,19.753229,19.544904,21.120312,20.664158,21.012504,22.226194,22.210541,23.256152,23.408454,23.577775,24.164513,23.479546,18.777115,19.762689,19.523281,21.122524,20.470438,21.115437,22.216591,22.210585,22.908165,22.805461,24.677570,24.614718,22.855583,58.671704
1280,26.709778,28.399974,29.000223,29.705252,30.461574,30.480566,29.870570,31.907690,32.266676,32.447217,32.640652,32.780032,32.399978,21.511537,23.189035,23.479596,25.415486,25.056178,25.707284,25.782246,26.395873,27.499378,27.471710,27.552345,28.429048,27.453158,18.621360,19.886047,19.625764,20.929554,20.699353,20.994450,22.195505,22.253354,23.036607,23.378779,23.578799,24.160155,23.322660,18.719886,19.817116,19.554818,21.130501,20.468978,21.247741,22.127294,22.286321,23.009291,22.786520,24.081772,24.652959,22.805974,59.188431
1920,26.575602,28.221370,28.812140,29.449080,30.288835,30.208791,30.120325,31.541159,31.750049,31.952976,32.186055,32.241862,31.871408,23.882870,24.825442,24.991037,25.534597,25.643735,26.020247,27.411243,27.509696,28.187328,28.236098,28.632406,28.998833,28.273369,18.391825,19.639341,19.392012,20.647733,20.466348,20.730553,21.910567,21.983808,22.811390,23.131208,23.294535,23.920861,23.123776,18.474273,19.550169,19.318837,20.940077,20.244290,21.151754,21.906936,21.995757,22.534508,22.550381,23.647173,24.182362,22.514584,58.055185
2560,27.332857,29.043469,29.650042,30.508031,31.190969,30.937468,30.363406,32.373884,32.824393,32.997096,33.190656,33.525900,33.024769,23.177401,23.842781,23.957903,24.435793,24.437669,24.729383,26.395145,27.185127,27.555992,27.884450,28.285766,28.638316,27.854039,21.523029,23.116649,23.048128,24.899817,24.900860,25.425290,25.420165,26.546600,27.218241,27.268067,27.377048,28.145126,27.186742,18.462435,19.615219,19.328787,20.889874,20.243908,21.053796,21.905072,21.980698,22.595096,22.540443,23.547569,24.082675,22.507560,57.932999
3200,27.428976,29.765837,29.585940,30.447066,31.114370,30.833595,30.685728,32.357185,32.775545,32.962189,33.139010,33.412908,32.891498,24.581292,26.161463,26.161248,26.243621,26.418056,26.588006,26.488371,27.983784,28.658055,28.739924,29.229935,29.772114,28.715060,24.344907,25.588182,25.768894,25.961306,26.110062,26.158761,27.088732,27.516282,28.063575,28.016870,28.280342,28.912841,28.043624,20.367736,21.978824,21.210663,23.140593,21.905503,23.173622,22.802974,23.214271,23.122622,22.986965,23.470218,24.036270,22.991474,57.964726
3840,27.131854,28.883720,29.371027,30.172592,30.922049,30.692336,30.291978,32.163765,32.573264,32.776743,32.886951,33.182111,32.758717,24.542430,25.378897,26.047713,26.559513,26.612934,26.909379,28.247819,29.082831,29.649736,29.610073,30.154322,30.561924,29.611325,23.951602,24.819018,25.060169,25.728284,25.935014,25.870609,26.987061,27.613149,28.100213,28.060554,28.362098,28.905469,28.039850,18.445231,19.631296,19.262418,20.861931,20.220365,21.080034,21.938169,21.965971,22.554091,22.547838,23.340198,24.039944,22.528082,57.972505
4480,28.040553,29.832146,30.389661,31.296836,31.968429,31.887024,30.945308,32.846281,33.439391,33.750669,33.817935,34.254709,33.673828,25.226175,25.809074,26.477513,27.022407,27.008266,27.640589,28.909898,29.296821,29.862370,29.765337,30.390153,30.685489,29.763037,23.645836,24.410871,24.530213,25.095476,25.309145,25.226181,26.456125,27.410272,27.817857,27.818779,28.230494,28.691908,27.812685,20.489045,22.257882,22.133705,24.448044,23.848889,24.769533,23.795029,25.393050,26.077827,26.151385,26.185203,27.206519,26.118908,59.174546
5120,27.891980,29.818945,30.360547,31.293344,31.959425,31.799751,30.781181,32.887881,33.459578,33.610587,33.697790,34.161561,33.618939,23.933470,24.818652,25.503675,26.302778,26.174441,26.567107,27.714708,28.445435,29.104468,29.017922,29.527218,29.982157,29.092080,23.004908,23.669868,23.797329,24.468851,24.543159,24.643617,26.085835,27.140877,27.491036,27.556232,27.925284,28.382609,27.588443,21.604378,23.009611,23.069791,25.356966,24.576303,25.644500,25.525682,26.487009,27.094863,27.200220,27.412943,28.276385,27.176302,57.907649
5760,27.958744,29.723016,30.331890,31.181347,31.888022,31.684787,30.958794,32.813486,33.422086,33.604093,33.736390,34.114626,33.590612,24.413706,25.193984,25.833167,26.866554,26.464159,26.917517,28.227867,28.686823,29.333555,29.213289,29.776299,30.099376,29.254881,22.442979,23.206826,23.243355,23.968818,24.090042,24.156740,25.467084,26.782412,27.155027,27.292601,27.624784,28.076671,27.249490,22.441142,23.842399,23.890655,25.719196,25.230994,26.030447,25.287996,27.066802,27.616785,27.743758,28.004567,28.801430,27.731008,57.917804
6400,27.828567,29.667571,31.170565,31.446635,32.401481,31.887564,30.775668,33.296800,33.727790,34.158002,34.349514,34.788546,34.158579,24.809308,25.508221,26.120021,26.803848,26.670431,27.194736,27.864340,28.831608,29.398822,29.329780,29.789355,30.234865,29.280746,23.487604,24.772343,24.880007,26.946138,26.457053,26.368464,26.146221,28.129993,28.609509,28.828231,28.997080,29.405556,28.800066,23.136304,24.392166,24.457078,25.862610,25.696992,26.112560,27.020927,27.367659,27.939372,28.011423,28.233431,29.110042,28.063184,57.946145
