Elements,fixed[F]holes,byte[F]holes,bit[F]holes,fixed[F]noholes,byte[F]noholes,bit[F]noholes
2400,42.330850,47.524070,50.797390,41.959400,45.403100,51.358570
2600,42.286830,47.190500,50.810210,41.916610,45.580600,51.670290
2800,42.348870,47.226360,50.886450,41.869940,45.332350,51.124510
3000,42.213390,47.284810,50.617870,41.870900,45.243870,50.798430
3200,42.916960,47.577070,50.896550,41.962520,45.391360,51.044110
3400,42.384440,47.448670,50.666150,41.899290,45.309200,50.950460
3600,42.530730,47.195340,50.944400,41.871670,45.349840,50.954960
3800,42.197320,47.142060,50.833390,41.828970,45.279980,50.818830
4000,42.473840,47.365530,50.828260,42.091030,45.464340,50.775160
4200,42.919470,48.309400,51.798950,42.567340,46.197850,51.973210
4400,42.874250,48.280760,51.880590,42.351740,46.188050,51.941380
4600,43.162490,48.039180,51.918160,42.555060,46.058020,51.798910
4800,42.807110,48.413960,52.554840,42.345840,46.103640,51.826460
5000,42.784780,48.101110,52.407240,42.265410,46.062500,51.972840
5200,42.801490,48.245190,51.552910,42.297620,46.148650,51.827330
5400,42.809080,48.269160,52.145060,42.285540,46.041130,51.883670
5600,43.041970,47.997850,51.556500,42.260570,45.975000,51.718810
5800,43.302980,48.196080,51.501380,42.221890,45.971250,51.679820
6000,42.973720,48.201180,51.649890,42.210820,45.945900,51.623000
6200,43.096690,48.238270,52.131920,42.319890,46.246230,52.606700
6400,43.071090,48.252210,51.869190,42.298040,46.133940,51.788190
6600,42.705820,48.040100,51.549210,42.256000,45.993890,51.703860
6800,42.983460,47.991050,51.866970,42.239980,45.989850,51.701090
7000,43.300050,48.602010,51.490010,42.249570,45.962810,51.704430
7200,43.008180,48.327290,51.483990,42.253590,46.037000,51.666070
7400,42.990600,48.072320,51.739680,42.175710,45.942240,51.671950
7600,43.043030,49.003340,51.854170,42.263350,45.924920,51.847190
7800,42.680360,47.853930,51.632440,42.193860,45.896250,51.592590
8000,42.946990,47.907780,51.359300,42.166450,45.899630,51.626540
8200,43.787100,49.538680,53.002970,42.739340,46.922300,52.731650
8400,43.549260,49.324550,52.836270,42.675850,47.047460,52.717430
8600,43.429050,49.086270,52.555310,42.696910,46.903090,52.806470
8800,43.450930,48.965890,52.593570,42.970190,46.825700,52.599510
9000,43.370850,48.772380,52.608320,42.631450,46.767370,52.659870
9200,43.380530,49.274350,53.138090,42.593720,46.708500,52.510280
9400,43.669080,48.897860,52.876390,42.658560,46.776490,52.573260
9600,43.374340,48.936980,52.494620,42.925350,46.785180,52.572560
9800,43.756850,48.826110,52.671570,42.912780,46.785430,52.560080
10000,43.254180,48.876590,52.945570,42.574640,46.679920,52.516460
13000,43.591850,49.152510,52.675550,42.617410,47.035790,52.475590
16000,43.494640,48.382690,52.031180,42.592390,46.546570,52.323400
19000,44.422640,50.489270,55.684740,43.308540,47.501890,53.542040
22000,43.534010,49.429460,53.002730,42.975780,47.328900,53.195550
25000,43.822210,49.359030,53.369120,43.067700,47.394550,53.318500
28000,43.782530,50.055400,53.943950,42.965840,47.245270,53.196410
