Elements,fixed[F]holes,byte[F]holes,bit[F]holes
100,31.880000,46.870000,32.430000
110,31.272727,38.400000,152.745455
120,144.525000,37.025000,24.983333
130,22.407692,36.615385,26.853846
140,21.964286,32.464286,21.957143
150,22.773333,36.300000,23.006667
160,108.150000,29.943750,21.187500
170,17.141176,28.523529,19.294118
180,16.200000,106.294444,24.044444
190,15.715789,29.694737,20.236842
200,14.895000,30.210000,22.865000
210,82.795238,23.933333,16.457143
220,14.081818,27.668182,21.450000
230,76.304348,27.478261,20.130435
240,46.800000,22.525000,15.470833
250,12.404000,21.544000,16.048000
260,12.676923,20.450000,14.892308
270,11.929630,20.518519,15.970370
280,11.728571,20.525000,14.521429
290,11.200000,19.534483,14.920690
300,10.546667,19.336667,14.220000
310,10.448387,19.341935,14.551613
320,54.325000,18.934375,14.393750
330,13.521212,20.696970,16.645455
340,9.711765,17.358824,14.814706
350,9.274286,18.022857,13.291429
360,8.936111,17.497222,13.222222
370,8.921622,17.248649,13.602703
380,8.655263,16.544737,12.710526
390,8.300000,16.274359,12.928205
400,8.410000,15.895000,48.565000
410,8.597561,16.541463,13.029268
420,7.726190,18.873810,14.533333
430,42.213953,17.134884,13.676744
440,7.538636,18.213636,15.245455
450,39.455556,15.962222,14.535556
460,7.471739,47.232609,13.071739
470,7.685106,16.100000,14.006383
480,36.964583,15.804167,12.866667
490,7.077551,15.659184,12.493878
500,7.656000,14.716000,11.990000
510,7.064706,15.672549,11.952941
520,35.159615,14.644231,11.500000
530,7.986792,48.333962,11.856604
540,8.112963,14.320370,12.079630
550,7.776364,16.047273,13.705455
560,8.201786,39.437500,11.425000
570,32.417544,15.573684,12.929825
580,7.500000,13.991379,11.072414
590,7.162712,16.352542,13.354237
600,7.818333,13.538333,34.495000
610,7.245902,14.116393,34.950820
620,30.225806,13.662903,11.037097
630,29.568254,13.719048,11.871429
640,6.943750,13.646875,11.323438
650,6.726154,13.524615,11.493846
660,7.225758,13.472727,10.815152
670,27.768657,13.232836,11.458209
680,27.686765,13.430882,11.326471
690,27.104348,13.946377,12.039130
700,6.657143,13.460000,11.391429
710,6.605634,13.228169,10.674648
720,26.261111,12.893056,10.666667
730,6.356164,14.402740,12.058904
740,25.610811,12.867568,10.728378
750,6.133333,31.948000,10.652000
760,5.982895,13.857895,11.956579
770,24.746753,12.544156,10.363636
780,24.212821,12.605128,10.580769
790,6.278481,12.512658,10.260759
800,5.850000,12.700000,10.407500
810,5.874074,12.402469,27.843210
820,5.734146,12.428049,10.545122
830,5.592771,12.157831,10.534940
840,5.469048,12.165476,10.377381
850,5.440000,12.745882,10.704706
860,5.503488,12.353488,26.954651
870,5.451724,12.032184,10.055172
880,21.515909,12.106818,10.351136
890,5.256180,12.048315,10.070787
900,5.398889,12.038889,10.212222
910,21.098901,12.129670,9.939560
920,5.113043,12.020652,10.263043
930,5.154839,12.012903,10.018280
940,5.137234,11.965957,10.120213
950,19.977895,11.771579,10.150526
960,5.451042,11.823958,24.801042
970,19.563918,11.746392,10.063918
980,5.252041,26.250000,10.021429
990,4.974747,11.677778,10.179798
1000,4.900000,11.666000,10.297000
1200,16.767500,11.140833,9.704167
1400,4.549286,10.757143,9.387143
1600,13.354375,30.521875,9.151250
1800,4.683889,10.907778,9.697222
2000,3.940500,9.967000,9.052500
2200,10.557727,10.392727,9.395000
2400,10.143750,9.815000,14.883333
2600,9.405385,21.315000,8.907308
2800,6.593214,9.660357,8.800714
3000,8.640333,9.452000,8.712000
3200,3.723125,9.509375,8.573438
3400,8.079118,9.820588,8.530000
3600,3.627500,9.688333,8.548056
3800,7.233158,9.617895,8.439474
4000,3.355750,9.562000,8.505000
4200,3.468333,9.484524,8.641905
4400,6.554773,9.543636,8.681364
4600,3.523261,9.414348,11.600000
4800,11.350000,9.378333,8.537500
5000,3.562800,9.334400,8.514200
5200,6.373846,9.306346,8.527115
5400,8.263148,9.292778,8.452222
5600,3.490536,9.260536,8.483036
5800,5.925172,9.217759,8.466207
6000,5.851333,9.182833,8.445000
6200,3.518387,9.116290,8.385000
6400,5.715625,9.105937,10.612344
6600,5.577273,9.348939,8.382576
6800,5.579559,9.377647,8.380735
7000,5.438714,9.268143,8.351143
7200,5.377083,9.268333,8.342778
7400,3.412703,9.243243,8.303919
7600,5.169605,9.290395,8.332368
7800,5.304359,9.184231,8.283590
8000,5.156875,9.205250,8.857750
8200,5.240610,9.148659,8.399634
8400,3.426548,9.115357,8.617976
8600,3.431163,9.125349,8.340116
8800,5.001932,9.090455,8.358409
9000,4.942222,9.089222,8.323000
9200,3.268804,9.079130,8.352174
9400,3.287553,9.043617,8.307660
9600,4.747187,9.042813,8.305104
9800,3.281837,9.196633,8.308367
10000,4.700100,9.162300,8.320600
13000,3.245692,8.985308,8.355308
16000,3.678562,8.999750,8.238437
19000,4.073053,10.391947,9.660526
22000,4.886500,9.979045,9.089364
25000,3.807640,9.398200,8.681760
28000,3.940071,9.903857,8.666643
31000,3.202806,9.249065,9.561226
34000,3.874412,9.552324,9.725676
37000,3.302243,9.194027,8.437865
40000,4.307500,9.323675,8.520800
43000,3.653977,9.817535,9.116791
46000,3.620478,9.278413,8.482717
49000,3.645633,9.079796,8.277204
52000,4.417769,9.223904,8.406442
55000,3.834273,9.069909,8.805491
58000,3.687586,9.119086,8.325707
61000,3.915557,9.099967,8.354754
64000,3.916844,8.997312,8.193047
67000,3.909328,9.097000,8.266075
70000,3.846729,8.963443,8.179643
73000,3.952192,9.056247,8.229945
76000,4.097697,9.054237,8.269803
79000,3.973468,8.994544,8.261709
82000,3.618098,8.996098,8.226512
85000,3.666612,9.019247,8.240635
88000,3.831227,8.890659,8.096318
91000,4.292077,8.972286,8.185505
94000,3.762787,8.952202,8.177319
97000,3.607062,8.969247,8.171010
100000,3.901770,8.936820,8.158300
140000,3.584600,8.873450,8.122321
180000,3.606922,8.851717,7.995200
220000,3.637173,8.813500,8.021109
260000,3.916412,8.790596,8.205965
300000,3.782177,8.859303,8.083863
340000,3.724188,8.949559,8.013141
380000,3.681829,8.851513,7.972824
420000,3.737224,8.787417,8.063645
460000,3.772533,8.744800,7.980854
500000,3.825750,8.946370,8.005108
540000,3.801196,9.017570,7.998224
580000,3.919055,9.045395,7.996072
620000,3.941713,8.822505,8.042124
660000,3.817452,8.783383,7.981105
700000,3.999933,8.947276,8.036516
740000,4.189855,8.861085,7.985616
780000,4.018974,8.880438,8.034132
820000,4.021206,8.785323,7.991630
860000,3.971656,8.864586,8.037643
900000,4.035112,8.747201,7.994384
940000,4.230730,8.881318,8.096116
980000,4.171705,8.779748,8.002636
1000000,4.186955,8.783811,8.125617
1500000,4.451581,8.761288,8.033688
2000000,4.698197,8.793760,8.077652
2500000,4.778673,8.759832,8.077190
3000000,4.863110,8.801017,8.088792
3500000,4.932167,8.744317,8.077655
4000000,4.952906,8.892997,8.102624
4500000,4.984513,8.770562,8.123699
5000000,4.996151,8.816253,8.218461
5500000,5.085272,8.787477,8.167117
6000000,5.033461,8.832728,8.231537
6500000,5.027787,8.830470,8.182499
7000000,5.025710,8.888783,8.202370
7500000,5.039136,8.861858,8.205881
8000000,5.029348,8.924498,8.204298
8500000,5.026429,8.882599,8.255088
9000000,5.073477,8.886386,8.217741
9500000,5.053870,8.878504,8.231777
10000000,5.083144,8.901345,8.244604
16000000,5.077567,8.931367,8.296429
22000000,5.112246,8.950291,8.335560
28000000,5.089740,8.946769,8.330692
34000000,5.096687,8.951222,8.362786
40000000,5.113572,8.950935,8.357109
46000000,5.094900,8.942299,8.356052
52000000,5.091526,8.944873,8.366246
58000000,5.102028,8.958100,8.369344
64000000,5.090545,8.947905,8.371691
70000000,5.098493,8.961747,8.366028
76000000,5.083364,8.947136,8.369409
82000000,5.104192,8.950105,8.378296
88000000,5.092192,8.967108,8.409956
94000000,5.109546,8.958826,8.386763
100000000,5.094763,8.955243,8.385276
170000000,5.099736,8.952688,8.388269
240000000,5.083294,8.941545,8.390488
310000000,5.091389,8.944896,8.397209
380000000,5.077915,8.953090,8.396811
450000000,5.086377,8.946372,8.396733
520000000,5.081198,8.947667,8.393100
590000000,5.072915,8.939929,8.383791
660000000,5.069490,8.941043,8.387158
730000000,5.078548,8.941741,8.381830
800000000,5.096591,8.948175,8.386758
870000000,5.080387,8.940589,8.395871
940000000,5.081218,8.944034,8.387682
1000000000,5.087108,8.942374,8.387656
1800000000,5.097053,8.952346,8.378779
2600000000,5.084650,8.938900,8.377474
3400000000,5.095205,8.949420,8.377793
