Elements,fixed[F]holes,byte[F]holes,bit[F]holes,fixed[F]noholes,byte[F]noholes,bit[F]noholes
100,38.156860,43.116340,44.380270,36.682470,39.222920,41.270200
110,37.663560,42.368650,43.190870,39.246640,42.740800,44.407490
120,36.800800,42.246890,42.918890,36.861830,40.987250,43.166540
130,40.090440,45.537480,45.162330,40.067390,43.660600,44.891090
140,39.738970,45.495660,44.902360,39.909890,43.460840,44.383980
150,40.621060,45.469570,45.295330,38.664620,40.926730,42.565670
160,38.676470,43.620730,43.944380,39.223270,42.962940,44.705240
170,38.260150,44.134770,44.064230,37.262590,40.768760,42.172680
180,38.716060,44.118590,44.400120,39.743890,43.275830,45.211210
190,39.096730,45.812740,46.109450,38.452460,42.628570,44.924030
200,40.156190,44.895010,45.462410,39.624330,42.751960,44.469710
210,38.838500,44.258900,44.686110,38.958240,42.867520,44.002480
220,38.246290,43.557800,44.024540,38.286760,42.725870,44.817980
230,40.612720,46.568950,46.788840,38.027880,41.434650,43.363610
240,38.694990,44.648930,45.037410,39.589270,43.849480,45.564770
250,39.683800,45.866740,46.396610,39.861440,43.768220,45.331850
260,41.395020,48.003840,46.581610,41.638090,46.470560,46.766820
270,44.023910,51.113430,49.777110,40.776830,46.072320,46.776390
280,40.884490,47.543290,46.225660,40.843920,46.851450,46.130850
290,42.417630,49.743250,48.741550,41.562170,46.697440,46.765030
300,41.652670,48.260610,47.202640,41.634500,46.455040,47.072440
310,43.418230,51.184510,50.016140,40.180470,45.672850,46.613000
320,41.759760,48.765150,48.053020,41.685010,46.614750,46.824890
330,41.728820,48.574140,47.238050,40.609090,45.484040,46.244150
340,42.402510,48.703020,47.744830,41.404430,45.708580,46.300320
350,42.263710,49.395280,48.898650,41.135650,46.320340,48.347730
360,41.325520,48.107700,47.116940,39.996280,45.393240,46.204950
370,39.967600,46.645310,46.785760,41.634210,46.558090,47.648800
380,42.426700,50.221590,49.787560,41.781940,46.520440,47.898100
390,41.140160,48.173540,47.684030,40.464910,45.557260,46.870660
400,41.661200,48.745110,48.129400,40.398380,45.693220,46.779060
410,42.545340,49.931320,49.070450,41.903910,47.082940,48.095960
420,43.013190,49.308210,49.035950,40.951480,45.962850,46.808050
430,41.274380,48.493470,48.104040,41.728080,47.919530,49.059890
440,42.744960,49.971530,48.837240,41.933220,47.699890,48.249360
450,41.948130,48.319030,47.821150,41.583130,46.218550,47.329090
460,42.830810,50.041620,49.483090,41.272580,46.422390,47.608960
470,43.260960,50.770000,50.731000,41.596850,46.903470,47.915910
480,41.672440,48.702720,48.125730,40.405250,46.013210,46.950470
490,41.815220,48.998710,48.555710,40.722350,46.318030,47.407460
500,42.305070,49.245440,49.095910,40.617190,46.376770,47.577690
510,43.046250,50.666100,50.282380,40.719400,47.167170,48.746110
520,46.314390,54.291800,52.126460,44.928050,51.641920,50.688150
530,46.069360,53.525010,51.802350,44.599650,50.771830,49.897730
540,46.320330,54.820440,53.195580,44.053790,50.571390,50.126200
550,45.436750,53.557480,51.473740,44.504450,50.998320,50.422560
560,45.933810,53.943060,51.822010,43.663110,50.235160,49.615300
570,45.231860,53.700350,52.091120,43.610250,50.795720,50.145760
580,45.046020,52.881330,50.457830,43.857580,50.592650,49.784760
590,45.332440,53.681170,52.265030,44.721980,51.511290,51.308650
600,44.845390,53.254160,51.441540,43.360740,48.860110,48.684240
610,45.518570,52.655430,51.046250,44.147260,50.761050,51.859390
620,45.484090,53.351960,52.202020,44.107330,50.455770,50.501230
630,44.768480,52.882800,52.212000,44.723810,50.566200,51.234600
640,44.654830,52.565560,51.022060,43.799500,50.169000,49.982060
650,45.512390,52.791500,51.526440,42.772190,49.188980,48.739360
660,44.836140,53.213860,51.479530,45.620130,50.247570,50.265820
670,44.463420,52.700210,51.437410,44.148690,50.100020,50.782580
680,45.941170,53.108870,51.751580,43.504380,49.461480,49.412450
690,45.149070,52.977970,51.828150,43.542610,50.269420,50.416880
700,45.379790,52.336410,51.513550,43.043460,49.406790,50.134370
710,45.054290,53.007380,51.900050,43.948410,50.725890,50.867980
720,43.508180,50.977090,49.939740,42.580700,49.352220,49.461960
730,44.254770,52.170510,51.554940,42.756590,49.537590,50.272810
740,44.275620,52.011550,51.277350,43.042630,49.423450,49.912320
750,45.169220,53.045660,52.600060,43.944310,50.198370,51.203590
760,43.704680,52.270720,51.348590,43.428260,50.332620,51.282830
770,46.327820,54.855820,53.459210,44.294590,51.330850,51.293010
780,45.714300,53.037050,51.809960,43.690280,49.988360,50.231860
790,44.680820,53.124300,51.583470,44.166780,51.177240,51.587530
800,44.383030,52.447240,51.135460,43.372570,49.927490,50.266720
810,45.173590,53.338670,51.885080,43.957410,50.523650,51.023080
820,44.986250,53.098740,51.461880,43.398540,50.446710,50.668820
830,45.357520,54.225990,53.587470,44.256730,51.884250,52.874810
840,44.613060,53.183380,51.840820,43.720450,50.544050,50.979880
850,45.121050,53.283760,51.818610,43.308710,50.339220,50.739600
860,44.820190,53.949070,52.526070,44.145250,51.200560,51.887610
870,44.373720,52.869970,52.141440,43.470370,50.471420,51.135570
880,44.085330,52.549600,50.964490,42.413730,49.628780,50.196280
890,45.093070,54.470610,53.582310,43.824920,51.263560,52.404420
900,44.919490,52.907560,51.992660,43.603860,50.130870,51.015430
910,45.169050,54.000460,52.815850,44.069740,51.063660,52.000020
920,44.763190,53.291040,52.020410,43.571400,51.045520,51.563050
930,44.367490,52.612820,51.759070,42.987310,50.301030,50.826690
940,44.530290,52.718370,52.135000,43.161060,50.030440,50.821590
950,45.291880,53.632720,53.069770,44.023910,51.449230,52.603560
960,44.787480,54.694210,52.401320,43.177030,50.437850,51.362210
970,45.266220,53.974160,53.143120,44.109160,51.307710,52.019410
980,44.219280,53.347070,52.218710,43.022980,50.526050,51.571840
990,44.538980,54.491520,53.865230,43.058980,50.862400,52.198630
1000,45.226240,53.935380,52.838400,43.675020,51.390300,52.222010
1200,48.264930,57.205730,55.466520,46.141830,53.522100,53.348000
1400,47.842270,57.310290,55.590390,45.984720,54.187260,54.944350
1600,48.041590,56.214900,55.666170,46.093650,53.881880,54.621820
1800,47.388130,56.174950,55.499110,45.300570,52.783110,54.428990
2000,46.405430,56.046440,55.421960,45.098660,53.348410,55.244490
2200,50.409170,58.887330,57.843190,49.078030,57.891700,58.343090
2400,49.735010,58.374350,57.809470,49.507850,57.049650,58.194000
2600,50.227800,58.878380,58.527830,48.735430,56.477440,57.681250
2800,49.526550,58.405570,58.514010,47.897520,56.422900,58.535010
3000,50.241880,59.753900,59.616280,47.769680,56.394820,59.744630
3200,50.490440,58.889340,58.949750,47.993340,56.066920,58.015830
3400,49.296220,58.004470,58.360890,47.787710,56.380810,58.353660
3600,49.440730,58.662700,59.308200,47.649460,55.187060,57.801940
3800,49.800930,58.915070,59.740500,47.306250,55.876830,59.146260
4000,49.645570,58.870780,59.750400,47.654140,55.971760,59.378680
4200,52.338620,61.442750,61.167750,51.082500,59.220000,60.926090
4400,53.470510,61.602480,61.594330,51.404950,59.518260,60.751800
4600,52.752730,62.561360,63.102570,50.593680,59.152500,61.973110
4800,52.518870,61.673270,62.708960,50.740330,58.758560,60.723800
5000,53.488660,61.437450,62.658380,51.007950,58.666940,61.045900
5200,53.845560,61.739470,61.529740,50.947860,58.759060,60.541600
5400,52.810490,61.459040,61.953850,51.822150,58.447190,60.581570
5600,53.649590,61.467860,62.379410,52.185950,59.221840,61.717350
5800,53.421500,62.342830,62.279220,50.940010,58.768340,61.000450
6000,54.154330,62.119220,63.450440,51.646820,57.857380,61.394190
6200,53.729530,63.081480,62.330740,52.270210,59.905210,62.176920
6400,53.516920,60.914260,61.738430,51.744470,58.431180,60.650700
6600,53.428110,61.391160,62.529420,51.242590,58.697870,61.648640
6800,54.362600,61.035750,62.543530,51.775360,58.944520,61.482930
7000,53.193100,61.440030,62.655930,51.689110,58.573170,62.303360
7200,53.752210,61.108190,62.170920,51.615430,58.297210,61.328730
7400,53.799390,61.813440,63.065550,51.424220,58.889130,62.535540
7600,53.517190,61.857520,62.822390,51.914710,59.089040,62.468240
7800,53.881000,62.313520,63.831000,51.777800,58.795390,62.969380
8000,54.004770,61.026220,62.663410,52.076800,58.497580,62.372460
8200,57.805010,64.615020,64.702820,55.471000,62.340720,63.662300
8400,56.946260,64.537580,65.050140,55.579860,62.287660,64.081640
8600,57.458390,64.792500,65.630540,55.343100,62.436860,64.402830
8800,57.401150,64.501620,64.393890,54.859880,61.990190,63.735760
9000,57.618400,64.406230,65.149740,56.299100,62.718740,64.644650
9200,56.503860,64.908000,66.289760,55.210190,62.408330,65.743860
9400,57.483040,64.381190,65.490970,55.088220,62.311450,64.744160
9600,57.420430,64.455090,64.508880,54.664890,61.384580,63.374990
9800,57.574550,64.434850,65.660560,55.541310,61.864330,63.824920
10000,57.878580,64.331130,65.113270,55.546250,61.484300,63.995890
13000,57.771050,65.911170,65.600900,56.380830,61.686110,64.579470
16000,57.524230,64.069640,65.597220,55.389320,60.848500,64.524830
19000,63.318810,68.693200,69.740110,60.043080,64.905440,67.526040
22000,62.302510,68.179720,69.441840,59.910570,64.595370,68.685350
25000,61.561370,68.096270,68.326980,60.654420,65.006430,67.701370
28000,62.686910,68.759190,69.898920,59.159490,64.386900,68.185020
31000,62.117010,67.198780,68.498340,60.805690,64.197700,68.152530
34000,66.486030,71.034210,71.411290,64.500520,68.928800,70.731570
37000,69.206780,72.356290,70.954540,66.743840,68.589730,70.082500
40000,68.676100,70.563750,71.047470,66.795050,67.631290,70.598660
43000,70.505380,72.395990,74.387960,67.607870,68.433380,73.898680
46000,70.930700,70.856460,72.410460,67.292780,67.410640,72.472740
49000,70.688180,72.301750,73.674620,68.767090,67.423520,73.287920
52000,72.559180,71.321930,71.999040,68.833000,67.558980,71.770660
55000,72.580440,71.849070,73.781860,70.759150,68.130080,73.544210
58000,73.865980,71.084800,72.155350,70.717680,67.765840,72.222860
61000,74.136080,71.433720,73.269350,71.299400,68.087000,73.125570
64000,74.280700,71.556430,72.646570,71.709200,67.290340,72.374550
67000,79.431780,75.754920,77.046870,76.876650,72.406620,77.210650
70000,79.333420,74.224770,75.890940,76.371730,71.560750,75.333310
73000,80.264130,74.931670,76.538120,76.757340,71.828060,76.101650
76000,80.717330,74.912910,76.243260,78.546940,71.593700,75.421330
79000,81.127850,74.864680,77.056560,78.372090,71.475120,76.692600
82000,82.156310,74.756900,74.763600,78.236650,71.283590,75.126450
85000,82.499450,74.310860,75.027270,78.848790,71.150170,75.390130
88000,81.631400,74.607470,77.249920,78.908450,71.028730,77.392760
91000,83.292570,75.151960,78.062020,79.802070,71.552220,78.075460
94000,83.697630,75.436280,77.706070,79.816620,71.106960,77.690090
