Elements,fixed[F]holes,byte[F]holes,bit[F]holes,fixed[F]noholes,byte[F]noholes,bit[F]noholes
2400,30.396330,34.625010,38.567600,28.109330,32.394160,36.985130
2600,30.200680,34.546070,38.599260,28.173830,32.441210,37.045360
2800,30.444050,34.616100,38.597420,28.025360,32.458110,37.043730
3000,30.380360,34.715790,38.736700,28.051710,32.849240,37.088450
3200,30.593840,34.738540,38.886750,28.255520,32.618060,37.223320
3400,30.581820,34.828240,39.123280,28.053460,32.620630,37.284680
3600,30.625740,35.018990,39.081960,28.210040,32.752020,37.498460
3800,30.629170,35.008470,39.152720,28.286260,32.757100,37.699850
4000,31.049640,35.451500,39.370840,28.275400,32.949140,37.647070
4200,30.888720,35.387580,39.532850,28.589700,33.077520,37.882740
4400,30.845970,35.359950,39.481100,28.648820,33.047630,37.847840
4600,30.948320,35.358070,40.283820,28.521170,33.135150,37.753170
4800,30.962460,35.607720,39.485140,28.513780,33.126140,37.716050
5000,30.541030,35.588690,40.059910,28.508490,33.015710,37.803910
5200,30.714950,35.653600,40.126470,28.484090,33.104950,37.850940
5400,30.801280,35.548880,39.558470,28.513070,33.055010,37.812050
5600,30.565830,35.380620,39.523630,28.460500,33.081130,37.792190
5800,30.628310,36.036130,39.876250,28.482710,33.215880,37.922150
6000,30.852850,35.568000,39.674080,28.464170,33.154360,38.015410
6200,30.900620,35.564080,40.285120,28.577560,33.289190,38.120580
6400,30.954400,35.678360,40.367290,28.609980,33.260840,38.110460
6600,30.922850,35.944180,39.929170,28.474730,33.273730,38.402530
6800,30.846170,35.823470,40.024690,28.580990,33.409860,38.113990
7000,30.952000,35.872190,40.382770,28.613100,33.333360,38.219920
7200,30.986540,36.149350,40.615420,28.684930,33.555020,38.283430
7400,30.434980,35.833550,40.299570,28.645590,33.495400,38.240040
7600,30.928170,35.869780,40.042340,28.485380,33.457410,38.353140
7800,31.006430,35.994440,40.434620,28.585400,33.645920,38.411710
8000,31.130360,36.000730,40.306810,28.779570,33.628950,38.444430
8200,31.103250,36.267220,40.780870,28.805770,33.768040,38.725070
8400,30.688810,36.221240,40.466470,28.867720,33.751150,38.655180
8600,31.191460,36.174590,40.706180,28.881050,33.839510,38.662530
8800,31.178090,36.394090,40.456990,28.890630,34.070790,38.524520
9000,31.174680,36.117920,40.404920,28.845080,33.704500,38.617860
9200,31.172060,36.401500,40.842400,28.917020,33.765930,38.618730
9400,31.154310,36.203260,40.412390,28.782200,33.795920,38.618140
9600,31.185550,36.410340,40.487840,28.839470,33.679410,38.601070
9800,31.163230,36.155100,40.571160,28.861130,33.732360,38.584190
10000,31.132910,36.407350,40.328400,28.796210,33.817080,38.621060
13000,31.566270,38.170800,41.547030,28.785940,33.955550,38.956720
16000,31.346250,37.231670,41.160000,29.075280,34.335130,39.356210
19000,31.861070,37.871460,42.183360,28.628270,34.409150,39.366670
22000,31.547030,37.126450,41.443090,29.141780,34.623570,39.493180
25000,31.247860,37.087840,41.622980,28.909630,34.741860,39.746150
28000,31.738490,37.894710,42.087410,29.222970,35.104310,39.725920
31000,31.361710,37.645460,42.062070,29.346780,35.051700,40.071760
34000,31.355950,38.939840,42.630180,28.937540,35.257150,40.274940
37000,31.740130,38.020000,42.330290,28.972290,35.258550,40.307230
40000,31.783180,37.806610,42.312960,29.250850,35.302300,40.349280
43000,31.573300,37.820460,42.303660,29.564550,35.316570,40.347180
46000,31.700940,38.257110,42.255960,29.604150,35.370730,40.489780
49000,31.383390,38.339940,42.648390,29.621470,35.590800,40.611590
52000,31.754860,38.189110,42.482140,29.322630,35.627660,40.717710
55000,31.767820,38.150170,42.745620,29.510320,36.277950,40.751360
58000,31.777790,38.624940,42.685950,29.679170,35.749030,40.943300
61000,31.871840,38.556530,42.841620,29.714480,36.636930,40.966080
64000,31.550680,38.572250,42.885010,29.882570,36.050600,41.182530
67000,32.240870,38.741100,43.126050,30.032520,36.100050,41.256340
70000,32.173590,38.662610,42.969730,29.896730,36.050730,41.200420
73000,32.045210,39.023280,43.328500,29.616870,36.053920,41.270660
76000,32.073740,38.792740,43.374350,29.873500,36.088720,41.219320
79000,32.047290,39.097200,43.438880,29.955920,35.942230,41.206880
82000,32.065840,38.884480,43.263780,29.632810,36.185150,41.319110
85000,32.082100,38.893570,43.454230,29.909930,36.157710,41.325560
88000,31.959770,39.040460,43.371810,29.685790,36.101010,41.281570
91000,32.106890,39.141870,43.521740,29.947250,36.157110,41.354750
94000,32.126790,40.166440,43.625880,29.928290,36.248650,41.430220
97000,32.150380,39.088060,43.373160,30.025320,36.280910,43.718570
100000,32.284670,39.075100,43.508670,30.220760,36.420500,42.774710
140000,32.588350,39.959050,44.505110,30.331250,36.814170,42.223790
180000,32.416400,39.759680,44.087420,30.237540,36.988650,42.406070
220000,32.243270,40.320200,44.897760,31.013490,37.210580,42.580310
260000,33.746480,41.118530,45.701310,30.583700,37.630850,43.360770
300000,33.061870,40.842370,45.550990,30.516390,37.608100,43.128720
340000,32.965200,41.034150,45.775420,30.293520,37.737190,43.422190
380000,32.424400,41.209090,45.775410,30.287860,37.884780,43.652240
420000,32.898360,41.264580,46.213380,30.105590,38.034700,43.806000
460000,32.696490,41.626470,46.212320,30.000960,38.233130,44.126550
500000,32.818930,41.737710,46.540600,30.741190,38.602610,44.401700
540000,33.642660,41.754430,46.737880,30.303240,38.561500,44.583950
580000,34.133980,42.214430,46.839100,30.645170,38.529790,44.580780
620000,33.641500,42.122970,46.919370,31.162750,38.545930,44.717180
660000,33.669160,42.001210,46.951280,32.760300,38.681920,44.789930
700000,34.670700,42.320910,47.332060,33.149690,38.666800,44.830290
740000,35.324940,42.420400,47.427510,34.831170,38.729500,45.045960
780000,35.612630,42.474130,47.475990,34.136860,38.867690,45.364010
820000,36.505180,42.402710,47.803460,35.419930,38.907070,45.719360
860000,37.390440,42.854320,47.854340,35.748440,38.978870,45.500250
900000,38.765970,42.622690,48.034370,37.976860,39.488300,45.447190
940000,40.230700,42.812900,47.940740,37.906730,39.174610,45.523110
980000,41.514950,43.126370,48.005010,39.336740,39.294740,45.668330
1000000,41.693280,42.982570,48.403250,41.415670,39.510190,45.742840
1500000,52.907460,43.786720,48.965780,53.342480,39.639580,46.288920
2000000,59.202170,44.268530,49.563550,59.011960,40.316330,47.063490
2500000,62.678400,44.375640,50.019190,63.143540,40.357400,47.139680
3000000,65.062200,44.804330,50.081730,63.990380,41.939040,47.651790
3500000,67.324340,45.297020,50.613700,64.420820,40.778350,47.803800
4000000,69.109520,47.132060,51.188370,66.989870,41.875390,48.147770
4500000,70.252390,47.909610,53.680220,68.211370,43.969670,48.965310
5000000,70.786290,49.856810,51.274940,68.975140,43.917440,50.721030
5500000,71.970900,51.577250,53.554410,69.971590,49.484290,50.371460
6000000,72.650730,55.254970,54.899850,70.042880,50.057920,54.047580
6500000,73.390480,58.065780,56.410290,71.842740,52.369270,55.449550
7000000,74.341360,63.351010,58.865610,72.505430,57.000300,55.209800
7500000,74.275580,65.915020,61.014840,71.805870,58.994250,62.406480
8000000,75.487630,70.827810,63.695050,72.603430,63.068100,67.728760
8500000,75.716960,73.263190,67.149900,73.375160,65.495920,69.611920
9000000,75.952620,76.236790,67.448300,73.858140,68.527180,74.436230
9500000,76.281260,78.970270,72.424530,74.588270,70.866220,78.702630
10000000,77.022640,81.622810,76.372260,73.981720,73.408930,82.679360
16000000,81.144100,99.283890,97.297540,79.122750,92.007010,113.662800
22000000,82.982050,106.730330,107.270460,79.496290,99.138130,123.568380
28000000,84.633740,111.006320,112.576020,83.224180,103.462350,129.921240
34000000,86.776440,114.381570,116.515760,84.591580,106.981640,136.442500
40000000,87.465520,115.952290,118.995550,88.199520,108.657510,143.013190
46000000,87.952630,117.618190,120.835150,87.310570,110.302420,145.755050
52000000,89.340490,118.827440,122.577750,89.168860,111.697330,149.015150
58000000,91.090150,120.874660,124.107470,89.476490,113.062290,150.567490
64000000,91.428430,121.611320,125.445770,92.240380,114.466960,154.277830
70000000,93.267700,122.639970,126.616750,89.847820,115.537360,152.544190
76000000,93.911130,123.006670,127.735400,91.941240,115.812020,155.269980
82000000,94.918130,123.740180,128.345930,94.009060,116.369510,158.550480
88000000,96.413510,124.391720,128.886040,94.656230,116.636630,155.469660
94000000,98.228940,125.032200,129.965920,95.734210,117.920670,160.590190
100000000,98.363570,125.993190,130.712570,96.069320,118.106820,162.377280
170000000,117.995540,129.290980,135.923660,100.761690,121.523240,170.824210
240000000,133.238620,132.059960,140.631520,109.456750,124.138630,177.018780
310000000,143.113540,134.459840,143.147150,125.593590,125.960340,181.591070
380000000,150.162070,135.868560,145.164730,126.456870,127.078940,185.621230
450000000,156.422210,138.359190,148.157030,139.725090,128.989850,185.185980
520000000,161.510700,140.749370,150.364700,140.541810,131.473650,190.866900
590000000,164.247990,143.677140,152.170940,148.990410,134.340410,191.090830
660000000,168.327650,147.432030,155.212460,162.982220,138.665450,194.792520
730000000,172.510640,150.884110,159.158310,161.071310,140.749860,195.592810
800000000,175.861290,154.959270,162.146500,167.351240,143.932650,194.529620
870000000,180.580290,161.112320,166.078360,180.477480,149.248310,197.177820
940000000,180.625440,163.586110,169.798990,178.489960,151.336050,200.354120
1000000000,180.996210,166.672710,173.013100,178.490290,154.645200,198.430540
1800000000,198.789180,198.914560,208.252400,207.909900,184.638410,224.993030
2600000000,216.953590,221.147950,234.500530,223.238040,206.279250,251.505980
3400000000,214.537480,229.307680,245.231300,229.191460,214.938120,271.599450
