Elements,fixed[F]holes,byte[F]holes,bit[F]holes
100,30.990000,41.510000,28.120000
110,28.863636,42.754545,32.218182
120,26.058333,37.441667,23.750000
130,23.169231,32.269231,37.015385
140,123.985714,38.435714,29.378571
150,116.826667,31.226667,20.920000
160,107.362500,29.943750,20.556250
170,102.217647,28.041176,18.894118
180,95.144444,25.811111,19.444444
190,18.500000,28.647368,19.168421
200,14.620000,24.895000,17.520000
210,82.300000,23.300000,17.100000
220,14.681818,25.627273,93.640909
230,77.200000,22.634783,16.586957
240,73.545833,21.795833,15.558333
250,13.172000,23.992000,18.968000
260,67.726923,21.753846,15.400000
270,63.959259,23.951852,69.940741
280,11.157143,20.457143,14.582143
290,11.541379,20.186207,14.710345
300,11.000000,68.513333,15.440000
310,57.135484,19.725806,15.067742
320,10.378125,19.653125,15.150000
330,54.139394,18.896970,13.539394
340,9.658824,19.855882,15.929412
350,9.488571,18.328571,16.545714
360,9.313889,17.133333,13.786111
370,48.518919,19.167568,14.551351
380,46.389474,16.697368,13.155263
390,45.743590,16.428205,12.810256
400,8.305000,16.952500,13.697500
410,10.946341,17.129268,12.748780
420,8.404762,16.573810,13.269048
430,41.251163,16.527907,13.425581
440,8.179545,16.204545,12.977273
450,7.564444,15.666667,12.302222
460,7.593478,15.902174,12.206522
470,37.295745,15.665957,12.355319
480,7.445833,15.206250,12.752083
490,35.983673,15.295918,12.259184
500,7.070000,15.074000,11.882000
510,34.574510,49.160784,12.013725
520,8.380769,17.053846,13.903846
530,8.403774,16.615094,14.360377
540,48.831481,16.500000,45.109259
550,34.112727,14.930909,12.389091
560,8.092857,16.023214,13.566071
570,7.770175,14.998246,12.501754
580,8.239655,13.762069,11.168966
590,7.515254,38.728814,12.032203
600,7.735000,14.540000,11.778333
610,7.083607,14.436066,12.213115
620,30.609677,14.401613,11.983871
630,29.726984,14.119048,11.863492
640,6.935937,14.259375,11.754687
650,28.916923,13.844615,11.600000
660,6.796970,14.209091,11.666667
670,7.053731,13.714925,11.534328
680,27.614706,13.883824,11.870588
690,6.833333,13.484058,11.528986
700,6.417143,13.864286,11.258571
710,6.791549,13.419718,11.184507
720,6.481944,13.400000,11.159722
730,6.465753,13.152055,11.367123
740,7.186486,13.429730,11.341892
750,6.314667,13.201333,11.189333
760,6.367105,13.064474,10.935526
770,25.281818,37.193506,11.146753
780,6.024359,12.876923,11.144872
790,5.870886,13.183544,11.035443
800,24.043750,34.682500,10.875000
810,5.808642,12.869136,11.011111
820,23.130488,13.115854,28.637805
830,22.851807,12.486747,11.039759
840,6.041667,12.658333,10.613095
850,5.975294,12.251765,10.318824
860,5.793023,13.823256,12.222093
870,21.885057,12.155172,10.470115
880,5.443182,13.480682,12.521591
890,5.479775,11.892135,26.241573
900,5.172222,13.236667,12.137778
910,5.436264,11.882418,10.212088
920,20.783696,13.873913,12.036957
930,5.441935,12.096774,10.472043
940,20.832979,13.953191,10.504255
950,29.349474,12.361053,10.778947
960,5.467708,12.156250,10.435417
970,5.044330,12.232990,10.312371
980,5.365306,11.982653,10.475510
990,28.982828,11.973737,10.391919
1000,4.974000,29.839000,10.252000
1200,17.092500,26.208333,10.170833
1400,14.686429,10.945714,9.714286
1600,4.584375,10.683750,9.426250
1800,12.338333,10.928889,9.543333
2000,4.129500,10.151000,9.129000
2200,4.541818,9.858636,8.803636
2400,3.893750,10.905000,8.901250
2600,9.502308,9.638846,8.677692
2800,8.079286,10.743929,8.700000
3000,8.690333,9.698333,8.775667
3200,3.899062,9.478750,8.707500
3400,4.872353,18.380000,12.892059
3600,7.713056,9.751111,8.560833
3800,7.570263,9.716842,12.232368
4000,7.138500,9.850750,8.699500
4200,6.845476,9.520000,9.100952
4400,6.936364,9.553636,8.643182
4600,9.222609,9.470435,8.662826
4800,3.902708,9.451458,8.730417
5000,6.415400,9.337600,8.527800
5200,3.635577,9.331154,8.851731
5400,3.706667,9.243704,8.466296
5600,3.736250,9.312500,8.473214
5800,3.806379,9.573448,8.617586
6000,6.059667,9.171833,8.430833
6200,3.680161,9.148065,8.512581
6400,3.581719,14.915156,8.428281
6600,3.458333,9.395455,8.355455
6800,5.642500,9.387794,8.373971
7000,3.487143,9.302000,8.321714
7200,5.418333,9.321250,8.354861
7400,5.545676,9.238784,8.305541
7600,3.488553,9.226447,8.553947
7800,5.352692,9.174103,8.288077
8000,5.230250,9.172750,13.692875
8200,3.712439,9.152195,8.380488
8400,5.210714,9.143929,8.605357
8600,5.085000,9.175349,8.373488
8800,5.222955,9.128409,8.367045
9000,7.180222,9.343556,11.490111
9200,3.381522,9.121196,8.360870
9400,5.067872,9.097234,8.364468
9600,3.381146,9.072188,8.318021
9800,3.411122,9.261531,8.334286
10000,4.899300,9.177600,8.314600
13000,4.550615,9.002769,8.263308
16000,5.473250,8.990562,8.240937
19000,3.431632,10.030737,8.868053
22000,4.184091,10.271682,9.427227
25000,3.991600,9.395800,8.772200
28000,3.808250,10.371643,9.524036
31000,3.545452,9.365000,8.560581
34000,3.339147,10.056765,10.180382
37000,3.946730,9.934216,9.143946
40000,3.699750,9.864250,10.315875
43000,3.718186,10.497674,8.962837
46000,3.738717,9.060348,8.315587
49000,4.084082,9.762286,9.434653
52000,4.255269,10.127538,9.308462
55000,4.455636,10.006200,9.737945
58000,4.404983,9.476534,8.690431
61000,4.475361,9.912098,8.677525
64000,4.068328,9.421125,8.631687
67000,3.976866,9.407657,8.591761
70000,3.601800,9.361571,8.566486
73000,4.127932,9.339712,8.548164
76000,4.009526,9.346579,8.522724
79000,3.751734,9.306570,8.493747
82000,4.197415,9.280000,8.449134
85000,3.760118,9.266624,8.422929
88000,4.071216,9.185534,8.430841
91000,4.209000,9.224022,8.405231
94000,4.136617,9.509245,8.691191
97000,4.206691,9.191959,8.378247
100000,3.966280,9.155840,8.125400
140000,3.673129,8.820357,8.054007
180000,4.149578,8.948761,8.342867
220000,3.830445,9.168782,8.237427
260000,3.498473,8.978558,8.197938
300000,3.833257,9.106770,8.170473
340000,3.790144,8.928362,8.133465
380000,3.851918,8.979489,8.111687
420000,3.887179,9.216143,8.112288
460000,3.931276,8.882204,8.102470
500000,3.885456,9.231662,8.105278
540000,3.842333,9.311417,8.042950
580000,3.873352,8.856267,7.991578
620000,3.920892,8.991242,8.015018
660000,4.095720,8.897618,8.115595
700000,3.962834,8.781746,7.986134
740000,4.003003,8.788077,8.006535
780000,4.010718,8.892635,8.061340
820000,4.052462,8.838109,8.060559
860000,4.147352,8.799944,8.142042
900000,4.076251,8.804280,8.054948
940000,4.116822,8.794866,8.088624
980000,4.223960,8.908871,8.058594
1000000,4.236476,8.819548,8.333650
1500000,4.470053,8.780581,8.073615
2000000,4.694381,8.761601,8.142489
2500000,4.836276,8.773764,8.084382
3000000,4.878091,8.793506,8.095336
3500000,4.928476,8.777827,8.109935
4000000,5.023610,8.826305,8.123702
4500000,4.989414,8.789685,8.126176
5000000,5.008537,8.769723,8.132785
5500000,5.040941,8.812100,8.135962
6000000,5.103114,8.828988,8.149207
6500000,5.056506,8.832860,8.252410
7000000,5.074274,8.836723,8.155411
7500000,5.237718,8.874037,8.270554
8000000,5.065970,8.855591,8.199673
8500000,5.071599,9.008998,8.216418
9000000,5.081356,8.872532,8.263395
9500000,5.096793,8.912455,8.243859
10000000,5.182547,8.901411,8.228586
16000000,5.090192,8.999925,8.297086
22000000,5.123938,8.925350,8.336440
28000000,5.093223,8.963451,8.370320
34000000,5.101106,8.968992,8.363575
40000000,5.107359,8.975329,8.394339
46000000,5.104418,8.969740,8.383204
52000000,5.148794,9.041546,8.386355
58000000,5.140205,8.973507,8.383411
64000000,5.098624,8.983863,8.412243
70000000,5.104609,8.976032,8.381722
76000000,5.128733,8.987651,8.399348
82000000,5.114153,8.961507,8.380598
88000000,5.115129,8.995328,8.412546
94000000,5.130812,8.987153,8.419761
100000000,5.104164,8.987372,8.395008
170000000,5.120733,8.973909,8.413807
240000000,5.101736,8.975806,8.413368
310000000,5.092633,8.979029,8.431610
380000000,5.095677,8.969091,8.410951
450000000,5.085560,8.962498,8.417607
520000000,5.092473,8.962399,8.406363
590000000,5.083555,8.968105,8.405315
660000000,5.092187,8.973505,8.413634
730000000,5.085805,8.964255,8.405269
800000000,5.088064,8.968369,8.409999
870000000,5.081378,8.966816,8.404695
940000000,5.093397,8.969484,8.410330
1000000000,5.093001,8.973158,8.408351
1800000000,5.088490,8.969126,8.396730
2600000000,5.103936,8.971911,8.397407
3400000000,5.091299,8.974148,8.392649
