Elements,fixed[F]holes,byte[F]holes,bit[F]holes,fixed[F]noholes,byte[F]noholes,bit[F]noholes
2400,30.824780,34.584100,40.214700,28.123370,32.596560,37.549950
2600,30.821860,34.599630,38.947970,28.148710,33.750780,37.433460
2800,30.802420,34.611480,39.064130,28.390200,32.711290,37.601860
3000,30.361010,34.437000,38.820990,28.009030,32.608910,37.534260
3200,30.638640,34.365280,39.117410,28.392190,32.772760,37.862060
3400,31.266860,35.109770,39.906120,28.588410,33.032400,38.164910
3600,31.420760,34.791290,39.701510,28.114340,34.257170,38.104130
3800,30.758030,34.954720,39.463790,28.910150,33.148540,38.305080
4000,30.660310,35.084440,39.820660,28.851210,33.377580,38.661220
4200,31.241300,35.322460,40.052540,28.605110,33.650650,38.557310
4400,31.451030,35.870780,40.011810,28.899720,33.746260,38.670580
4600,30.897380,34.830020,39.513640,28.777440,34.464140,39.008560
4800,30.520610,35.026420,40.124740,28.889250,33.585870,38.481900
5000,31.190390,35.396470,39.798780,29.035950,33.845040,39.072340
5200,30.649880,35.634330,40.160000,28.752430,33.616120,38.522820
5400,30.530480,35.428610,39.766020,28.285520,33.721300,38.667570
5600,31.192760,35.305990,39.949510,28.657680,33.709970,38.562060
5800,31.197620,36.402210,40.143860,28.336640,33.729920,38.839030
6000,31.352810,35.431200,40.092190,28.842510,34.491870,38.904680
6200,31.316540,35.561270,40.679560,28.774550,33.922210,39.090990
6400,31.439630,35.645710,40.420020,28.945080,33.346180,38.514030
6600,31.011470,35.688390,40.362110,28.535060,33.508380,38.695100
6800,31.213850,35.780830,41.281370,28.997480,33.789210,38.980710
7000,31.226300,35.516100,40.280070,29.168130,33.894500,39.158730
7200,31.581520,35.871540,40.850330,29.036000,33.790650,39.285640
7400,31.349820,35.766840,40.403280,29.325120,34.111260,40.261710
7600,31.293460,35.615660,40.543710,29.022140,33.830790,39.304050
7800,31.356350,35.949460,40.629770,29.055090,34.176750,39.399090
8000,31.411990,36.073660,40.975160,29.011760,33.989970,39.454370
8200,31.561330,36.260980,40.926880,29.276720,34.367740,39.634110
8400,31.558360,36.210630,40.943950,29.228050,35.171050,39.589200
8600,31.559150,35.884020,40.849540,29.571090,34.323300,39.263320
8800,31.509490,36.149010,40.949880,28.973120,34.381800,40.991400
9000,31.787930,37.351310,41.161240,28.757440,34.269590,39.637990
9200,31.587990,35.917960,40.756460,28.587210,34.131460,39.596380
9400,31.204610,35.569940,41.078870,28.641820,34.102660,39.572600
9600,31.567020,36.161530,40.954760,29.245450,34.082760,39.574640
9800,31.266610,35.656790,40.399840,29.143290,34.990280,39.529740
10000,31.794920,36.238990,40.647210,29.248150,34.125050,39.558170
13000,31.768550,37.382480,41.140470,29.600640,34.530600,40.972540
16000,31.734770,36.440110,41.223220,29.671670,34.884160,40.120190
19000,31.743290,36.573580,41.427220,29.775610,35.156890,40.312430
22000,32.590140,37.878920,41.888330,29.713870,35.569300,40.396160
25000,31.893100,36.856030,41.685740,29.705480,35.436190,40.492690
28000,32.525410,37.597290,42.162310,29.796340,35.504760,41.000590
31000,32.117480,37.331840,42.078370,29.945890,35.536630,40.990930
34000,32.489620,37.899130,42.899600,29.913740,37.196080,41.150400
37000,32.201580,37.875570,43.537860,29.844890,35.814580,41.212430
40000,32.585160,37.859730,43.947340,29.474560,35.947550,40.978250
43000,32.589650,38.022780,42.659330,30.081640,35.966900,41.268760
46000,32.293080,37.597570,42.387360,30.167460,35.925590,42.502860
49000,32.674960,38.219490,43.238130,30.154150,35.934960,41.536850
52000,32.842470,38.408410,43.373360,30.076860,35.927550,41.614400
55000,32.569350,38.602010,43.565050,29.982550,36.158260,41.665960
58000,32.599310,38.632530,43.363380,30.117690,36.233400,41.803160
61000,32.975230,38.517360,43.471110,29.986510,36.469610,41.895500
64000,32.788870,38.750390,43.625050,30.450030,36.625010,42.063350
67000,32.657050,38.775140,43.793620,30.605440,36.713400,42.196440
70000,32.536960,38.592130,43.726970,30.288910,36.651840,42.146680
73000,32.741110,38.709480,43.799300,30.319660,36.547850,42.120310
76000,32.309430,38.498920,43.568670,30.289070,36.921410,42.160140
79000,32.860970,38.704730,43.742460,30.629350,36.689570,42.205980
82000,32.929210,38.770410,43.848310,29.786390,36.411220,41.682470
85000,32.875830,38.851310,43.878430,30.352250,36.249000,41.783360
88000,32.395910,38.829140,45.116540,30.678650,36.659190,42.269990
91000,33.265810,38.886870,44.015430,30.448660,36.764000,42.350030
94000,33.085480,39.571340,45.637290,30.682670,36.765530,42.358810
97000,32.721200,38.990020,44.138150,30.708260,36.841420,42.430460
100000,33.308460,39.164620,44.216760,30.476090,36.907890,42.510330
140000,32.991220,39.201350,44.353810,31.253640,37.381620,43.116670
180000,33.609050,39.978870,45.122470,31.182810,37.624270,43.311670
220000,33.577490,40.128740,45.158330,31.597870,37.813750,43.604540
260000,33.289670,40.473340,45.917180,31.531650,38.080400,43.786390
300000,33.287000,40.577320,45.726430,31.642050,38.086930,43.965380
340000,33.327950,40.723320,46.047420,31.591600,38.471840,45.178570
380000,33.344580,41.123240,46.766280,31.092910,38.621640,44.411770
420000,32.837080,41.360570,46.515480,31.394360,40.037730,44.808730
460000,33.513300,43.120460,46.840590,31.652960,39.263810,45.432650
500000,33.013310,41.669910,47.110730,31.499030,39.163990,45.625290
540000,33.614140,42.187590,47.934940,31.544900,39.215870,45.275070
580000,32.810110,41.603340,47.069780,32.556930,39.278790,45.864790
620000,34.217900,41.756990,47.239240,35.800990,39.343130,46.008360
660000,35.576160,42.499550,47.921390,32.779770,39.399750,45.826490
700000,34.392350,41.849160,47.390970,34.656100,39.378550,45.915240
740000,35.166100,42.122530,47.640280,36.833080,39.501480,46.018460
780000,35.132560,42.532400,48.118820,40.526880,39.607140,45.889460
820000,37.696830,43.969740,48.412700,40.459830,39.676780,48.472970
860000,38.275870,42.939670,48.465560,42.829120,39.483120,46.089270
900000,39.069140,43.067200,48.639000,49.168910,39.800460,46.480080
940000,41.266230,43.207810,48.762910,48.565210,39.876680,46.608760
980000,41.902780,45.230820,49.167120,55.317170,39.993600,46.718080
1000000,42.554090,43.443800,49.558890,51.627860,39.829410,46.775120
1500000,58.097550,44.056370,49.440960,74.501720,40.430150,47.342100
2000000,68.212740,44.774190,50.384890,87.886970,40.980350,49.783550
2500000,74.958040,45.036760,51.026270,93.707200,41.151570,48.251660
3000000,78.924770,45.389360,50.970070,98.333150,41.360530,48.595110
3500000,81.859810,47.041010,51.286140,103.012430,41.613480,49.136260
4000000,83.634000,47.037370,52.478880,103.582980,44.227750,50.683980
4500000,85.524860,47.077160,52.824830,106.039180,42.787520,49.378900
5000000,87.681050,48.383190,53.187600,107.005800,47.639340,50.097290
5500000,88.555570,54.651840,53.578330,106.284640,50.321970,52.408360
6000000,89.571530,56.657160,56.032200,112.401210,51.650730,57.772600
6500000,90.789310,59.740320,57.338420,114.562230,56.426890,57.963260
7000000,90.640520,67.014390,56.535540,114.179150,58.152840,56.921800
7500000,91.293170,65.033820,61.961200,112.884150,60.705330,68.800360
8000000,91.477930,69.625790,63.672580,113.633680,64.971440,69.557110
8500000,92.438510,73.422070,66.653660,114.282370,71.281460,73.219550
9000000,93.022870,75.474390,69.341440,117.148340,73.758710,76.957350
9500000,93.677770,78.816240,73.021210,114.666570,73.639430,81.263520
10000000,94.130100,81.179280,74.064050,118.523920,76.589140,84.933340
16000000,98.302690,99.342320,97.744560,120.802210,93.935760,115.895000
22000000,99.933830,107.465840,107.146790,127.309730,101.524270,123.858010
28000000,101.735110,111.147950,113.084250,131.304700,105.683390,135.203370
34000000,102.751590,114.156050,116.415470,132.075000,109.030270,141.913580
