Elements,fixed[F]holes,byte[F]holes,bit[F]holes,fixed[F]noholes,byte[F]noholes,bit[F]noholes
100,37.167790,42.146630,44.848870,36.011580,40.424350,41.869910
110,36.248550,42.251610,43.246220,35.739620,40.019360,41.292650
120,38.301560,42.667410,43.820350,36.790700,40.702820,43.628980
130,39.921590,45.461940,45.705220,39.703140,44.347180,45.161960
140,39.445720,45.160940,45.147140,38.639670,41.682070,43.179440
150,40.143600,46.226070,46.744290,38.450810,42.926350,44.327860
160,41.377990,47.820000,47.467180,37.621970,42.828330,42.825560
170,39.166540,44.838010,45.138020,39.288020,43.994310,45.488580
180,39.857500,46.175880,46.346650,38.989920,42.543970,44.676580
190,40.393210,46.332750,47.029340,39.267070,43.703890,45.861920
200,39.883390,46.003080,46.557770,39.881390,43.847100,45.172630
210,38.793130,43.905580,44.423370,38.512330,41.449370,43.496490
220,38.133680,44.557050,45.421510,38.610780,42.364530,45.198700
230,38.496840,44.949620,45.680730,39.216740,43.423420,45.500520
240,39.821180,45.693260,46.613680,39.496840,43.738280,45.706890
250,38.084240,45.003700,45.884690,38.779450,43.202140,45.099920
260,42.089920,48.486990,47.445820,42.427170,48.410630,47.803950
270,44.368050,51.586140,49.894730,42.087830,48.487500,48.463750
280,44.363330,51.402380,50.428650,42.179160,46.697780,47.070220
290,43.778350,50.792420,49.951820,41.204970,47.344290,47.146550
300,43.560650,49.928310,49.511000,41.176860,46.250430,46.743310
310,42.048250,48.850050,48.619020,41.007950,47.120480,48.099180
320,41.915800,48.425350,49.375470,41.537970,47.493470,47.430450
330,42.010470,49.051430,48.248100,41.087870,46.296800,48.215540
340,43.638040,50.722090,50.227290,41.226210,46.248740,46.824950
350,43.111340,51.007390,50.562220,41.190540,47.452890,49.002180
360,41.437960,47.597010,47.049280,41.433800,48.056110,47.894060
370,43.055540,49.259290,49.041700,41.670840,47.025430,48.052220
380,41.852090,48.736850,49.005750,41.004660,46.984420,48.509910
390,42.556470,49.297740,49.617680,42.142110,47.745140,48.581540
400,43.834950,50.720420,51.879050,41.830300,47.661580,48.759370
410,42.538880,49.903960,49.666660,41.504930,47.250180,47.901910
420,41.869410,49.177740,48.940990,42.958960,46.880690,47.826210
430,42.719590,51.521220,50.475990,42.104100,48.282390,49.216620
440,43.001280,50.006890,49.981650,42.709850,47.957420,50.796550
450,42.747520,49.081850,49.211810,41.857060,47.638770,48.623560
460,42.762060,50.096270,49.938080,41.411280,46.707550,47.794430
470,41.255470,48.973430,49.029800,41.255680,48.371700,48.177230
480,42.482550,49.978150,50.496160,41.150610,46.120270,47.225000
490,42.115340,50.107100,50.366930,41.525600,48.350810,48.239820
500,41.677170,49.659470,49.976780,41.907510,46.335680,48.062730
510,43.048880,51.017400,51.664210,41.195500,47.719810,49.632970
520,48.259980,54.322970,52.741640,44.140270,51.689280,52.402230
530,45.701460,53.510340,51.994120,43.948990,51.368620,50.706750
540,44.687580,52.232860,51.505990,43.092030,50.753550,50.223770
550,45.926040,53.843490,53.254740,42.244440,51.580860,49.467020
560,46.417190,55.728040,52.881690,43.163240,51.412840,50.457770
570,45.827120,53.978490,53.159130,42.488820,50.343670,50.443740
580,45.831090,53.429170,52.117280,44.700710,50.204380,49.604970
590,45.866710,54.156130,53.320330,42.732560,50.672350,50.959420
600,45.187240,52.792890,51.889090,41.616760,49.268590,50.612240
610,45.392670,53.064670,52.067530,42.973840,49.581990,49.583660
620,45.018300,52.803780,52.171820,43.086280,50.923590,51.019500
630,44.472500,52.727700,52.171770,42.192020,50.927720,50.820440
640,46.329590,52.953520,51.631720,44.084290,51.643480,51.267970
650,45.801660,53.741090,52.602710,44.002460,52.448190,51.173390
660,44.359240,52.184160,52.570760,42.348390,49.375720,49.444850
670,45.109720,53.877650,53.218970,43.260280,52.039790,52.050010
680,44.648600,52.499650,50.949120,42.872550,49.925360,51.504720
690,44.615670,53.788760,51.560610,43.090750,50.925300,51.283180
700,44.474110,52.395270,52.108070,41.912430,49.764580,50.796480
710,44.786540,52.659620,52.022070,43.139700,52.688160,51.479860
720,44.215870,51.561010,50.690380,42.396450,48.884740,49.535310
730,45.574330,53.977850,53.393670,42.566290,50.704320,51.420600
740,45.763380,54.290710,53.484150,43.588870,50.004890,50.816970
750,43.877760,51.824630,51.569320,42.442700,50.399810,51.549290
760,44.159260,52.750210,52.254330,42.078160,49.864580,53.143130
770,47.280540,54.404470,52.535200,43.399400,49.923250,50.235210
780,45.090710,53.549330,52.091860,43.039060,50.877800,50.995620
790,45.435180,53.151380,54.458290,42.947040,52.182460,50.845700
800,44.259390,52.443060,51.119040,43.054870,50.597840,50.722760
810,44.915920,52.994710,52.595840,43.625520,50.302370,50.564300
820,45.849340,55.643490,53.240720,43.755750,50.709670,50.998610
830,45.249430,54.688130,54.709800,43.752930,51.224230,52.207810
840,45.189020,53.448240,52.825670,42.693960,50.574450,52.521930
850,46.504250,55.072390,54.263310,43.505110,50.096520,50.528860
860,45.198670,53.898640,53.378450,41.987500,50.393520,50.991010
870,45.823910,56.326050,53.226630,42.962120,52.594940,51.117980
880,44.266560,52.667460,52.055040,42.307060,50.791510,51.198590
890,44.921620,53.808770,53.576810,42.702340,50.817730,52.025030
900,44.440940,52.688220,51.907670,43.941770,50.727770,51.249750
910,45.151230,53.742150,53.532760,43.510040,50.932260,51.643460
920,45.817930,55.456320,53.752540,41.973990,49.914240,52.017970
930,44.374120,53.059390,52.123010,42.290730,49.913660,50.350960
940,44.245500,53.048490,52.404070,42.282720,50.783550,51.441410
950,46.173360,54.133110,53.755700,42.884730,52.463260,52.274230
960,44.211600,53.574720,52.150050,43.639250,51.687680,52.118280
970,44.219800,53.037690,53.200760,43.515510,50.643670,51.737150
980,45.318070,53.944060,53.443670,42.115420,50.461020,51.299780
990,44.322890,54.079830,54.068220,43.085790,51.421680,52.826310
1000,44.875220,53.957370,53.565860,43.395490,51.861990,52.847510
1200,48.161100,57.616960,56.260760,45.224130,54.173810,54.210570
1400,47.605640,57.008370,59.033860,44.379780,53.783440,54.748690
1600,47.771390,56.866480,56.244920,44.782480,53.294780,54.250500
1800,47.048090,55.857700,56.036690,44.799210,53.752860,55.179280
2000,48.192040,56.613050,57.289130,45.291930,54.077500,57.524010
2200,51.265460,60.172200,60.239970,47.397610,57.427300,57.673740
2400,50.257240,59.656610,59.633060,47.764570,56.806750,57.784290
2600,49.977350,58.749350,58.784900,47.390840,56.531200,57.674820
2800,50.083450,59.542230,60.274730,46.783180,56.734170,58.934750
3000,50.482580,58.819100,59.925050,48.579200,55.894420,60.452000
3200,49.874240,59.029240,59.195380,46.678160,55.620400,57.496690
3400,50.030500,59.524210,60.273970,47.211840,56.603420,57.946000
3600,49.230810,58.276540,58.934220,47.367590,56.224880,58.827940
3800,49.923780,59.489980,61.189900,47.253330,56.612850,59.547810
4000,50.339660,59.482360,60.823140,46.785010,55.780450,60.079020
4200,53.560950,63.246290,63.427740,50.920310,60.993080,62.066910
4400,53.273360,62.490040,63.446010,50.389620,60.015360,61.319760
4600,52.604930,62.523980,63.945140,51.484460,60.331140,62.762270
4800,52.861050,62.244250,63.155590,50.268740,58.993850,60.993970
5000,52.893670,61.681000,62.996520,50.669670,59.924700,61.979430
5200,53.333110,62.004250,63.191990,50.050940,59.509670,61.442520
5400,53.209950,61.935150,62.883500,50.383570,60.012850,61.482450
5600,52.927500,61.448490,63.282380,49.538390,58.947300,61.473620
5800,53.093080,61.970000,63.200140,50.157360,59.599150,61.939490
6000,53.329170,62.196360,64.315070,51.985640,58.896070,61.633590
6200,53.455350,61.842600,63.304260,51.237770,59.407000,61.530260
6400,53.999440,62.536000,63.243270,50.549470,58.457890,62.538050
6600,53.794150,62.252340,64.291850,50.494850,58.930030,61.816930
6800,53.224360,61.366500,62.857870,51.015850,59.233980,61.384090
7000,53.366130,61.782360,64.116250,51.810170,59.001690,62.246370
7200,54.294880,61.591510,63.303460,51.036520,58.832840,61.867350
7400,53.801730,62.293890,64.442600,51.020150,59.682710,62.840820
7600,54.183640,62.533980,64.770620,50.454040,58.927370,62.396390
7800,53.624980,62.490910,65.060680,50.777210,59.124470,63.158740
8000,53.226200,61.749120,64.980580,51.039510,59.168570,62.592910
8200,57.950820,64.926060,66.087630,55.649180,62.652170,63.262790
8400,58.295610,65.658020,66.871870,54.837760,63.383970,64.313100
8600,58.919450,65.356150,67.486680,55.062730,63.538890,64.843750
8800,57.690890,65.548300,66.872000,54.394830,62.612180,63.998990
9000,57.586850,67.385290,66.760460,54.166160,62.680860,64.299630
9200,58.241660,65.866900,67.946690,54.262560,62.480150,65.931650
9400,57.913500,65.745830,67.422540,54.223450,62.821510,65.250600
9600,57.153510,64.903090,66.138870,53.743950,62.028190,63.614160
9800,58.013100,64.549360,68.090080,53.889250,62.704880,64.212370
10000,57.249680,64.541330,66.369960,54.274920,62.083370,64.370250
13000,57.790330,65.271200,66.854760,55.636510,62.524850,65.147130
16000,57.937840,64.171710,66.032020,53.822220,61.518910,64.840750
19000,60.948360,67.652300,69.805610,58.457380,65.561290,68.242300
22000,60.430030,68.398350,70.823100,57.567490,65.203870,68.887840
25000,62.202630,67.692320,69.921720,59.392530,65.819020,68.085150
28000,62.297850,70.596350,70.473220,60.134020,65.068530,68.024670
31000,63.380760,67.706380,69.936350,59.938970,64.920220,68.028610
34000,68.050940,71.977710,73.514720,63.560780,69.608170,71.251740
37000,68.894340,71.482350,72.192150,64.624910,68.526770,71.493320
40000,68.933370,71.738150,72.460260,64.371050,68.141780,70.715560
43000,70.816870,73.786520,76.222300,66.468440,68.854080,74.763330
46000,69.970440,71.207480,76.183010,66.328420,67.832450,73.326570
49000,70.784620,72.514120,75.421460,67.560580,68.132600,73.899950
52000,72.755760,71.868280,75.975200,68.619220,68.129710,74.125320
55000,73.844190,72.822600,75.896490,68.864740,68.831690,74.272760
58000,74.879000,72.225810,75.080380,69.884770,68.273260,72.001260
61000,74.596550,71.813470,74.620170,70.496550,68.827590,73.131050
64000,73.667050,71.212840,74.535080,71.243470,68.026060,72.579340
67000,80.270880,76.290640,79.075140,76.066350,72.699520,77.012880
70000,79.735850,75.872210,79.998960,77.077420,72.340210,76.496070
73000,80.000870,75.452760,78.069680,76.647190,72.422880,76.817630
76000,80.285850,75.981200,81.693500,77.085930,72.159840,76.521320
79000,81.100120,75.023930,78.412900,80.495900,72.705270,76.748970
82000,81.046660,74.549800,79.994760,77.484370,71.774730,74.531850
85000,82.450860,75.263690,77.099050,82.029580,71.718350,75.023090
88000,81.318280,75.645630,79.201400,78.579780,72.049650,77.749060
91000,81.843540,75.825150,79.542310,81.470290,71.897420,77.702160
94000,83.024840,75.846620,79.540040,80.094470,72.371840,77.723820
97000,83.166700,76.187760,80.285910,82.156080,71.395470,78.209660
100000,87.219900,75.349480,78.873550,81.158530,72.417950,77.643180
140000,88.562880,79.456660,82.942850,92.627700,76.653360,82.098030
