Elements,fixed[F]holes,byte[F]holes,bit[F]holes,fixed[F]noholes,byte[F]noholes,bit[F]noholes
100,40.070760,42.719390,46.745650,40.276330,42.498740,46.871050
110,39.900040,42.389300,46.456620,41.949000,42.444700,46.633200
120,40.162770,42.634320,46.746520,40.219800,42.451590,48.055110
130,40.648500,45.365870,48.386820,41.458850,44.330790,47.934970
140,40.445430,43.402010,47.604430,42.295970,43.391750,47.829970
150,40.608570,43.594920,47.888680,40.320240,42.810940,47.254670
160,40.667950,43.668870,48.031960,40.837940,43.391860,48.137220
170,40.638930,43.560620,47.835090,40.799500,43.254140,47.773690
180,40.632840,43.575780,47.923260,40.814230,43.213950,47.763950
190,40.603800,43.444330,47.897420,40.773340,43.143250,49.644910
200,40.520100,43.551260,47.672120,40.818610,43.297010,47.977130
210,40.490070,43.490150,49.800600,40.750770,43.225640,47.953520
220,40.593740,43.557830,47.849420,40.821870,43.174140,47.697540
230,40.489390,43.382680,47.551670,40.702240,43.158540,47.601340
240,40.488210,43.510910,47.687530,40.695180,43.130600,47.669320
250,40.026520,42.861440,47.469950,40.694940,44.989820,47.585210
260,41.182880,44.572160,48.955430,41.473620,44.196300,48.716260
270,41.468100,44.712220,49.193210,41.468780,44.087840,48.642450
280,41.205510,44.408980,49.023900,43.025620,44.113940,48.679790
290,41.193020,44.468760,49.051920,41.668070,44.050090,48.670450
300,41.144040,44.408760,48.895590,40.844830,43.475960,48.049680
310,40.620980,43.743920,48.374950,41.425330,44.259790,48.818000
320,40.777330,43.961500,48.614720,40.842800,43.527450,48.155980
330,41.155570,44.378840,48.949940,40.900360,43.421890,49.112740
340,41.399250,44.498110,49.167250,40.930400,43.617390,48.213930
350,41.105520,44.226390,48.731850,41.338890,43.957980,48.454090
360,41.110690,44.338860,48.904470,41.343200,45.096080,48.596920
370,41.162920,44.344510,48.944770,41.322850,43.895610,48.551850
380,41.386760,45.162700,48.631480,41.314000,43.877280,48.528740
390,42.016710,44.287500,48.715820,43.499250,44.731800,49.054640
400,42.152580,44.562620,48.972470,41.405170,44.011820,48.596880
410,41.067180,44.236460,48.741070,41.622210,43.940330,49.441950
420,41.028880,44.301900,48.840930,42.427460,44.107430,48.819620
430,41.324500,44.335020,48.741020,41.566660,43.917920,48.440850
440,41.048600,44.190000,48.771310,41.561530,44.143790,48.812020
450,41.055480,44.183030,49.032530,41.308640,43.923970,48.488540
460,41.069440,44.148130,48.703240,40.704600,43.356380,47.901980
470,41.074790,44.139690,48.798630,41.290650,43.857710,48.440100
480,41.016690,44.189890,48.577160,40.718290,43.332660,47.979500
490,41.227950,44.153790,48.512470,40.697590,43.555600,47.894930
500,40.976220,44.085100,48.618830,42.032830,43.477090,48.077850
510,40.984890,44.083680,48.867430,41.191620,43.810390,48.388090
520,41.938110,45.954960,50.225030,41.911280,44.856330,49.614510
530,41.131590,44.814410,50.777920,41.888960,44.865260,49.547960
540,41.142690,44.775500,49.409030,41.318060,44.302310,48.938660
550,41.302670,45.021880,49.422430,41.366400,44.973720,48.930600
560,41.890740,45.425150,49.989950,41.509020,44.428880,49.064350
570,41.685700,45.222380,50.044230,41.319160,44.345640,48.908490
580,41.675570,45.148580,49.951320,42.031630,44.212910,48.924000
590,41.114650,44.634450,49.475190,41.606120,44.186700,48.868110
600,41.249240,44.754420,49.558470,41.480580,44.416570,49.268820
610,41.110010,46.123960,49.447980,41.331700,44.200710,49.118140
620,41.228820,44.830780,49.592660,41.445740,44.467460,48.973990
630,41.072090,44.572630,49.390520,41.377250,44.941050,49.538590
640,42.399340,44.660940,49.348170,41.856970,44.777220,49.452520
650,41.069170,44.547470,49.202200,42.099830,44.749810,49.399070
660,41.200590,44.769170,49.425040,41.858680,44.727280,49.378010
670,41.391860,44.606380,49.429160,41.804690,44.675760,49.585070
680,41.175140,44.613270,49.519880,41.836030,44.733200,49.383470
690,41.064350,44.482610,49.300060,41.802860,44.621400,49.605330
700,41.061640,44.474240,49.282490,41.783340,44.580290,49.575920
710,41.056720,44.563370,50.443780,42.057400,45.040050,49.557160
720,41.152300,44.630070,49.452040,41.242550,44.053840,48.780660
730,41.336890,44.617110,49.405590,41.412160,44.202420,48.886530
740,41.006100,46.392000,49.098510,41.408300,44.186930,48.901560
750,41.071900,44.551030,49.271160,41.278490,44.483970,48.905900
760,40.980420,44.429920,49.282270,41.407150,44.255690,48.878160
770,42.432180,44.779190,49.449130,41.236480,44.154890,48.858150
780,41.156060,44.651230,49.281140,41.433820,44.321580,48.937410
790,41.173660,44.607310,49.281880,41.237340,44.197320,48.791460
800,41.010360,44.563300,49.200650,41.439900,44.290370,48.973440
810,41.043870,45.146380,49.363600,41.266310,44.075980,48.789270
