Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[$12$]fixed,byte[$12$]byte,bit[$12$]bit,fixed[$12$]byte,fixed[$12$]bit,byte[$12$]bit,fixed[$14$]fixed,byte[$14$]byte,bit[$14$]bit,fixed[$14$]byte,fixed[$14$]bit,byte[$14$]bit,fixed[$16$]fixed,byte[$16$]byte,bit[$16$]bit,fixed[$16$]byte,fixed[$16$]bit,byte[$16$]bit,fixed[$18$]fixed,byte[$18$]byte,bit[$18$]bit,fixed[$18$]byte,fixed[$18$]bit,byte[$18$]bit,fixed[$20$]fixed,byte[$20$]byte,bit[$20$]bit,fixed[$20$]byte,fixed[$20$]bit,byte[$20$]bit
2944000000,164.744212,142.730416,149.681342,157.079229,410.323769,156.887846,153.904798,208.385034,211.162874,203.100171,204.825516,211.023981,147.459814,202.752380,216.230874,196.182317,206.683007,214.088460,147.062760,197.331929,238.770254,188.459659,233.123855,238.067514,148.272036,195.110019,287.750081,185.302110,283.779149,287.136196,158.594692,186.584948,341.294470,177.423586,338.896628,341.052551
3328000000,167.284405,145.076057,153.421179,161.632943,416.511183,162.059476,155.961571,210.191178,213.091919,205.210772,206.833644,213.051535,150.349654,205.835559,216.372538,198.335024,209.933732,215.610328,148.280792,200.842259,241.701839,191.821783,235.988554,241.144051,150.296277,198.404474,290.086331,189.193703,286.338887,289.741791,160.340390,191.264680,342.811479,181.924633,340.497729,342.579329
3712000000,167.961026,145.787988,154.492113,163.724653,430.961971,163.914841,156.696702,211.433362,213.257320,205.231525,206.560275,211.814467,150.718638,207.897784,220.542289,200.127771,211.192772,218.992009,148.208369,201.556133,243.973909,192.580612,238.306584,243.167778,149.405197,198.432889,295.091951,188.466404,291.984398,294.841899,159.569299,191.966536,353.240637,182.522169,351.354493,352.602552
4096000000,169.101637,149.836632,157.875963,179.102239,430.926981,211.418614,157.692988,213.511500,216.838092,206.284420,207.881826,215.279501,151.525172,208.289630,220.575011,200.621369,211.921909,218.783283,149.265114,203.717100,245.163383,193.809147,239.271794,244.547815,150.388204,200.474481,295.241636,190.199709,291.523966,295.006639,160.461593,194.179410,351.906893,184.902851,349.527515,351.443410
4480000000,174.168266,152.881122,160.751154,171.398379,459.094628,173.226158,160.087089,212.898341,216.221253,208.649788,208.587711,214.231094,155.206779,211.284008,223.337304,204.679600,215.649042,221.277886,152.836550,206.270274,250.470130,199.311250,244.777246,249.493140,153.990764,204.281314,302.731813,196.051328,298.232643,302.047758,164.615110,201.812549,361.497344,192.476261,358.517924,361.355667
4864000000,174.840952,154.061990,165.323101,176.044073,457.636721,177.853222,160.270313,214.477140,219.396308,209.335509,212.034602,217.309166,154.829809,213.795775,224.605983,206.422984,216.515411,222.522809,153.085337,209.033380,250.372722,200.493329,244.527077,249.986452,154.281208,206.230988,301.863197,197.597406,297.684593,301.380228,164.808368,204.796040,360.485294,195.223290,357.794287,360.218357
5248000000,175.152763,155.503589,165.498691,177.549573,472.015411,180.243109,162.045898,215.097464,220.307337,209.518875,211.903987,216.747778,156.014472,214.309866,226.871952,208.232202,218.742411,225.746436,153.472828,209.337568,254.111110,200.366492,247.933582,253.298055,154.139177,206.566190,307.448923,196.692100,302.807510,307.177466,164.751790,205.869551,369.870462,194.689454,366.842648,369.500142
5632000000,176.614614,158.546827,168.841072,182.680700,468.426895,184.230015,163.248189,216.441245,221.058189,211.255572,213.831017,218.790654,156.919333,216.149777,226.825141,208.954795,219.772961,226.341392,155.111396,210.568173,253.750672,201.926715,247.714912,252.995407,155.309186,207.472645,305.213995,199.020327,301.233290,304.669256,165.711487,207.454222,366.062519,197.916229,363.522018,365.659267
6016000000,177.343136,161.076728,171.089476,184.528229,471.342596,187.261655,165.031702,218.928503,221.132974,213.613034,215.250727,220.051193,158.369043,215.963319,229.182536,210.069530,220.808989,226.512230,155.528563,211.802961,255.866374,203.059154,250.164809,255.375177,155.603892,208.759152,307.685099,199.587994,303.249802,307.188584,166.383863,208.838387,368.792761,199.445469,366.061393,368.405119
6400000000,178.593830,163.089712,173.542343,189.251528,474.160366,190.616274,165.653460,217.328382,221.357417,212.187459,212.103114,218.711261,158.885589,217.428923,228.698450,210.683661,220.342764,226.721246,156.636662,214.177020,257.817425,204.178136,251.129284,257.048586,156.650144,209.648472,308.282266,200.002319,304.002062,307.915794,166.792245,210.052822,370.093320,201.956850,367.441093,369.901284
