Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[$12$]fixed,byte[$12$]byte,bit[$12$]bit,fixed[$12$]byte,fixed[$12$]bit,byte[$12$]bit,fixed[$14$]fixed,byte[$14$]byte,bit[$14$]bit,fixed[$14$]byte,fixed[$14$]bit,byte[$14$]bit,fixed[$16$]fixed,byte[$16$]byte,bit[$16$]bit,fixed[$16$]byte,fixed[$16$]bit,byte[$16$]bit,fixed[$18$]fixed,byte[$18$]byte,bit[$18$]bit,fixed[$18$]byte,fixed[$18$]bit,byte[$18$]bit,fixed[$20$]fixed,byte[$20$]byte,bit[$20$]bit,fixed[$20$]byte,fixed[$20$]bit,byte[$20$]bit
512000,28.994004,27.205823,37.447901,33.113845,41.891872,44.503524,32.082317,45.127180,47.375066,43.904543,47.983935,51.811560,29.557162,42.610739,45.152316,43.521978,47.945470,44.720250,29.543268,43.096450,45.756259,42.284633,46.147010,47.110149,29.394130,42.648190,45.268687,43.388673,45.403703,44.375061,29.383119,42.921165,48.215346,42.895481,45.472905,44.511049
524800,29.633421,27.915264,38.236659,34.291294,45.397169,46.835074,32.334152,45.439990,51.791773,44.197728,47.474071,54.129402,30.633265,44.767105,50.471723,44.468926,53.433371,48.200870,30.634328,43.670222,54.469787,44.365155,44.874548,49.271818,30.611023,43.990852,47.429803,44.912540,51.007336,47.294737,30.645427,44.232691,56.007876,44.517446,44.896443,46.878515
537600,29.650772,27.836086,38.324786,34.329254,54.690678,44.988350,32.329267,45.391997,59.287634,43.751265,49.137899,52.488252,30.590233,43.773114,59.151790,43.643340,57.610607,58.522727,30.637834,44.801504,56.111483,44.541438,53.610794,58.733210,30.594682,43.696850,50.256651,44.608900,56.691056,53.737641,30.616349,44.861050,48.275734,44.129455,61.680049,57.422347
550400,29.604767,27.831070,38.465970,34.337853,45.354150,40.985571,32.391447,45.318544,44.592775,44.721167,51.005323,51.111281,30.791167,44.698571,45.693032,44.182216,46.841133,52.391660,30.605399,44.539488,54.572656,51.014007,58.035677,45.775220,30.590975,44.443679,49.598518,44.278009,47.407315,46.487110,30.597233,44.358163,50.099245,44.177249,45.831540,46.500781
563200,29.620267,27.820365,37.875539,32.943875,42.570284,43.781137,35.026506,45.429038,53.736240,45.501216,47.304520,52.226426,30.663870,44.027037,48.209713,44.231505,49.795592,50.132587,30.635944,44.976447,49.183394,51.054056,51.608148,46.458451,30.614293,45.054495,47.032200,44.421007,48.764820,47.804499,30.632638,44.332926,47.620396,43.993937,52.266629,46.560027
576000,29.615902,27.860014,38.475791,34.056482,44.170243,43.576380,32.331638,45.749482,50.432840,44.272645,46.557557,48.867851,30.594682,44.637093,48.465966,44.552647,48.101216,49.446767,30.633674,44.422217,48.155420,45.453828,48.469555,46.587615,30.604349,44.675819,50.781659,44.005088,46.832444,47.047881,30.697701,44.475358,47.357956,44.509764,50.578484,46.991069
588800,29.609904,27.983445,38.550348,33.849032,43.096878,46.076895,32.357678,45.361286,49.571363,44.460910,47.017877,49.825654,30.663177,44.554696,48.553955,43.823432,47.035872,48.931061,30.610114,43.715199,47.489013,44.487938,48.666648,46.936527,30.636439,44.280696,47.503267,43.950469,49.211265,47.516169,30.611266,43.792410,47.060404,43.967358,44.275007,47.520144
601600,29.635060,27.879758,37.873216,33.977310,43.058886,44.361437,32.431627,46.080151,49.265259,43.758747,46.858473,47.722024,30.652820,43.987353,54.460475,44.470033,51.407399,55.841123,30.609385,44.706579,48.446279,44.470977,47.504419,48.407318,30.608556,44.354365,47.860639,43.700162,57.665893,55.156332,30.548939,44.594434,46.884510,43.955937,47.014882,49.302684
614400,29.601739,27.849776,38.630333,34.459768,43.717193,43.476639,32.330014,43.928751,51.831911,44.600014,48.008012,47.918273,30.546830,42.839001,47.262365,44.846178,43.553140,45.945985,30.627427,44.406724,47.253620,44.148644,46.753368,49.011418,30.608060,44.646341,47.482542,45.521532,46.403265,49.203421,30.673602,41.922704,45.560044,44.841000,49.125364,48.409464
627200,29.643026,27.882038,38.494354,34.036229,47.323326,47.474927,32.427901,45.482596,50.441950,44.806323,49.573369,51.811389,30.648169,44.056676,48.265649,44.298360,49.103876,51.063320,30.667711,44.937149,51.672445,44.889449,51.247018,52.520522,30.612990,44.330759,56.048824,44.142069,49.605847,48.632052,30.626276,44.799649,49.621047,44.928922,48.583831,50.990695
